"InphaseC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_010.tcf]","Time (h)","V 2 [InphaseC4_010]","V 3 [InphaseC4_010]","V 4 [InphaseC4_010]","V 5 [InphaseC4_010]","V 6 [InphaseC4_010]","V 7 [InphaseC4_010]","V 8 [InphaseC4_010]","V 9 [InphaseC4_010]","V 10 [InphaseC4_010]","V 11 [InphaseC4_010]","V 12 [InphaseC4_010]","V 13 [InphaseC4_010]","V 14 [InphaseC4_010]","V 15 [InphaseC4_010]","V 16 [InphaseC4_010]","V  1 [InphaseC4_010]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.2401
           3,        0.016667,          2.3590,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.2205
           4,        0.025000,          2.2301,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          2.2191
           5,        0.033333,          1.5428,          0.0000,          0.3141,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0003,          0.0002,          0.0000,          0.0001,          2.2191
           6,        0.041667,          1.2157,          0.0000,          0.3229,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          2.2192
           7,        0.050000,          1.1002,          0.0231,          0.4279,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          2.2218
           8,        0.058333,          0.9944,          0.0301,          0.4481,          0.7957,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0001,          0.0000,          0.0001,          2.2260
           9,        0.066667,          0.9291,          0.0527,          0.4788,          1.1200,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0007,          0.0001,          0.0001,          0.0001,          1.9247
          10,        0.075000,          0.9021,          0.0924,          0.5274,          1.2787,          1.5458,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0005,          0.0002,          0.0000,          0.0002,          1.6077
