"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_013.tcf]","Time (h)","Q 2 [InphaseC4_013]","Q 3 [InphaseC4_013]","Q 4 [InphaseC4_013]","Q 5 [InphaseC4_013]","Q 6 [InphaseC4_013]","Q 7 [InphaseC4_013]","Q 1 [InphaseC4_013]","Q  8 [InphaseC4_013]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -18.1361,          0.0008
           3,        0.016667,        -15.2769,          0.0000,          0.0000,          0.0000,          0.0000,          0.0008,        -20.0405,          0.0005
           4,        0.025000,        -13.7425,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0008,        -20.0037,          0.0008
           5,        0.033333,        -11.5388,         -1.9233,          0.0000,          0.0000,          0.0000,         -0.0005,        -20.0003,          0.0014
           6,        0.041667,        -13.5577,         -5.4086,          0.0000,          0.0000,          0.0002,          0.0006,        -19.7250,          0.0003
           7,        0.050000,        -15.8548,         -9.1620,         -4.1897,          0.0000,         -0.0003,          0.0003,        -19.2641,         -0.0008
           8,        0.058333,        -16.8445,        -12.5653,         -7.3438,          0.0000,         -0.0006,          0.0008,        -19.3051,          0.0011
           9,        0.066667,        -17.6169,        -14.7892,         -8.8977,          0.0000,         -0.0004,          0.0003,        -19.3539,          0.0003
          10,        0.075000,        -18.3870,        -16.3557,        -10.3719,         -0.9821,          0.0004,          0.0006,        -19.5339,          0.0002
          11,        0.083333,        -18.9426,        -17.5342,        -11.8989,         -3.6681,          0.0005,         -0.0003,        -19.6900,          0.0001
          12,        0.091667,        -19.2680,        -18.3498,        -13.4740,         -6.8297,         -0.0000,         -0.0008,        -19.7796,         -0.0010
          13,        0.100000,        -19.4928,        -18.8811,        -14.9542,         -9.8915,         -3.8196,         -0.0005,        -19.8418,          0.0007
          14,        0.108333,        -19.6631,        -19.2417,        -16.2563,        -12.5228,         -6.0870,          0.0002,        -19.8935,         -0.0009
          15,        0.116667,        -19.7763,        -19.4916,        -17.2983,        -14.6028,         -7.3695,         -1.4720,        -19.9303,          0.0004
          16,        0.125000,        -19.8496,        -19.6600,        -18.0733,        -16.1659,         -9.3342,         -3.9182,        -19.9520,         -2.7107
          17,        0.133333,        -19.8979,        -19.7719,        -18.6348,        -17.3014,        -11.7774,         -6.3895,        -19.9676,         -4.7128
          18,        0.141667,        -19.9311,        -19.8467,        -19.0443,        -18.1203,        -13.6921,         -9.1349,        -19.9781,         -9.1822
          19,        0.150000,        -19.9533,        -19.8971,        -19.3339,        -18.6909,        -15.1366,        -12.6395,        -19.9852,        -12.5896
          20,        0.158333,        -19.9689,        -19.9310,        -19.5410,        -19.0924,        -16.3784,        -14.0706,        -19.9901,        -14.2169
          21,        0.166667,        -19.9793,        -19.9534,        -19.6826,        -19.3728,        -17.3764,        -15.4952,        -19.9933,        -15.3551
          22,        0.175000,        -19.9867,        -19.9690,        -19.7808,        -19.5678,        -18.1004,        -16.7018,        -19.9953,        -16.3092
          23,        0.183333,        -19.9905,        -19.9791,        -19.8491,        -19.7030,        -18.6272,        -17.4872,        -19.9970,        -17.1689
          24,        0.191667,        -19.9931,        -19.9858,        -19.8973,        -19.7960,        -19.0160,        -18.2140,        -19.9980,        -17.9559
          25,        0.200000,        -19.9954,        -19.9905,        -19.9285,        -19.8590,        -19.2996,        -18.7376,        -19.9987,        -18.5652
          26,        0.208333,        -19.9970,        -19.9937,        -19.9516,        -19.9032,        -19.5043,        -19.0953,        -19.9991,        -18.9902
          27,        0.216667,        -19.9976,        -19.9961,        -19.9667,        -19.9340,        -19.6487,        -19.3649,        -19.9995,        -19.2853
          28,        0.225000,        -19.9981,        -19.9970,        -19.9773,        -19.9551,        -19.7525,        -19.5478,        -19.9993,        -19.4897
          29,        0.233333,        -19.9993,        -19.9982,        -19.9850,        -19.9693,        -19.8251,        -19.6777,        -19.9992,        -19.6341
          30,        0.241667,        -19.9996,        -19.9988,        -19.9887,        -19.9787,        -19.8769,        -19.7728,        -19.9997,        -19.7373
          31,        0.250000,        -20.0001,        -19.9992,        -19.9926,        -19.9850,        -19.9149,        -19.8398,        -20.0002,        -19.8142
          32,        0.258333,        -19.9994,        -19.9995,        -19.9952,        -19.9903,        -19.9399,        -19.8865,        -20.0000,        -19.8686
          33,        0.266667,        -19.9998,        -19.9997,        -19.9965,        -19.9931,        -19.9582,        -19.9208,        -20.0000,        -19.9078
          34,        0.275000,        -20.0000,        -20.0000,        -19.9976,        -19.9955,        -19.9708,        -19.9446,        -19.9999,        -19.9359
          35,        0.283333,        -20.0002,        -20.0000,        -19.9988,        -19.9969,        -19.9796,        -19.9612,        -19.9997,        -19.9553
          36,        0.291667,        -19.9999,        -19.9999,        -19.9988,        -19.9978,        -19.9857,        -19.9727,        -20.0001,        -19.9685
          37,        0.300000,        -20.0001,        -20.0000,        -19.9990,        -19.9982,        -19.9910,        -19.9808,        -20.0000,        -19.9785
          38,        0.308333,        -20.0004,        -19.9998,        -19.9997,        -19.9991,        -19.9928,        -19.9868,        -19.9998,        -19.9848
          39,        0.316667,        -19.9997,        -19.9999,        -19.9995,        -19.9992,        -19.9957,        -19.9908,        -19.9998,        -19.9894
          40,        0.325000,        -20.0003,        -20.0000,        -20.0007,        -19.9992,        -19.9967,        -19.9938,        -20.0000,        -19.9926
          41,        0.333333,        -20.0003,        -19.9998,        -19.9999,        -19.9994,        -19.9975,        -19.9958,        -20.0002,        -19.9951
          42,        0.341667,        -19.9999,        -19.9999,        -20.0000,        -19.9998,        -19.9983,        -19.9969,        -20.0001,        -19.9964
          43,        0.350000,        -19.9995,        -19.9997,        -19.9995,        -19.9998,        -19.9988,        -19.9979,        -19.9999,        -19.9972
          44,        0.358333,        -20.0000,        -19.9997,        -19.9998,        -19.9993,        -19.9992,        -19.9984,        -20.0002,        -19.9982
          45,        0.366667,        -20.0001,        -19.9999,        -19.9999,        -20.0000,        -19.9999,        -19.9989,        -20.0001,        -19.9984
          46,        0.375000,        -20.0009,        -19.9998,        -20.0002,        -20.0000,        -19.9996,        -19.9990,        -19.9999,        -19.9992
          47,        0.383333,        -19.9999,        -20.0002,        -19.9999,        -19.9996,        -19.9997,        -19.9999,        -20.0001,        -19.9987
          48,        0.391667,        -20.0001,        -20.0001,        -19.9998,        -20.0005,        -19.9995,        -19.9997,        -19.9999,        -19.9990
          49,        0.400000,        -20.0001,        -20.0000,        -19.9994,        -19.9998,        -19.9993,        -19.9998,        -19.9999,        -20.0003
