"InphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\results\019\InphaseC4_019_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          3.8226,          1.4508,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          3.3453,        -50.3033,          0.0000,          0.0000,         -0.0000,          0.0000,          0.0000,        -74.3480,          0.0005
,        0.016667,          3.2498,          1.4156,          2.2875,          2.4728,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.3133,        -69.9939,        -20.0471,          0.0000,         -0.0000,          0.0000,         -0.0000,        -79.2845,          0.0004
,        0.025000,          2.9878,          1.0328,          2.0378,          2.6888,          2.3929,          0.7000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          3.2821,        -68.8402,        -50.6226,        -28.1030,         -0.0000,          0.0000,         -0.0010,        -79.4065,          0.0002
,        0.033333,          2.4928,          1.1188,          2.0123,          2.7441,          2.6138,          0.9192,          1.5648,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          0.0001,          2.9872,        -69.8854,        -61.8886,        -51.1375,        -24.7738,         -0.0004,          0.0010,        -78.8847,         -0.0004
,        0.041667,          2.3675,          1.2334,          1.9972,          2.7718,          2.6093,          0.9582,          1.4421,          1.8533,          0.7674,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          0.0000,          2.5088,        -72.5874,        -67.7147,        -57.7678,        -42.8926,          0.0001,         -0.0008,        -76.1746,          0.0020
,        0.050000,          2.3359,          1.3167,          2.0141,          2.8000,          2.3994,          0.9893,          1.5125,          2.0209,          1.1339,          1.1237,          0.9962,          0.0003,          0.0000,          0.0000,          0.0001,          2.3446,        -75.7857,        -72.3152,        -61.6605,        -53.5063,        -40.0219,         -0.0006,        -77.5968,          0.0039
,        0.058333,          2.3164,          1.3626,          2.0247,          2.8187,          2.2986,          1.1474,          1.6023,          2.2121,          1.2113,          1.2687,          1.3472,          1.0178,          0.7519,          0.7123,          0.0013,          2.2664,        -77.5906,        -75.5308,        -67.6234,        -61.6511,        -51.8412,        -35.5376,        -78.5837,         -3.6458
,        0.066667,          2.3030,          1.3897,          2.0277,          2.8314,          2.2557,          1.2684,          1.6790,          2.3097,          1.3505,          1.3372,          1.3379,          1.1864,          1.1122,          1.1554,          0.9984,          2.2281,        -78.5722,        -77.3608,        -72.4270,        -68.4133,        -59.2709,        -49.7581,        -79.1671,        -49.0369
,        0.075000,          2.2951,          1.4043,          2.0281,          2.7722,          2.2318,          1.3366,          1.7227,          2.2831,          1.4693,          1.3919,          1.4978,          1.4296,          1.4192,          1.8387,          1.4742,          2.2060,        -79.1361,        -78.4150,        -75.2868,        -72.7768,        -63.9562,        -62.2175,        -79.4886,        -72.0078
,        0.083333,          2.2903,          1.4138,          2.0284,          2.7071,          2.2163,          1.3700,          1.7485,          2.2496,          1.5022,          1.5020,          1.6805,          1.8581,          1.8946,          2.1296,          1.6852,          2.1934,        -79.4776,        -78.9970,        -76.9728,        -75.4140,        -70.1479,        -77.2311,        -79.6945,        -78.3814
,        0.091667,          2.2876,          1.4196,          2.0284,          2.6626,          2.2073,          1.3943,          1.7641,          2.1688,          1.6169,          1.5976,          1.9042,          2.0601,          2.0001,          2.1996,          1.8092,          2.1858,        -79.6887,        -79.3415,        -78.0315,        -77.0347,        -74.4558,        -77.9922,        -79.8084,        -79.4876
,        0.100000,          2.2863,          1.4226,          2.0278,          2.6335,          2.2021,          1.4100,          1.7730,          2.1830,          1.7019,          1.6944,          1.9956,          2.1438,          2.0647,          2.2367,          1.8361,          2.1814,        -79.8056,        -79.5627,        -78.7215,        -78.0246,        -77.9617,        -78.8358,        -79.8850,        -79.1258
,        0.108333,          2.2848,          1.4242,          2.0272,          2.6158,          2.1989,          1.4196,          1.7763,          2.2100,          1.7675,          1.7320,          2.0255,          2.1863,          2.0943,          2.2512,          1.8552,          2.1789,        -79.8790,        -79.7023,        -79.1529,        -78.6535,        -79.2024,        -79.3844,        -79.9311,        -79.2487
,        0.116667,          2.2842,          1.4250,          2.0264,          2.6046,          2.1965,          1.4245,          1.7794,          2.2510,          1.7822,          1.7415,          2.0385,          2.1972,          2.1007,          2.2580,          1.8695,          2.1766,        -79.9128,        -79.7946,        -79.4103,        -79.1165,        -79.5479,        -79.5375,        -79.9553,        -79.4751
,        0.125000,          2.2834,          1.4256,          2.0260,          2.5970,          2.1936,          1.4281,          1.7824,          2.2690,          1.7830,          1.7427,          2.0413,          2.1954,          2.1029,          2.2641,          1.8767,          2.1755,        -79.9381,        -79.8565,        -79.5909,        -79.4426,        -79.5876,        -79.6028,        -79.9672,        -79.6460
,        0.133333,          2.2828,          1.4258,          2.0258,          2.5912,          2.1928,          1.4313,          1.7854,          2.2759,          1.7831,          1.7434,          2.0411,          2.1968,          2.1045,          2.2657,          1.8792,          2.1746,        -79.9546,        -79.8971,        -79.7324,        -79.6525,        -79.6390,        -79.6386,        -79.9760,        -79.6701
,        0.141667,          2.2824,          1.4261,          2.0255,          2.5876,          2.1927,          1.4340,          1.7873,          2.2787,          1.7841,          1.7443,          2.0418,          2.1989,          2.1059,          2.2665,          1.8798,          2.1736,        -79.9680,        -79.9272,        -79.8387,        -79.7847,        -79.7112,        -79.6776,        -79.9833,        -79.6697
,        0.150000,          2.2822,          1.4263,          2.0254,          2.5856,          2.1930,          1.4356,          1.7884,          2.2799,          1.7853,          1.7454,          2.0430,          2.2002,          2.1071,          2.2674,          1.8805,          2.1733,        -79.9773,        -79.9485,        -79.9028,        -79.8657,        -79.7898,        -79.7318,        -79.9877,        -79.7040
,        0.158333,          2.2822,          1.4264,          2.0253,          2.5850,          2.1931,          1.4363,          1.7889,          2.2801,          1.7864,          1.7465,          2.0438,          2.2008,          2.1079,          2.2687,          1.8817,          2.1729,        -79.9839,        -79.9667,        -79.9381,        -79.9126,        -79.8534,        -79.7871,        -79.9911,        -79.7649
,        0.166667,          2.2821,          1.4265,          2.0254,          2.5846,          2.1931,          1.4367,          1.7892,          2.2801,          1.7873,          1.7473,          2.0443,          2.2011,          2.1086,          2.2703,          1.8830,          2.1726,        -79.9890,        -79.9779,        -79.9579,        -79.9412,        -79.8977,        -79.8434,        -79.9938,        -79.8298
,        0.175000,          2.2821,          1.4266,          2.0253,          2.5843,          2.1931,          1.4370,          1.7894,          2.2799,          1.7879,          1.7477,          2.0445,          2.2014,          2.1093,          2.2716,          1.8842,          2.1723,        -79.9934,        -79.9858,        -79.9714,        -79.9599,        -79.9272,        -79.8899,        -79.9960,        -79.8827
,        0.183333,          2.2819,          1.4267,          2.0252,          2.5841,          2.1931,          1.4372,          1.7895,          2.2798,          1.7881,          1.7480,          2.0447,          2.2017,          2.1098,          2.2726,          1.8849,          2.1723,        -79.9950,        -79.9909,        -79.9803,        -79.9712,        -79.9457,        -79.9229,        -79.9958,        -79.9202
,        0.191667,          2.2819,          1.4267,          2.0252,          2.5839,          2.1930,          1.4373,          1.7895,          2.2797,          1.7884,          1.7482,          2.0448,          2.2021,          2.1102,          2.2733,          1.8855,          2.1722,        -79.9974,        -79.9934,        -79.9861,        -79.9803,        -79.9613,        -79.9455,        -79.9988,        -79.9453
,        0.200000,          2.2819,          1.4267,          2.0253,          2.5838,          2.1930,          1.4373,          1.7896,          2.2795,          1.7886,          1.7484,          2.0449,          2.2024,          2.1105,          2.2737,          1.8859,          2.1721,        -79.9981,        -79.9955,        -79.9906,        -79.9859,        -79.9726,        -79.9623,        -80.0036,        -79.9609
,        0.208333,          2.2818,          1.4267,          2.0252,          2.5837,          2.1931,          1.4374,          1.7896,          2.2794,          1.7887,          1.7485,          2.0450,          2.2026,          2.1108,          2.2740,          1.8861,          2.1721,        -79.9996,        -79.9970,        -79.9930,        -79.9904,        -79.9805,        -79.9725,        -80.0031,        -79.9723
,        0.216667,          2.2818,          1.4268,          2.0252,          2.5836,          2.1930,          1.4374,          1.7896,          2.2794,          1.7888,          1.7486,          2.0451,          2.2027,          2.1109,          2.2742,          1.8863,          2.1722,        -80.0003,        -79.9975,        -79.9957,        -79.9932,        -79.9875,        -79.9819,        -80.0008,        -79.9804
