iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.025,0.025,0.025,0.00538635,0.130173,0.00608826,13.0173
2,0.0504889,0.0255102,0.0254889,0.0220947,0.176498,0.0240173,15.3486
3,0.0765094,0.0260308,0.0260204,0.0499878,0.212799,0.0508118,17.3629
4,0.103061,0.0265621,0.0265515,0.0867615,0.233994,0.0797424,19.735
5,0.130141,0.0271041,0.0270806,0.128067,0.241196,0.105057,22.909
6,0.157799,0.0276573,0.0276573,0.169144,0.237427,0.124939,26.1931
7,0.186005,0.0282217,0.0282062,0.202744,0.226898,0.136658,29.125
8,0.214783,0.0287977,0.028778,0.22522,0.214157,0.140717,31.503
9,0.244157,0.0293854,0.029374,0.239807,0.20192,0.141434,33.3826
10,0.274122,0.0299851,0.0299656,0.259811,0.191193,0.141098,34.8715
11,0.304705,0.030597,0.0305822,0.276077,0.182175,0.140869,36.0821
12,0.335897,0.0312215,0.0311925,0.288605,0.174683,0.141144,37.0964
13,0.367726,0.0318586,0.0318284,0.300095,0.168991,0.14209,37.9811
14,0.400217,0.0325088,0.0324915,0.31456,0.169281,0.14389,38.7895
15,0.433364,0.0331722,0.0331465,0.326416,0.172729,0.146164,39.5462
16,0.467193,0.0338492,0.0338291,0.336182,0.176254,0.148483,40.2644
17,0.501694,0.03454,0.0345009,0.348175,0.179855,0.15062,40.9442
18,0.536937,0.0352449,0.0352429,0.358261,0.183517,0.152527,41.5937
19,0.572867,0.0359642,0.0359306,0.366913,0.187271,0.154114,42.204
20,0.609559,0.0366982,0.0366922,0.377121,0.191086,0.155548,42.7841
21,0.646999,0.0374471,0.0374401,0.385437,0.194992,0.156937,43.3348
22,0.68517,0.0382114,0.0381704,0.39328,0.198975,0.158295,43.857
23,0.724152,0.0389912,0.0389825,0.402023,0.203033,0.159653,44.3603
24,0.763929,0.0397869,0.039777,0.408737,0.207184,0.161087,44.8457
25,0.804478,0.0405989,0.0405493,0.416,0.211411,0.162689,45.3153
26,0.845891,0.0414274,0.0414121,0.423325,0.215714,0.164352,45.7779
27,0.888143,0.0422729,0.0422523,0.429001,0.220123,0.166031,46.2317
28,0.931272,0.0431356,0.0431287,0.435974,0.224609,0.167709,46.6792
29,0.975248,0.0440159,0.0439769,0.441269,0.229202,0.169373,47.1179
30,1.02011,0.0449142,0.0448605,0.446579,0.233871,0.171097,47.5509
31,1.06589,0.0458308,0.0457818,0.452026,0.238647,0.17276,47.9793
32,1.11263,0.0467662,0.0467433,0.455917,0.243515,0.174332,48.4037
33,1.1603,0.0477206,0.0476689,0.46106,0.248489,0.175858,48.8208
34,1.20894,0.0486945,0.0486336,0.463699,0.253555,0.177505,49.2341
35,1.25858,0.0496882,0.0496398,0.467361,0.258743,0.179184,49.6457
36,1.30927,0.0507023,0.0506903,0.469528,0.264023,0.180817,50.0565
37,1.36096,0.051737,0.051695,0.472076,0.269409,0.182343,50.462
38,1.4137,0.0527929,0.0527422,0.473419,0.274902,0.183792,50.8628
39,1.46754,0.0538703,0.0538348,0.474701,0.280518,0.18515,51.2595
40,1.52241,0.0549697,0.0548701,0.475113,0.28624,0.186478,51.6483
41,1.57847,0.0560915,0.0560583,0.475723,0.292084,0.187714,52.0349
42,1.63565,0.0572362,0.0571862,0.47525,0.298035,0.188889,52.415
43,1.69402,0.0584043,0.0583629,0.475174,0.304123,0.19017,52.7916
44,1.75361,0.0595962,0.0595915,0.473999,0.310333,0.191406,53.1656
45,1.81435,0.0608125,0.0607449,0.472824,0.316666,0.192703,53.5338
46,1.8763,0.0620536,0.0619465,0.471176,0.32312,0.193954,53.8972
47,1.9395,0.06332,0.0631993,0.468231,0.329727,0.195068,54.2557
48,2.00401,0.0646122,0.0645069,0.466431,0.336456,0.196533,54.6145
49,2.06988,0.0659308,0.0658729,0.462799,0.343323,0.1978,54.9729
50,2.13702,0.0672763,0.0671397,0.460709,0.350327,0.199173,55.3274
51,2.20565,0.0686493,0.068628,0.457825,0.357468,0.200562,55.6854
52,2.27566,0.0700503,0.070011,0.458832,0.364761,0.201721,56.0397
53,2.34711,0.0714799,0.0714545,0.459015,0.372208,0.203156,56.3945
54,2.41988,0.0729387,0.0727708,0.459442,0.379807,0.204407,56.7429
55,2.49422,0.0744272,0.0743399,0.45929,0.387558,0.205826,57.0941
56,2.57,0.0759462,0.0757735,0.458939,0.395477,0.207169,57.4422
57,2.64748,0.0774961,0.0774859,0.458328,0.403534,0.208511,57.7949
58,2.72654,0.0790776,0.0790535,0.457581,0.411774,0.209824,58.1465
59,2.80723,0.0806915,0.0806907,0.456482,0.420181,0.211182,58.4985
60,2.88938,0.0823382,0.0821534,0.456146,0.428757,0.21254,58.8451
61,2.97331,0.0840186,0.0839338,0.457748,0.4375,0.213867,59.1943
62,3.05884,0.0857333,0.0855275,0.462387,0.446442,0.215179,59.5399
63,3.14631,0.0874829,0.0874713,0.469559,0.455551,0.216446,59.8902
64,3.23553,0.0892683,0.0892149,0.471512,0.464844,0.21785,60.2399
65,3.32656,0.0910901,0.0910356,0.476761,0.474335,0.219406,60.5916
66,3.4195,0.0929491,0.0929388,0.486786,0.484009,0.228241,61.0124
67,3.51409,0.094846,0.0945925,0.490814,0.493881,0.227936,61.4098
68,3.61076,0.0967816,0.0966639,0.490341,0.503967,0.225113,61.7721
69,3.70922,0.0987568,0.0984673,0.495712,0.514252,0.237625,62.2289
70,3.80996,0.100772,0.100731,0.487076,0.52475,0.230179,62.6113
71,3.91266,0.102829,0.102706,0.486862,0.535461,0.233231,63.0061
72,4.01743,0.104927,0.104768,0.480606,0.546387,0.236725,63.4177
73,4.12435,0.107069,0.106924,0.486359,0.557541,0.24028,63.8472
74,4.23353,0.109254,0.10918,0.492523,0.568909,0.243256,64.2903
75,4.3446,0.111483,0.111062,0.498367,0.580521,0.245987,64.735
76,4.45812,0.113759,0.113519,0.504013,0.592377,0.24855,65.1919
77,4.57369,0.11608,0.115574,0.509567,0.604462,0.251053,65.6499
78,4.69195,0.118449,0.118262,0.51474,0.616791,0.253372,66.1206
79,4.81247,0.120867,0.120515,0.519379,0.629379,0.2556,66.5922
80,4.93533,0.123333,0.122866,0.523819,0.642227,0.257706,67.0648
81,5.06066,0.12585,0.125323,0.527847,0.655334,0.259781,67.5395
82,5.18855,0.128419,0.127894,0.531372,0.668716,0.261826,68.0171
83,5.31914,0.131039,0.130587,0.535889,0.682358,0.263931,68.4997
84,5.45255,0.133714,0.13341,0.540359,0.696289,0.266006,68.9883
85,5.58892,0.136442,0.136375,0.544495,0.710495,0.268097,69.4844
86,5.72762,0.139227,0.138699,0.548233,0.724991,0.270233,69.9748
87,5.86956,0.142068,0.141944,0.554901,0.739792,0.272736,70.4792
88,6.01406,0.144968,0.144494,0.564072,0.754883,0.275421,70.9844
89,6.16121,0.147926,0.147153,0.573898,0.770294,0.278214,71.4924
90,6.31209,0.150945,0.150878,0.583618,0.786011,0.281143,72.0226
91,6.46591,0.154026,0.153818,0.592987,0.802063,0.284729,72.564
92,6.6228,0.157169,0.156894,0.602478,0.81842,0.288605,73.12
93,6.78292,0.160377,0.160118,0.61261,0.835129,0.29245,73.6914
94,6.94642,0.16365,0.163501,0.622803,0.852173,0.296265,74.2792
95,7.11109,0.165713,0.164668,0.627991,0.862915,0.297867,74.8438
96,7.27695,0.1669,0.165862,0.630356,0.869095,0.297989,75.3879
97,7.44403,0.168026,0.167081,0.63237,0.874954,0.298111,75.9136
98,7.61236,0.169091,0.168328,0.633606,0.880508,0.298203,76.4231
99,7.78196,0.17011,0.169603,0.634796,0.885818,0.298172,76.9172
