"InphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_013.tcf]","Time (h)","Q 2 [InphaseC4_013]","Q 3 [InphaseC4_013]","Q 4 [InphaseC4_013]","Q 5 [InphaseC4_013]","Q 6 [InphaseC4_013]","Q 7 [InphaseC4_013]","Q 1 [InphaseC4_013]","Q  8 [InphaseC4_013]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -17.1987,          0.0008
           3,        0.016667,        -15.0081,          0.0000,          0.0000,          0.0000,          0.0000,          0.0008,        -20.2704,          0.0005
           4,        0.025000,        -13.9904,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0008,        -19.9846,          0.0008
           5,        0.033333,        -11.4994,         -1.6682,          0.0000,          0.0000,          0.0000,         -0.0005,        -19.9599,          0.0014
           6,        0.041667,        -13.4373,         -5.2714,          0.0000,          0.0000,          0.0002,          0.0006,        -19.8772,          0.0003
           7,        0.050000,        -15.7780,         -9.0019,         -4.0174,          0.0000,         -0.0003,          0.0003,        -19.2413,         -0.0008
           8,        0.058333,        -16.8055,        -12.4464,         -7.2422,          0.0000,         -0.0006,          0.0008,        -19.3091,          0.0011
           9,        0.066667,        -17.5869,        -14.7063,         -8.8340,          0.0000,         -0.0004,          0.0003,        -19.3531,          0.0003
          10,        0.075000,        -18.3576,        -16.2927,        -10.2936,         -0.8756,          0.0004,          0.0006,        -19.5238,          0.0002
          11,        0.083333,        -18.9252,        -17.4907,        -11.8525,         -3.5446,          0.0005,         -0.0003,        -19.6864,          0.0001
          12,        0.091667,        -19.2548,        -18.3200,        -13.4045,         -6.6850,         -0.0000,         -0.0008,        -19.7759,         -0.0010
          13,        0.100000,        -19.4835,        -18.8606,        -14.8837,         -9.7640,         -3.1636,         -0.0011,        -19.8372,         -0.0004
          14,        0.108333,        -19.6568,        -19.2278,        -16.1985,        -12.4216,         -6.0112,         -0.0006,        -19.8922,         -0.0006
          15,        0.116667,        -19.7706,        -19.4820,        -17.2557,        -14.5238,         -7.3167,         -1.0879,        -19.9279,         -0.0002
          16,        0.125000,        -19.8447,        -19.6531,        -18.0418,        -16.1058,         -9.2283,         -3.8341,        -19.9506,         -2.3361
          17,        0.133333,        -19.8947,        -19.7658,        -18.6109,        -17.2580,        -11.6726,         -6.2659,        -19.9662,         -4.5807
          18,        0.141667,        -19.9301,        -19.8430,        -19.0278,        -18.0893,        -13.6247,         -8.9670,        -19.9775,         -9.0684
          19,        0.150000,        -19.9529,        -19.8943,        -19.3217,        -18.6686,        -15.0739,        -12.6105,        -19.9852,        -12.4665
          20,        0.158333,        -19.9685,        -19.9294,        -19.5326,        -19.0763,        -16.3259,        -13.9988,        -19.9899,        -14.1766
          21,        0.166667,        -19.9790,        -19.9530,        -19.6776,        -19.3617,        -17.3369,        -15.4329,        -19.9931,        -15.3055
          22,        0.175000,        -19.9858,        -19.9682,        -19.7772,        -19.5598,        -18.0693,        -16.6583,        -19.9954,        -16.2662
          23,        0.183333,        -19.9901,        -19.9785,        -19.8470,        -19.6971,        -18.6039,        -17.4502,        -19.9969,        -17.1318
          24,        0.191667,        -19.9940,        -19.9858,        -19.8943,        -19.7920,        -19.0002,        -18.1864,        -19.9979,        -17.9224
          25,        0.200000,        -19.9957,        -19.9903,        -19.9274,        -19.8567,        -19.2892,        -18.7173,        -19.9989,        -18.5421
          26,        0.208333,        -19.9970,        -19.9935,        -19.9506,        -19.9013,        -19.4964,        -19.0804,        -19.9990,        -18.9740
          27,        0.216667,        -19.9984,        -19.9952,        -19.9657,        -19.9324,        -19.6423,        -19.3547,        -19.9995,        -19.2734
          28,        0.225000,        -19.9985,        -19.9975,        -19.9765,        -19.9532,        -19.7484,        -19.5402,        -19.9997,        -19.4818
          29,        0.233333,        -19.9992,        -19.9980,        -19.9839,        -19.9682,        -19.8228,        -19.6729,        -19.9993,        -19.6282
          30,        0.241667,        -19.9994,        -19.9988,        -19.9892,        -19.9785,        -19.8759,        -19.7689,        -19.9998,        -19.7341
          31,        0.250000,        -19.9991,        -19.9992,        -19.9924,        -19.9849,        -19.9125,        -19.8372,        -19.9996,        -19.8110
          32,        0.258333,        -19.9998,        -19.9993,        -19.9960,        -19.9901,        -19.9385,        -19.8850,        -20.0000,        -19.8669
          33,        0.266667,        -20.0000,        -19.9996,        -19.9960,        -19.9932,        -19.9574,        -19.9194,        -19.9998,        -19.9067
          34,        0.275000,        -19.9998,        -19.9997,        -19.9974,        -19.9948,        -19.9691,        -19.9435,        -20.0001,        -19.9346
          35,        0.283333,        -19.9998,        -20.0001,        -19.9979,        -19.9968,        -19.9781,        -19.9605,        -19.9999,        -19.9540
          36,        0.291667,        -20.0000,        -20.0000,        -19.9989,        -19.9979,        -19.9856,        -19.9724,        -20.0000,        -19.9677
          37,        0.300000,        -19.9993,        -19.9997,        -19.9987,        -19.9986,        -19.9896,        -19.9807,        -19.9999,        -19.9773
          38,        0.308333,        -19.9995,        -20.0001,        -19.9994,        -19.9990,        -19.9939,        -19.9866,        -20.0000,        -19.9844
          39,        0.316667,        -20.0006,        -20.0000,        -19.9999,        -19.9992,        -19.9946,        -19.9904,        -19.9999,        -19.9887
          40,        0.325000,        -19.9991,        -19.9998,        -19.9991,        -19.9994,        -19.9968,        -19.9933,        -20.0003,        -19.9922
          41,        0.333333,        -20.0004,        -20.0000,        -20.0004,        -19.9999,        -19.9973,        -19.9954,        -19.9999,        -19.9943
          42,        0.341667,        -20.0004,        -19.9997,        -20.0001,        -19.9996,        -19.9979,        -19.9969,        -19.9998,        -19.9971
          43,        0.350000,        -20.0000,        -19.9999,        -19.9995,        -20.0001,        -19.9991,        -19.9978,        -20.0000,        -19.9973
          44,        0.358333,        -20.0001,        -20.0001,        -20.0002,        -20.0001,        -19.9987,        -19.9987,        -19.9999,        -19.9982
          45,        0.366667,        -20.0002,        -19.9997,        -19.9996,        -20.0000,        -19.9991,        -19.9986,        -20.0002,        -19.9992
          46,        0.375000,        -19.9998,        -19.9999,        -20.0001,        -20.0001,        -19.9994,        -19.9992,        -20.0000,        -19.9994
          47,        0.383333,        -20.0001,        -20.0001,        -19.9997,        -19.9998,        -20.0004,        -19.9991,        -20.0001,        -19.9995
          48,        0.391667,        -19.9998,        -20.0000,        -19.9997,        -19.9998,        -20.0003,        -19.9995,        -20.0001,        -19.9989
          49,        0.400000,        -20.0003,        -20.0002,        -20.0000,        -20.0002,        -19.9996,        -19.9999,        -20.0001,        -19.9997
          50,        0.408333,        -19.9997,        -20.0003,        -19.9998,        -19.9999,        -19.9994,        -20.0000,        -20.0001,        -19.9998
          51,        0.416667,        -19.9998,        -19.9998,        -20.0001,        -19.9995,        -20.0001,        -19.9998,        -20.0000,        -20.0003
          52,        0.425000,        -20.0002,        -20.0001,        -19.9999,        -19.9998,        -19.9996,        -20.0000,        -20.0001,        -20.0001
          53,        0.433333,        -20.0001,        -19.9998,        -20.0005,        -20.0002,        -20.0001,        -19.9999,        -20.0001,        -20.0001
          54,        0.441667,        -20.0000,        -19.9999,        -20.0007,        -19.9998,        -19.9998,        -20.0000,        -20.0002,        -19.9995
          55,        0.450000,        -19.9999,        -19.9999,        -20.0000,        -19.9999,        -20.0003,        -19.9999,        -19.9999,        -20.0001
          56,        0.458333,        -20.0002,        -19.9999,        -20.0002,        -19.9997,        -20.0000,        -19.9999,        -19.9999,        -19.9993
          57,        0.466667,        -19.9999,        -20.0005,        -19.9996,        -20.0000,        -20.0005,        -19.9999,        -19.9999,        -20.0008
          58,        0.475000,        -19.9993,        -20.0002,        -19.9999,        -20.0001,        -19.9994,        -19.9999,        -20.0001,        -20.0008
          59,        0.483333,        -19.9991,        -20.0000,        -20.0000,        -19.9999,        -20.0009,        -19.9999,        -20.0001,        -20.0002
          60,        0.491667,        -20.0001,        -19.9998,        -20.0006,        -19.9999,        -20.0002,        -19.9998,        -19.9999,        -20.0003
          61,        0.500000,        -20.0004,        -20.0001,        -20.0000,        -19.9999,        -19.9994,        -20.0000,        -20.0003,        -20.0005
          62,        0.508333,        -20.0003,        -20.0001,        -19.9996,        -19.9996,        -20.0002,        -19.9998,        -20.0001,        -19.9997
          63,        0.516667,        -19.9998,        -20.0001,        -20.0007,        -19.9998,        -19.9998,        -19.9999,        -19.9999,        -20.0004
          64,        0.525000,        -19.9998,        -20.0003,        -19.9998,        -19.9999,        -19.9997,        -20.0002,        -20.0000,        -20.0001
          65,        0.533333,        -19.9998,        -20.0001,        -20.0001,        -19.9998,        -19.9995,        -20.0000,        -20.0000,        -20.0005
          66,        0.541667,        -20.0000,        -20.0001,        -19.9995,        -19.9998,        -20.0004,        -19.9999,        -19.9998,        -19.9997
          67,        0.550000,        -19.9993,        -19.9999,        -20.0001,        -19.9998,        -20.0002,        -20.0003,        -20.0001,        -20.0004
          68,        0.558333,        -20.0000,        -20.0001,        -19.9994,        -19.9997,        -20.0007,        -20.0000,        -19.9999,        -20.0002
          69,        0.566667,        -20.0000,        -19.9999,        -20.0003,        -20.0000,        -20.0004,        -20.0002,        -19.9999,        -19.9997
          70,        0.575000,        -20.0000,        -19.9999,        -20.0002,        -20.0003,        -19.9995,        -20.0001,        -19.9999,        -20.0004
          71,        0.583333,        -20.0000,        -20.0000,        -19.9998,        -19.9998,        -19.9994,        -20.0001,        -20.0001,        -20.0006
          72,        0.591667,        -20.0004,        -20.0000,        -20.0010,        -20.0001,        -19.9992,        -20.0001,        -20.0002,        -20.0016
          73,        0.600000,        -20.0000,        -20.0000,        -19.9995,        -19.9999,        -20.0004,        -19.9998,        -19.9999,        -20.0005
          74,        0.608333,        -20.0006,        -20.0000,        -19.9998,        -19.9998,        -20.0000,        -19.9999,        -19.9999,        -20.0001
          75,        0.616667,        -19.9999,        -20.0000,        -20.0003,        -20.0001,        -20.0003,        -19.9998,        -20.0001,        -19.9995
          76,        0.625000,        -20.0001,        -20.0001,        -20.0002,        -19.9998,        -20.0004,        -20.0002,        -19.9999,        -20.0001
          77,        0.633333,        -20.0000,        -19.9998,        -20.0002,        -20.0002,        -20.0001,        -20.0000,        -20.0000,        -20.0006
          78,        0.641667,        -19.9994,        -20.0001,        -20.0004,        -19.9999,        -19.9997,        -19.9996,        -19.9998,        -20.0000
          79,        0.650000,        -19.9999,        -20.0000,        -20.0005,        -20.0001,        -19.9996,        -19.9999,        -20.0000,        -20.0000
          80,        0.658333,        -19.9998,        -19.9998,        -19.9995,        -20.0002,        -20.0004,        -19.9998,        -19.9997,        -19.9999
          81,        0.666667,        -19.9996,        -20.0003,        -19.9999,        -20.0001,        -20.0009,        -20.0001,        -20.0000,        -19.9998
          82,        0.675000,        -19.9995,        -19.9999,        -19.9994,        -20.0001,        -20.0001,        -19.9997,        -19.9999,        -20.0003
          83,        0.683333,        -19.9998,        -20.0002,        -20.0002,        -20.0002,        -20.0000,        -20.0001,        -20.0001,        -19.9995
          84,        0.691667,        -20.0000,        -20.0000,        -20.0002,        -19.9999,        -20.0001,        -19.9999,        -20.0001,        -20.0000
          85,        0.700000,        -20.0007,        -19.9997,        -19.9992,        -19.9999,        -20.0000,        -20.0003,        -19.9999,        -20.0000
          86,        0.708333,        -19.9995,        -20.0001,        -20.0000,        -20.0002,        -20.0000,        -20.0003,        -19.9999,        -19.9996
          87,        0.716667,        -20.0004,        -20.0002,        -20.0001,        -20.0001,        -19.9996,        -20.0001,        -19.9999,        -20.0000
          88,        0.725000,        -20.0005,        -20.0001,        -19.9998,        -20.0002,        -20.0000,        -20.0000,        -19.9999,        -19.9998
          89,        0.733333,        -20.0003,        -20.0002,        -20.0002,        -19.9998,        -20.0005,        -19.9996,        -19.9999,        -19.9998
          90,        0.741667,        -20.0001,        -19.9999,        -19.9999,        -20.0001,        -20.0000,        -20.0000,        -20.0002,        -20.0004
          91,        0.750000,        -20.0002,        -19.9999,        -20.0000,        -20.0003,        -20.0002,        -19.9999,        -19.9999,        -20.0001
          92,        0.758333,        -20.0003,        -19.9999,        -20.0009,        -20.0005,        -19.9995,        -20.0001,        -20.0001,        -19.9999
          93,        0.766667,        -20.0004,        -19.9996,        -20.0004,        -20.0000,        -19.9998,        -20.0002,        -20.0002,        -19.9998
          94,        0.775000,        -19.9997,        -20.0001,        -20.0007,        -19.9999,        -19.9998,        -19.9998,        -19.9999,        -19.9996
          95,        0.783333,        -19.9993,        -20.0000,        -20.0007,        -19.9997,        -20.0006,        -20.0001,        -20.0002,        -19.9996
          96,        0.791667,        -19.9998,        -19.9999,        -19.9997,        -20.0001,        -20.0000,        -20.0001,        -19.9999,        -19.9997
          97,        0.800000,        -20.0005,        -20.0001,        -20.0002,        -19.9999,        -19.9993,        -19.9999,        -20.0003,        -20.0008
          98,        0.808333,        -20.0004,        -20.0001,        -20.0003,        -20.0002,        -19.9996,        -20.0003,        -19.9999,        -20.0005
          99,        0.816667,        -20.0004,        -19.9999,        -19.9996,        -19.9998,        -19.9998,        -20.0000,        -20.0001,        -19.9997
         100,        0.825000,        -19.9998,        -20.0002,        -20.0001,        -19.9999,        -20.0001,        -20.0000,        -19.9998,        -20.0003
         101,        0.833333,        -19.9998,        -19.9998,        -19.9996,        -20.0001,        -20.0004,        -19.9999,        -19.9998,        -20.0002
         102,        0.841667,        -20.0000,        -20.0000,        -20.0005,        -20.0002,        -20.0003,        -19.9997,        -20.0002,        -20.0002
         103,        0.850000,        -20.0000,        -19.9999,        -19.9998,        -20.0006,        -20.0002,        -19.9997,        -19.9999,        -20.0006
         104,        0.858333,        -20.0007,        -19.9998,        -20.0000,        -20.0001,        -19.9996,        -20.0002,        -20.0001,        -19.9997
         105,        0.866667,        -19.9994,        -19.9999,        -20.0004,        -20.0002,        -19.9998,        -20.0001,        -20.0000,        -20.0000
         106,        0.875000,        -20.0004,        -20.0001,        -20.0004,        -19.9997,        -19.9997,        -20.0000,        -20.0001,        -20.0005
         107,        0.883333,        -19.9998,        -20.0002,        -19.9998,        -19.9999,        -19.9995,        -19.9998,        -20.0004,        -19.9994
         108,        0.891667,        -20.0000,        -20.0004,        -19.9996,        -19.9998,        -20.0002,        -19.9998,        -20.0001,        -20.0002
         109,        0.900000,        -19.9992,        -20.0000,        -20.0001,        -20.0000,        -19.9998,        -20.0002,        -20.0000,        -20.0006
         110,        0.908333,        -20.0003,        -19.9999,        -19.9998,        -20.0001,        -19.9997,        -20.0000,        -20.0001,        -19.9997
         111,        0.916667,        -20.0007,        -20.0001,        -19.9996,        -19.9999,        -19.9999,        -20.0004,        -19.9999,        -20.0000
         112,        0.925000,        -19.9997,        -19.9999,        -19.9998,        -20.0001,        -19.9999,        -20.0002,        -20.0000,        -19.9998
         113,        0.933333,        -19.9990,        -20.0001,        -19.9996,        -19.9997,        -20.0002,        -19.9999,        -19.9997,        -20.0006
         114,        0.941667,        -19.9998,        -20.0000,        -19.9999,        -20.0002,        -20.0002,        -20.0002,        -20.0000,        -20.0001
         115,        0.950000,        -20.0004,        -20.0002,        -20.0000,        -20.0004,        -20.0002,        -19.9999,        -20.0001,        -20.0005
         116,        0.958333,        -20.0000,        -19.9997,        -19.9997,        -20.0000,        -19.9999,        -20.0000,        -20.0001,        -20.0007
         117,        0.966667,        -20.0003,        -20.0001,        -20.0002,        -19.9999,        -20.0002,        -20.0002,        -19.9999,        -20.0001
         118,        0.975000,        -19.9998,        -20.0000,        -19.9998,        -20.0001,        -19.9998,        -19.9998,        -20.0003,        -20.0001
         119,        0.983333,        -20.0001,        -20.0000,        -19.9999,        -19.9998,        -20.0003,        -19.9999,        -20.0001,        -19.9996
         120,        0.991667,        -20.0003,        -19.9999,        -20.0001,        -19.9999,        -19.9995,        -20.0002,        -19.9998,        -20.0000
         121,        1.000000,        -20.0001,        -20.0000,        -19.9999,        -20.0002,        -20.0004,        -19.9998,        -20.0000,        -20.0000
         122,        1.008333,        -19.9996,        -19.9999,        -20.0000,        -20.0002,        -20.0002,        -20.0004,        -19.9999,        -19.9995
         123,        1.016667,        -20.0003,        -19.9999,        -19.9996,        -20.0001,        -20.0002,        -20.0000,        -19.9997,        -19.9996
         124,        1.025000,        -19.9999,        -19.9999,        -19.9995,        -20.0001,        -20.0000,        -19.9998,        -19.9999,        -20.0003
         125,        1.033333,        -20.0001,        -20.0001,        -20.0005,        -20.0003,        -20.0000,        -20.0002,        -20.0000,        -20.0001
         126,        1.041667,        -19.9994,        -20.0001,        -19.9997,        -20.0005,        -20.0007,        -20.0000,        -20.0001,        -19.9994
         127,        1.050000,        -20.0004,        -20.0001,        -19.9998,        -20.0001,        -19.9996,        -20.0002,        -20.0000,        -19.9995
         128,        1.058333,        -19.9995,        -20.0001,        -20.0005,        -20.0000,        -20.0004,        -20.0000,        -19.9998,        -19.9998
