"InphaseC4_015 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_015.tcf]","Time (h)","Q 2 [InphaseC4_015]","Q 3 [InphaseC4_015]","Q 4 [InphaseC4_015]","Q 5 [InphaseC4_015]","Q 6 [InphaseC4_015]","Q 7 [InphaseC4_015]","Q 1 [InphaseC4_015]","Q  8 [InphaseC4_015]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -37.8486,          0.0009
           3,        0.016667,        -33.6483,          0.0000,          0.0000,          0.0000,          0.0000,          0.0013,        -40.0418,          0.0002
           4,        0.025000,        -30.5126,        -11.2857,          0.0000,          0.0000,          0.0000,         -0.0006,        -40.0105,          0.0005
           5,        0.033333,        -29.4030,        -20.3579,         -6.3012,          0.0000,          0.0004,         -0.0005,        -40.0069,          0.0000
           6,        0.041667,        -33.0169,        -25.7104,        -19.1864,          0.0000,         -0.0005,          0.0002,        -37.8224,          0.0011
           7,        0.050000,        -36.2348,        -31.0869,        -21.4236,         -6.8562,          0.0000,         -0.0013,        -38.7337,         -0.0001
           8,        0.058333,        -37.6518,        -34.7247,        -24.8392,        -13.4637,         -0.0004,         -0.0003,        -39.2132,          0.0001
           9,        0.066667,        -38.4004,        -36.7126,        -29.6375,        -20.9519,         -9.1715,         -0.0005,        -39.3854,          0.0019
          10,        0.075000,        -38.9816,        -37.9013,        -32.9589,        -27.1977,        -16.0987,         -0.6816,        -39.5829,          0.0017
          11,        0.083333,        -39.3899,        -38.6931,        -35.1118,        -31.3851,        -21.8962,        -12.0929,        -39.7507,         -6.1289
          12,        0.091667,        -39.6313,        -39.2036,        -36.7342,        -34.2455,        -26.7421,        -19.7755,        -39.8498,        -16.6965
          13,        0.100000,        -39.7678,        -39.5115,        -37.8936,        -36.2370,        -30.6100,        -25.9948,        -39.9053,        -28.6929
          14,        0.108333,        -39.8548,        -39.6958,        -38.6358,        -37.5679,        -33.4203,        -33.1181,        -39.9393,        -34.3112
          15,        0.116667,        -39.9104,        -39.8113,        -39.1093,        -38.4209,        -35.4833,        -34.4970,        -39.9640,        -35.5283
          16,        0.125000,        -39.9458,        -39.8849,        -39.4233,        -38.9764,        -37.0001,        -35.7168,        -39.9779,        -35.8050
          17,        0.133333,        -39.9666,        -39.9289,        -39.6313,        -39.3395,        -38.0245,        -36.8431,        -39.9864,        -36.4340
          18,        0.141667,        -39.9791,        -39.9562,        -39.7644,        -39.5765,        -38.6749,        -37.6766,        -39.9913,        -37.3272
          19,        0.150000,        -39.9873,        -39.9732,        -39.8491,        -39.7285,        -39.0912,        -38.4291,        -39.9941,        -38.2096
          20,        0.158333,        -39.9918,        -39.9835,        -39.9026,        -39.8254,        -39.3811,        -38.9654,        -39.9968,        -38.8718
          21,        0.166667,        -39.9953,        -39.9898,        -39.9377,        -39.8881,        -39.5863,        -39.3208,        -39.9979,        -39.2862
          22,        0.175000,        -39.9967,        -39.9937,        -39.9609,        -39.9280,        -39.7236,        -39.5540,        -39.9986,        -39.5344
          23,        0.183333,        -39.9986,        -39.9961,        -39.9746,        -39.9537,        -39.8173,        -39.7013,        -39.9994,        -39.6867
          24,        0.191667,        -39.9986,        -39.9977,        -39.9845,        -39.9716,        -39.8777,        -39.7977,        -40.0001,        -39.7847
          25,        0.200000,        -39.9989,        -39.9980,        -39.9894,        -39.9813,        -39.9190,        -39.8640,        -39.9997,        -39.8532
          26,        0.208333,        -39.9997,        -39.9991,        -39.9933,        -39.9878,        -39.9474,        -39.9095,        -39.9997,        -39.9014
          27,        0.216667,        -39.9993,        -39.9992,        -39.9953,        -39.9925,        -39.9641,        -39.9402,        -39.9996,        -39.9352
          28,        0.225000,        -40.0000,        -39.9996,        -39.9969,        -39.9958,        -39.9772,        -39.9610,        -39.9999,        -39.9577
          29,        0.233333,        -40.0005,        -39.9996,        -39.9980,        -39.9970,        -39.9842,        -39.9743,        -40.0004,        -39.9716
          30,        0.241667,        -40.0006,        -40.0001,        -39.9986,        -39.9983,        -39.9902,        -39.9830,        -40.0000,        -39.9827
          31,        0.250000,        -39.9996,        -40.0001,        -39.9992,        -39.9987,        -39.9935,        -39.9890,        -39.9999,        -39.9884
          32,        0.258333,        -40.0001,        -40.0002,        -39.9994,        -39.9992,        -39.9964,        -39.9926,        -40.0003,        -39.9923
          33,        0.266667,        -40.0002,        -39.9998,        -39.9999,        -39.9995,        -39.9975,        -39.9955,        -39.9999,        -39.9943
