"InphaseC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_019.tcf]","Time (h)","V 2 [InphaseC4_019]","V 3 [InphaseC4_019]","V 4 [InphaseC4_019]","V 5 [InphaseC4_019]","V 6 [InphaseC4_019]","V 7 [InphaseC4_019]","V 8 [InphaseC4_019]","V 9 [InphaseC4_019]","V 10 [InphaseC4_019]","V 11 [InphaseC4_019]","V 12 [InphaseC4_019]","V 13 [InphaseC4_019]","V 14 [InphaseC4_019]","V 15 [InphaseC4_019]","V 16 [InphaseC4_019]","V  1 [InphaseC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          4.2532,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          3.9052
           3,        0.016667,          3.2748,          1.5072,          2.4246,          0.4084,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          3.3529
           4,        0.025000,          3.0080,          1.0525,          2.0543,          2.6928,          2.3934,          2.0823,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          3.3359
           5,        0.033333,          2.5345,          1.1028,          2.0176,          2.7426,          2.6133,          0.9262,          1.5857,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          3.0518
           6,        0.041667,          2.3867,          1.2188,          1.9981,          2.7714,          2.6161,          0.9660,          1.4456,          1.8284,          0.8358,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          2.5964
           7,        0.050000,          2.3608,          1.3072,          2.0218,          2.7971,          2.4113,          0.9849,          1.5076,          2.0223,          1.1430,          1.1019,          0.9867,          0.0001,          0.0001,          0.0001,          0.0000,          2.4616
           8,        0.058333,          2.3418,          1.3500,          2.0307,          2.8215,          2.3005,          1.1416,          1.5966,          2.2068,          1.2063,          1.2703,          1.3392,          1.0222,          0.7363,          0.7376,          0.0001,          2.3957
           9,        0.066667,          2.3308,          1.3775,          2.0350,          2.8333,          2.2588,          1.2668,          1.6782,          2.3103,          1.3445,          1.3313,          1.3369,          1.1730,          1.0913,          1.1425,          0.9581,          2.3617
          10,        0.075000,          2.3226,          1.3931,          2.0359,          2.7768,          2.2348,          1.3371,          1.7231,          2.2852,          1.4681,          1.3920,          1.4885,          1.4236,          1.4000,          1.8112,          1.4649,          2.3389
          11,        0.083333,          2.3175,          1.4025,          2.0357,          2.7100,          2.2188,          1.3708,          1.7494,          2.2530,          1.4997,          1.4998,          1.6745,          1.8430,          1.8892,          2.1244,          1.6797,          2.3260
          12,        0.091667,          2.3146,          1.4081,          2.0354,          2.6645,          2.2090,          1.3949,          1.7648,          2.1692,          1.6161,          1.5959,          1.8994,          2.0568,          1.9963,          2.1996,          1.8086,          2.3184
          13,        0.100000,          2.3131,          1.4109,          2.0347,          2.6352,          2.2033,          1.4106,          1.7736,          2.1827,          1.7003,          1.6935,          1.9955,          2.1416,          2.0640,          2.2382,          1.8378,          2.3139
          14,        0.108333,          2.3118,          1.4122,          2.0340,          2.6172,          2.1999,          1.4199,          1.7768,          2.2082,          1.7675,          1.7327,          2.0251,          2.1859,          2.0949,          2.2537,          1.8569,          2.3111
          15,        0.116667,          2.3108,          1.4130,          2.0333,          2.6059,          2.1972,          1.4247,          1.7796,          2.2496,          1.7830,          1.7423,          2.0387,          2.1979,          2.1017,          2.2600,          1.8712,          2.3093
          16,        0.125000,          2.3101,          1.4133,          2.0328,          2.5982,          2.1945,          1.4282,          1.7824,          2.2682,          1.7838,          1.7433,          2.0417,          2.1963,          2.1037,          2.2658,          1.8781,          2.3079
          17,        0.133333,          2.3096,          1.4136,          2.0325,          2.5927,          2.1936,          1.4313,          1.7853,          2.2753,          1.7836,          1.7439,          2.0415,          2.1974,          2.1052,          2.2671,          1.8802,          2.3070
          18,        0.141667,          2.3093,          1.4138,          2.0323,          2.5889,          2.1934,          1.4340,          1.7872,          2.2784,          1.7845,          1.7447,          2.0421,          2.1993,          2.1065,          2.2675,          1.8806,          2.3062
          19,        0.150000,          2.3090,          1.4140,          2.0322,          2.5869,          2.1936,          1.4355,          1.7883,          2.2797,          1.7856,          1.7457,          2.0432,          2.2006,          2.1075,          2.2681,          1.8811,          2.3057
          20,        0.158333,          2.3088,          1.4141,          2.0321,          2.5864,          2.1937,          1.4362,          1.7888,          2.2800,          1.7866,          1.7467,          2.0439,          2.2011,          2.1083,          2.2693,          1.8821,          2.3053
          21,        0.166667,          2.3086,          1.4142,          2.0320,          2.5860,          2.1937,          1.4366,          1.7892,          2.2799,          1.7874,          1.7474,          2.0443,          2.2013,          2.1089,          2.2706,          1.8834,          2.3051
          22,        0.175000,          2.3086,          1.4143,          2.0320,          2.5857,          2.1937,          1.4368,          1.7893,          2.2798,          1.7880,          1.7478,          2.0446,          2.2015,          2.1094,          2.2719,          1.8843,          2.3049
          23,        0.183333,          2.3085,          1.4143,          2.0321,          2.5855,          2.1938,          1.4370,          1.7894,          2.2796,          1.7883,          1.7481,          2.0447,          2.2018,          2.1099,          2.2727,          1.8851,          2.3048
          24,        0.191667,          2.3086,          1.4143,          2.0320,          2.5854,          2.1937,          1.4371,          1.7895,          2.2797,          1.7885,          1.7483,          2.0448,          2.2021,          2.1103,          2.2734,          1.8856,          2.3048
