Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.20,      0.20
Start 2D BC Array Sizes Domain_001                ,      0.22,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.23,      0.01
Start Estry Setup s0                              ,      0.23,      0.00
End Estry Setup s0                                ,      0.23,      0.00
Start TUFLOW Setup s2                             ,      0.23,      0.00
End TUFLOW Setup s2                               ,      0.45,      0.22
Reading Geometry File Domain_001                  ,      0.48,      0.03
Start Read Grid Read GRID Zpts                    ,      0.48,      0.00
End Read Grid Read GRID Zpts                      ,      0.49,      0.01
Start Read Read GIS Code                          ,      0.50,      0.01
End Read Read GIS Code                            ,      0.50,      0.01
Finished Reading Geometry File Domain_001         ,      0.51,      0.00
Start Read input file (stage 2) Domain_001        ,      0.51,      0.00
End Read input file (stage 2) Domain_001          ,      0.54,      0.03
Identifying cells within user defined output zones,      0.54,      0.00
Finished Identifying cells within user defined out,      0.54,      0.00
Setting instability water levels Domain_001       ,      0.54,      0.00
Finished Setting instability water levels Domain_0,      0.54,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.54,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.54,      0.00
Start Reading Input File (Stage 3)                ,      0.54,      0.00
End Reading Input File (Stage 3)                  ,      0.54,      0.00
Reading Boundary File Domain_001                  ,      0.54,      0.00
Finished Reading Boundary File Domain_001         ,      0.63,      0.08
Initialising 2D Data (Stage 1) Domain_001         ,      0.63,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.64,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.64,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.67,      0.02
Start Writing _grd_check                          ,      0.69,      0.02
End Writing _grd_check                            ,      1.50,      0.81
Start Writing _zpt_check                          ,      1.50,      0.00
End Writing _zpt_check                            ,      2.52,      1.02
Start Writing _uvpt_check                         ,      2.52,      0.00
End Writing _uvpt_check                           ,      3.20,      0.68
Start Writing check DEMs                          ,      4.91,      1.71
Start Calculating grid interpolation factors      ,      4.91,      0.00
End Calculating grid interpolation factors        ,      4.98,      0.07
End Writing check DEMs                            ,      5.04,      0.06
Start Calculating grid interpolation factors      ,      5.04,      0.00
End Calculating grid interpolation factors        ,      5.11,      0.07
Starting Simulation                               ,      5.13,      0.02
Summary File Close                                ,      5.14,      0.01
