"OutphaseC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_010.tcf]","Time (h)","Q 2 [OutphaseC4_010]","Q 3 [OutphaseC4_010]","Q 4 [OutphaseC4_010]","Q 5 [OutphaseC4_010]","Q 6 [OutphaseC4_010]","Q 7 [OutphaseC4_010]","Q 1 [OutphaseC4_010]","Q  8 [OutphaseC4_010]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.2115,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.3066,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9660,          0.0000
           6,        0.041667,         -0.3010,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9576,          0.0000
           7,        0.050000,         -1.9508,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.9261,          0.0000
           8,        0.058333,         -3.3945,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8734,          0.0000
           9,        0.066667,         -4.7455,         -1.2134,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8045,          0.0000
          10,        0.075000,         -5.9385,         -2.2854,          0.0000,          0.0000,          0.0000,          0.0000,         -7.4913,          0.0000
          11,        0.083333,         -6.8805,         -2.5042,          0.0000,          0.0000,          0.0000,          0.0000,         -8.1720,          0.0000
          12,        0.091667,         -7.6633,         -3.1208,          0.0000,          0.0000,          0.0000,          0.0000,         -8.5849,          0.0000
          13,        0.100000,         -8.2422,         -3.4168,          0.0000,          0.0000,          0.0000,          0.0000,         -8.9432,          0.0000
          14,        0.108333,         -8.6926,         -3.6985,          0.0000,          0.0000,          0.0000,          0.0000,         -9.2194,          0.0000
          15,        0.116667,         -9.0383,         -3.9702,          0.0000,          0.0000,          0.0000,          0.0000,         -9.3894,          0.0000
          16,        0.125000,         -9.2810,         -4.1294,          0.0000,          0.0000,          0.0000,          0.0000,         -9.6017,          0.0000
          17,        0.133333,         -9.4833,         -4.3258,          0.0000,          0.0000,          0.0000,          0.0000,         -9.6637,          0.0000
          18,        0.141667,         -9.6124,         -4.5256,          0.0000,          0.0000,          0.0000,          0.0000,         -9.8093,          0.0000
          19,        0.150000,         -9.7235,         -4.7204,         -0.2958,          0.0000,          0.0000,          0.0000,         -9.8160,          0.0000
          20,        0.158333,         -9.7948,         -4.9865,         -0.7877,          0.0000,          0.0000,          0.0000,         -9.8699,          0.0000
          21,        0.166667,         -9.8520,         -5.3566,         -1.3678,          0.0000,          0.0000,          0.0000,         -9.9191,          0.0000
          22,        0.175000,         -9.8885,         -5.6935,         -2.0103,         -0.7024,          0.0000,          0.0000,         -9.9206,          0.0000
          23,        0.183333,         -9.9196,         -6.0685,         -2.6862,         -1.6394,          0.0000,          0.0000,         -9.9812,          0.0000
          24,        0.191667,         -9.9396,         -6.4178,         -3.3653,         -2.3311,          0.0000,          0.0000,         -9.9257,          0.0000
          25,        0.200000,         -9.9599,         -6.7785,         -4.0270,         -2.7307,          0.0000,          0.0000,         -9.9858,          0.0000
          26,        0.208333,         -9.9718,         -7.1209,         -4.6616,         -3.1501,          0.0000,          0.0000,         -9.9756,          0.0000
          27,        0.216667,         -9.9766,         -7.4268,         -5.2555,         -3.5285,          0.0000,          0.0000,         -9.9681,          0.0000
