"OutphaseC4_019","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_019.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\results\019\OutphaseC4_019_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          2.3766,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.6066,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -33.5447,         -0.0002
,        0.016667,          1.7678,          0.0000,          2.7501,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.1547,        -24.7908,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -52.0093,         -0.0003
,        0.025000,          2.0205,          2.0075,          3.8067,          1.7657,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          1.0982,        -46.0245,        -27.9392,          0.0000,          0.0000,          0.0000,          0.0000,        -60.6581,         -0.0005
,        0.033333,          2.0245,          2.5972,          4.2710,          1.3767,          1.1592,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.0744,        -60.5766,        -34.0827,          0.0000,          0.0000,          0.0000,          0.0000,        -70.7099,         -0.0007
,        0.041667,          2.0112,          2.8483,          2.9689,          1.4623,          1.0482,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0160,        -68.3406,        -37.9906,         -7.3130,          0.0000,          0.0000,          0.0000,        -73.7496,          0.0006
,        0.050000,          2.0086,          2.9674,          3.1306,          1.8451,          1.2236,          0.0000,          0.9334,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0043,        -72.6563,        -44.8806,        -19.1230,         -9.3846,          0.0000,          0.0000,        -76.1925,          0.0002
,        0.058333,          1.9968,          3.0448,          2.9123,          2.0084,          1.3694,          1.3393,          1.8933,          0.7190,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0009,        -75.4112,        -51.4210,        -31.7485,        -22.9530,          0.0000,          0.0000,        -77.7559,          0.0008
,        0.066667,          1.9943,          3.0936,          2.7615,          2.0584,          1.5638,          1.8403,          2.4454,          0.4758,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9973,        -77.2026,        -57.9179,        -42.3629,        -29.6207,          0.0000,          0.0000,        -78.6052,         -0.0010
,        0.075000,          1.9908,          3.1178,          2.6427,          2.0841,          1.6741,          2.1346,          0.7921,          0.5201,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9961,        -78.3081,        -63.0922,        -50.6923,        -35.1790,          0.0000,          0.0000,        -79.1590,          0.0000
