"OutphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_021.tcf]","Time (h)","V 2 [OutphaseC4_021]","V 3 [OutphaseC4_021]","V 4 [OutphaseC4_021]","V 5 [OutphaseC4_021]","V 6 [OutphaseC4_021]","V 7 [OutphaseC4_021]","V 8 [OutphaseC4_021]","V 9 [OutphaseC4_021]","V 10 [OutphaseC4_021]","V 11 [OutphaseC4_021]","V 12 [OutphaseC4_021]","V 13 [OutphaseC4_021]","V 14 [OutphaseC4_021]","V 15 [OutphaseC4_021]","V 16 [OutphaseC4_021]","V  1 [OutphaseC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.4525,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.7466
           3,        0.016667,          1.9356,          1.6766,          3.3435,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.2919
           4,        0.025000,          2.1224,          2.7198,          4.2970,          1.8865,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.0001,          1.1899
           5,        0.033333,          2.1234,          3.1132,          4.6708,          1.5889,          1.2119,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.0001,          1.1259
           6,        0.041667,          2.0912,          3.3105,          3.6195,          1.9022,          1.2749,          0.0000,          0.4980,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          1.1082
           7,        0.050000,          2.0854,          3.4272,          3.3720,          2.2889,          1.4396,          1.5491,          1.9380,          0.8479,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0003,          0.0001,          1.1002
           8,        0.058333,          2.0811,          3.4827,          3.1768,          2.4186,          1.7001,          2.1297,          2.7018,          0.5739,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0007,          0.0001,          1.0958
           9,        0.066667,          2.0783,          3.5028,          3.0381,          2.3865,          1.8759,          2.4503,          1.1182,          0.6103,          0.4411,          0.0000,          0.0001,          0.0001,          0.0001,          0.0007,          0.0001,          1.0941
          10,        0.075000,          2.0777,          3.5100,          2.9341,          2.3537,          1.9526,          2.6610,          0.4563,          0.7101,          1.2519,          1.0180,          0.0176,          0.0001,          0.0000,          0.0005,          0.0001,          1.0933
          11,        0.083333,          2.0771,          3.5093,          2.8614,          2.3328,          1.9745,          2.7739,          0.3862,          0.8120,          1.5943,          2.1766,          0.5166,          0.4365,          0.6578,          0.0004,          0.0001,          1.0927
          12,        0.091667,          2.0767,          3.5034,          2.8052,          2.2786,          2.0032,          2.7319,          0.4281,          0.9045,          1.7657,          2.8398,          0.1593,          0.4512,          0.5311,          1.1727,          0.0001,          1.0924
          13,        0.100000,          2.0766,          3.3733,          2.7525,          2.2410,          2.0238,          2.7273,          0.4799,          1.0195,          1.8599,          3.2738,          0.0472,          0.5658,          0.6781,          1.7211,          0.1981,          1.0923
          14,        0.108333,          2.0765,          3.0677,          2.7073,          2.2087,          2.0275,          2.7294,          0.5305,          1.0937,          1.9375,          3.5643,          0.0639,          0.7547,          0.8983,          2.1847,          0.6648,          1.0922
          15,        0.116667,          2.0764,          2.8132,          2.6708,          2.1782,          2.0312,          2.7363,          0.5848,          1.1224,          1.9631,          3.7664,          0.1953,          0.9145,          1.3209,          2.4792,          1.9106,          1.0922
          16,        0.125000,          2.0764,          2.6757,          2.6454,          2.1665,          2.0430,          2.7468,          0.6311,          1.1501,          1.9819,          3.9118,          0.2846,          1.0829,          1.5591,          2.7148,          2.6503,          1.0921
          17,        0.133333,          2.0765,          2.5876,          2.6304,          2.1606,          2.0452,          2.7478,          0.6627,          1.1804,          2.0039,          3.9409,          0.3573,          1.1197,          1.7280,          2.8839,          3.0511,          1.0922
          18,        0.141667,          2.0765,          2.5406,          2.6188,          2.1463,          2.0395,          2.7536,          0.6849,          1.1976,          2.0203,          3.3559,          0.4280,          1.2128,          1.8591,          3.0284,          3.2546,          1.0921
          19,        0.150000,          2.0764,          2.5013,          2.6080,          2.1347,          2.0353,          2.7575,          0.7019,          1.2068,          2.0292,          2.9605,          0.4650,          1.2979,          1.9434,          3.1306,          3.6239,          1.0922
          20,        0.158333,          2.0765,          2.4793,          2.5976,          2.1197,          2.0330,          2.7602,          0.7008,          1.2211,          2.0444,          2.7680,          0.4800,          1.3091,          2.0030,          3.1985,          4.4623,          1.0922
          21,        0.166667,          2.0765,          2.4630,          2.5891,          2.1074,          2.0298,          2.7630,          0.7003,          1.2004,          2.0468,          2.6765,          0.4858,          1.3217,          2.0429,          3.2188,          4.8607,          1.0922
          22,        0.175000,          2.0764,          2.4495,          2.5841,          2.1044,          2.0318,          2.7665,          0.7098,          1.1981,          2.0537,          2.6247,          0.4957,          1.3560,          2.0695,          3.2067,          4.9575,          1.0922
          23,        0.183333,          2.0764,          2.4405,          2.5810,          2.1016,          2.0333,          2.7683,          0.7193,          1.2168,          2.0749,          2.5876,          0.5003,          1.3897,          2.0877,          3.1953,          5.0304,          1.0922
          24,        0.191667,          2.0765,          2.4340,          2.5791,          2.0992,          2.0311,          2.7695,          0.7319,          1.2278,          2.0786,          2.5607,          0.4910,          1.3626,          2.1049,          3.1922,          5.0941,          1.0922
          25,        0.200000,          2.0765,          2.4277,          2.5772,          2.0943,          2.0304,          2.7708,          0.7447,          1.2399,          2.0794,          2.5428,          0.4919,          1.3826,          2.1181,          3.1990,          5.1478,          1.0922
          26,        0.208333,          2.0764,          2.4235,          2.5748,          2.0912,          2.0288,          2.7720,          0.7478,          1.2504,          2.0851,          2.5315,          0.4894,          1.4046,          2.1264,          3.1929,          5.1890,          1.0922
          27,        0.216667,          2.0764,          2.4208,          2.5722,          2.0842,          2.0283,          2.7724,          0.7484,          1.2353,          2.0780,          2.5231,          0.4779,          1.3840,          2.1331,          3.1968,          5.2203,          1.0921
          28,        0.225000,          2.0764,          2.4186,          2.5720,          2.0840,          2.0292,          2.7737,          0.7492,          1.2290,          2.0809,          2.5171,          0.4710,          1.3936,          2.1367,          3.2023,          5.2468,          1.0922
          29,        0.233333,          2.0764,          2.4167,          2.5722,          2.0862,          2.0316,          2.7736,          0.7520,          1.2277,          2.0865,          2.5096,          0.4642,          1.3936,          2.1383,          3.1994,          5.2633,          1.0922
          30,        0.241667,          2.0764,          2.4154,          2.5720,          2.0834,          2.0296,          2.7727,          0.7578,          1.2309,          2.0902,          2.5031,          0.4539,          1.3803,          2.1384,          3.2025,          5.2775,          1.0921
          31,        0.250000,          2.0764,          2.4144,          2.5717,          2.0812,          2.0286,          2.7734,          0.7647,          1.2376,          2.0920,          2.4977,          0.4645,          1.4141,          2.1364,          3.2049,          5.2894,          1.0921
          32,        0.258333,          2.0763,          2.4137,          2.5714,          2.0796,          2.0290,          2.7738,          0.7649,          1.2436,          2.0934,          2.4950,          0.4781,          1.4230,          2.1359,          3.1992,          5.2979,          1.0922
          33,        0.266667,          2.0764,          2.4131,          2.5714,          2.0783,          2.0292,          2.7735,          0.7638,          1.2328,          2.0885,          2.4942,          0.4862,          1.4120,          2.1367,          3.2049,          5.3053,          1.0922
          34,        0.275000,          2.0763,          2.4125,          2.5715,          2.0774,          2.0294,          2.7738,          0.7653,          1.2273,          2.0879,          2.4941,          0.4937,          1.4082,          2.1366,          3.2063,          5.3116,          1.0921
          35,        0.283333,          2.0763,          2.4118,          2.5716,          2.0764,          2.0295,          2.7736,          0.7672,          1.2306,          2.0937,          2.4920,          0.4947,          1.3992,          2.1363,          3.2058,          5.3156,          1.0922
          36,        0.291667,          2.0763,          2.4116,          2.5717,          2.0753,          2.0294,          2.7736,          0.7698,          1.2309,          2.0932,          2.4896,          0.4891,          1.3879,          2.1360,          3.2071,          5.3191,          1.0921
          37,        0.300000,          2.0764,          2.4115,          2.5718,          2.0743,          2.0294,          2.7738,          0.7713,          1.2317,          2.0932,          2.4885,          0.4963,          1.4109,          2.1347,          3.2068,          5.3223,          1.0921
          38,        0.308333,          2.0764,          2.4113,          2.5720,          2.0734,          2.0296,          2.7736,          0.7715,          1.2301,          2.0927,          2.4875,          0.5067,          1.4222,          2.1335,          3.2028,          5.3236,          1.0922
          39,        0.316667,          2.0763,          2.4112,          2.5722,          2.0725,          2.0297,          2.7736,          0.7721,          1.2266,          2.0919,          2.4874,          0.5060,          1.4038,          2.1342,          3.2061,          5.3248,          1.0922
          40,        0.325000,          2.0763,          2.4110,          2.5723,          2.0718,          2.0298,          2.7737,          0.7729,          1.2257,          2.0929,          2.4870,          0.5057,          1.4012,          2.1347,          3.2089,          5.3270,          1.0922
          41,        0.333333,          2.0764,          2.4108,          2.5725,          2.0707,          2.0297,          2.7738,          0.7739,          1.2252,          2.0936,          2.4858,          0.5054,          1.4031,          2.1344,          3.2062,          5.3280,          1.0922
          42,        0.341667,          2.0764,          2.4107,          2.5726,          2.0703,          2.0300,          2.7739,          0.7750,          1.2243,          2.0935,          2.4850,          0.5056,          1.4037,          2.1342,          3.2066,          5.3285,          1.0922
          43,        0.350000,          2.0764,          2.4107,          2.5728,          2.0694,          2.0301,          2.7737,          0.7755,          1.2238,          2.0936,          2.4845,          0.5090,          1.4102,          2.1338,          3.2064,          5.3295,          1.0922
          44,        0.358333,          2.0763,          2.4106,          2.5729,          2.0687,          2.0302,          2.7737,          0.7761,          1.2219,          2.0934,          2.4842,          0.5107,          1.4084,          2.1336,          3.2061,          5.3298,          1.0921
          45,        0.366667,          2.0764,          2.4107,          2.5731,          2.0679,          2.0302,          2.7737,          0.7768,          1.2210,          2.0933,          2.4840,          0.5108,          1.4055,          2.1337,          3.2072,          5.3305,          1.0921
          46,        0.375000,          2.0763,          2.4107,          2.5733,          2.0674,          2.0303,          2.7739,          0.7773,          1.2201,          2.0940,          2.4837,          0.5113,          1.4054,          2.1337,          3.2072,          5.3308,          1.0922
          47,        0.383333,          2.0763,          2.4106,          2.5735,          2.0667,          2.0304,          2.7738,          0.7781,          1.2188,          2.0936,          2.4834,          0.5113,          1.4047,          2.1336,          3.2068,          5.3311,          1.0921
          48,        0.391667,          2.0763,          2.4105,          2.5736,          2.0662,          2.0304,          2.7738,          0.7786,          1.2182,          2.0941,          2.4831,          0.5124,          1.4061,          2.1336,          3.2070,          5.3312,          1.0921
          49,        0.400000,          2.0763,          2.4104,          2.5738,          2.0656,          2.0305,          2.7738,          0.7792,          1.2169,          2.0937,          2.4829,          0.5132,          1.4062,          2.1335,          3.2066,          5.3314,          1.0922
          50,        0.408333,          2.0764,          2.4104,          2.5739,          2.0650,          2.0306,          2.7738,          0.7797,          1.2159,          2.0940,          2.4828,          0.5136,          1.4047,          2.1336,          3.2071,          5.3315,          1.0922
          51,        0.416667,          2.0764,          2.4104,          2.5740,          2.0645,          2.0306,          2.7739,          0.7803,          1.2148,          2.0939,          2.4826,          0.5143,          1.4054,          2.1335,          3.2070,          5.3317,          1.0922
          52,        0.425000,          2.0763,          2.4105,          2.5742,          2.0640,          2.0307,          2.7739,          0.7807,          1.2141,          2.0941,          2.4824,          0.5144,          1.4038,          2.1336,          3.2069,          5.3317,          1.0921
          53,        0.433333,          2.0763,          2.4105,          2.5743,          2.0634,          2.0308,          2.7739,          0.7813,          1.2129,          2.0941,          2.4822,          0.5151,          1.4043,          2.1336,          3.2071,          5.3318,          1.0921
          54,        0.441667,          2.0763,          2.4104,          2.5744,          2.0630,          2.0308,          2.7739,          0.7818,          1.2121,          2.0942,          2.4821,          0.5156,          1.4038,          2.1335,          3.2069,          5.3319,          1.0921
          55,        0.450000,          2.0763,          2.4103,          2.5745,          2.0625,          2.0309,          2.7739,          0.7823,          1.2112,          2.0942,          2.4820,          0.5162,          1.4037,          2.1336,          3.2070,          5.3319,          1.0921
          56,        0.458333,          2.0763,          2.4102,          2.5747,          2.0620,          2.0310,          2.7739,          0.7827,          1.2101,          2.0941,          2.4818,          0.5165,          1.4028,          2.1336,          3.2070,          5.3320,          1.0921
          57,        0.466667,          2.0764,          2.4103,          2.5748,          2.0616,          2.0310,          2.7740,          0.7831,          1.2093,          2.0943,          2.4817,          0.5170,          1.4027,          2.1336,          3.2072,          5.3320,          1.0921
          58,        0.475000,          2.0763,          2.4104,          2.5749,          2.0612,          2.0311,          2.7739,          0.7836,          1.2083,          2.0943,          2.4816,          0.5174,          1.4021,          2.1337,          3.2070,          5.3320,          1.0922
          59,        0.483333,          2.0763,          2.4104,          2.5750,          2.0608,          2.0311,          2.7739,          0.7841,          1.2076,          2.0943,          2.4814,          0.5179,          1.4015,          2.1337,          3.2071,          5.3320,          1.0921
          60,        0.491667,          2.0763,          2.4104,          2.5751,          2.0604,          2.0312,          2.7739,          0.7845,          1.2067,          2.0944,          2.4813,          0.5185,          1.4015,          2.1337,          3.2071,          5.3321,          1.0922
          61,        0.500000,          2.0763,          2.4103,          2.5752,          2.0600,          2.0313,          2.7740,          0.7849,          1.2058,          2.0944,          2.4812,          0.5188,          1.4005,          2.1338,          3.2070,          5.3320,          1.0922
          62,        0.508333,          2.0763,          2.4102,          2.5753,          2.0597,          2.0313,          2.7740,          0.7853,          1.2051,          2.0945,          2.4811,          0.5193,          1.4003,          2.1338,          3.2071,          5.3320,          1.0921
          63,        0.516667,          2.0764,          2.4102,          2.5754,          2.0593,          2.0313,          2.7740,          0.7857,          1.2042,          2.0945,          2.4810,          0.5198,          1.3996,          2.1338,          3.2070,          5.3321,          1.0921
          64,        0.525000,          2.0764,          2.4102,          2.5755,          2.0590,          2.0314,          2.7740,          0.7862,          1.2035,          2.0945,          2.4809,          0.5202,          1.3992,          2.1339,          3.2071,          5.3321,          1.0921
          65,        0.533333,          2.0764,          2.4103,          2.5756,          2.0587,          2.0315,          2.7739,          0.7865,          1.2027,          2.0946,          2.4807,          0.5207,          1.3987,          2.1339,          3.2071,          5.3321,          1.0921
          66,        0.541667,          2.0764,          2.4103,          2.5756,          2.0584,          2.0315,          2.7739,          0.7868,          1.2019,          2.0946,          2.4806,          0.5211,          1.3980,          2.1339,          3.2071,          5.3321,          1.0921
          67,        0.550000,          2.0763,          2.4103,          2.5757,          2.0580,          2.0315,          2.7740,          0.7872,          1.2011,          2.0946,          2.4805,          0.5217,          1.3977,          2.1340,          3.2071,          5.3321,          1.0922
          68,        0.558333,          2.0763,          2.4102,          2.5758,          2.0578,          2.0316,          2.7740,          0.7875,          1.2004,          2.0947,          2.4804,          0.5222,          1.3973,          2.1340,          3.2071,          5.3321,          1.0921
          69,        0.566667,          2.0764,          2.4101,          2.5759,          2.0575,          2.0316,          2.7740,          0.7879,          1.1997,          2.0947,          2.4803,          0.5227,          1.3965,          2.1340,          3.2071,          5.3321,          1.0921
          70,        0.575000,          2.0763,          2.4102,          2.5759,          2.0572,          2.0316,          2.7740,          0.7883,          1.1991,          2.0948,          2.4802,          0.5231,          1.3960,          2.1341,          3.2072,          5.3321,          1.0921
          71,        0.583333,          2.0764,          2.4102,          2.5760,          2.0569,          2.0317,          2.7740,          0.7885,          1.1985,          2.0948,          2.4800,          0.5233,          1.3950,          2.2405,          3.2121,          5.3320,          1.0922
          72,        0.591667,          2.0764,          2.4102,          2.5761,          2.0567,          2.0317,          2.7740,          0.7889,          1.1977,          2.0948,          2.4808,          0.5240,          1.3944,          2.1350,          3.2127,          5.3297,          1.0921
          73,        0.600000,          2.0763,          2.4102,          2.5761,          2.0565,          2.0317,          2.7741,          0.7892,          1.1970,          2.0948,          2.4810,          0.5244,          1.3945,          2.1342,          3.2074,          5.3313,          1.0922
          74,        0.608333,          2.0763,          2.4102,          2.5762,          2.0563,          2.0317,          2.7741,          0.7895,          1.1964,          2.0950,          2.4798,          0.5251,          1.3938,          2.1341,          3.2073,          5.3318,          1.0922
          75,        0.616667,          2.0763,          2.4101,          2.5763,          2.0561,          2.0318,          2.7740,          0.7898,          1.1958,          2.0949,          2.4799,          0.5253,          1.3938,          2.1345,          3.2073,          5.3317,          1.0921
          76,        0.625000,          2.0764,          2.4100,          2.5763,          2.0558,          2.0318,          2.7740,          0.7901,          1.1953,          2.0950,          2.4798,          0.5259,          1.3922,          2.1343,          3.2072,          5.3318,          1.0921
          77,        0.633333,          2.0764,          2.4100,          2.5764,          2.0556,          2.0319,          2.7740,          0.7904,          1.1946,          2.0950,          2.4796,          0.5265,          1.3927,          2.1344,          3.2072,          5.3319,          1.0922
          78,        0.641667,          2.0763,          2.4101,          2.5765,          2.0554,          2.0318,          2.7740,          0.7906,          1.1940,          2.0950,          2.4795,          0.5269,          1.3915,          2.1343,          3.2071,          5.3319,          1.0922
