Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.23,      0.22
Start 2D BC Array Sizes Domain_001                ,      0.24,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.25,      0.01
Start Estry Setup s0                              ,      0.25,      0.00
End Estry Setup s0                                ,      0.25,      0.00
Start TUFLOW Setup s2                             ,      0.25,      0.00
End TUFLOW Setup s2                               ,      0.38,      0.13
Reading Geometry File Domain_001                  ,      0.41,      0.03
Start Read Grid Read GRID Zpts                    ,      0.41,      0.00
End Read Grid Read GRID Zpts                      ,      0.42,      0.01
Start Read Read GIS Code                          ,      0.42,      0.00
End Read Read GIS Code                            ,      0.43,      0.01
Finished Reading Geometry File Domain_001         ,      0.43,      0.00
Start Read input file (stage 2) Domain_001        ,      0.43,      0.00
End Read input file (stage 2) Domain_001          ,      0.45,      0.02
Identifying cells within user defined output zones,      0.45,      0.00
Finished Identifying cells within user defined out,      0.46,      0.00
Setting instability water levels Domain_001       ,      0.46,      0.00
Finished Setting instability water levels Domain_0,      0.46,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.46,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.46,      0.00
Start Reading Input File (Stage 3)                ,      0.46,      0.00
End Reading Input File (Stage 3)                  ,      0.46,      0.00
Reading Boundary File Domain_001                  ,      0.46,      0.00
Finished Reading Boundary File Domain_001         ,      0.53,      0.06
Initialising 2D Data (Stage 1) Domain_001         ,      0.53,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.54,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.54,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.56,      0.02
Start Writing _grd_check                          ,      0.58,      0.01
End Writing _grd_check                            ,      1.34,      0.76
Start Writing _zpt_check                          ,      1.34,      0.00
End Writing _zpt_check                            ,      2.39,      1.05
Start Writing _uvpt_check                         ,      2.39,      0.00
End Writing _uvpt_check                           ,      3.19,      0.80
Start Writing check DEMs                          ,      4.35,      1.16
Start Calculating grid interpolation factors      ,      4.35,      0.00
End Calculating grid interpolation factors        ,      4.42,      0.07
End Writing check DEMs                            ,      4.46,      0.04
Start Calculating grid interpolation factors      ,      4.46,      0.00
End Calculating grid interpolation factors        ,      4.53,      0.07
Starting Simulation                               ,      4.55,      0.03
Summary File Close                                ,      4.55,      0.00
