"OutphaseC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_011.tcf]","Time (h)","Q 2 [OutphaseC4_011]","Q 3 [OutphaseC4_011]","Q 4 [OutphaseC4_011]","Q 5 [OutphaseC4_011]","Q 6 [OutphaseC4_011]","Q 7 [OutphaseC4_011]","Q 1 [OutphaseC4_011]","Q  8 [OutphaseC4_011]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3566,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.6898,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.3563,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.1758,          0.0000
           6,        0.041667,         -1.7562,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6880,          0.0000
           7,        0.050000,         -3.6776,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8779,          0.0000
           8,        0.058333,         -5.5090,         -0.7787,          0.0000,          0.0000,          0.0000,          0.0000,         -8.0611,          0.0000
           9,        0.066667,         -7.0185,         -2.8803,          0.0000,          0.0000,          0.0000,          0.0000,         -9.0174,          0.0000
          10,        0.075000,         -8.2962,         -3.0789,          0.0000,          0.0000,          0.0000,          0.0000,         -9.7621,          0.0000
          11,        0.083333,         -9.2375,         -3.8392,          0.0000,          0.0000,          0.0000,          0.0000,        -10.4050,          0.0000
          12,        0.091667,        -10.0114,         -4.2866,          0.0000,          0.0000,          0.0000,          0.0000,        -10.7544,          0.0000
          13,        0.100000,        -10.5268,         -4.5726,          0.0000,          0.0000,          0.0000,          0.0000,        -11.1517,          0.0000
          14,        0.108333,        -10.9592,         -4.9517,          0.0000,          0.0000,          0.0000,          0.0000,        -11.3803,          0.0000
          15,        0.116667,        -11.2192,         -5.1521,          0.0000,          0.0000,          0.0000,          0.0000,        -11.5644,          0.0000
          16,        0.125000,        -11.4642,         -5.4408,          0.0000,          0.0000,          0.0000,          0.0000,        -11.6876,          0.0000
          17,        0.133333,        -11.5970,         -5.7706,         -0.4828,          0.0000,          0.0000,          0.0000,        -11.7480,          0.0000
          18,        0.141667,        -11.7220,         -6.1606,         -1.1737,          0.0000,          0.0000,          0.0000,        -11.8742,          0.0000
          19,        0.150000,        -11.8050,         -6.5860,         -1.9650,          0.0000,          0.0000,          0.0000,        -11.8316,          0.0000
          20,        0.158333,        -11.8552,         -7.0421,         -2.8308,         -1.4408,          0.0000,          0.0000,        -11.9480,          0.0000
          21,        0.166667,        -11.9175,         -7.5433,         -3.7150,         -2.4800,          0.0000,          0.0000,        -11.9213,          0.0000
          22,        0.175000,        -11.9096,         -7.9849,         -4.5840,         -3.1917,          0.0000,          0.0000,        -11.9197,          0.0000
          23,        0.183333,        -11.9563,         -8.4538,         -5.4153,         -3.6342,          0.0000,          0.0000,        -11.9737,          0.0000
          24,        0.191667,        -11.9483,         -8.8451,         -6.1909,         -4.2047,          0.0000,          0.0000,        -11.9622,          0.0000
          25,        0.200000,        -11.9800,         -9.2368,         -6.9048,         -4.6415,          0.0000,          0.0000,        -12.0502,          0.0000
          26,        0.208333,        -11.9924,         -9.5888,         -7.5483,         -5.0592,          0.0000,          0.0000,        -12.0128,          0.0000
          27,        0.216667,        -11.9777,         -9.8911,         -8.1336,         -5.4204,          0.0000,          0.0000,        -11.9445,          0.0000
          28,        0.225000,        -12.0045,        -10.1883,         -8.6415,         -5.7263,          0.0000,          0.0000,        -11.9549,          0.0000
          29,        0.233333,        -11.9770,        -10.4224,         -9.1015,         -6.0261,          0.0000,          0.0000,        -12.0023,          0.0000
          30,        0.241667,        -11.9999,        -10.6252,         -9.4927,         -6.3035,          0.0000,          0.0000,        -12.0564,          0.0000
          31,        0.250000,        -11.9930,        -10.8351,         -9.8422,         -6.5553,          0.0000,          0.0000,        -12.0466,          0.0000
          32,        0.258333,        -11.9977,        -10.9731,        -10.1449,         -6.8189,          0.0000,          0.0000,        -11.9452,          0.0000
          33,        0.266667,        -12.0092,        -11.1384,        -10.4051,         -7.1320,         -0.0411,          0.0000,        -11.9911,          0.0000
          34,        0.275000,        -11.9940,        -11.2506,        -10.6359,         -7.4594,         -0.9582,          0.0000,        -12.0245,          0.0000
          35,        0.283333,        -11.9969,        -11.3490,        -10.8261,         -7.7845,         -1.6875,          0.0000,        -12.0261,          0.0000
          36,        0.291667,        -11.9903,        -11.4627,        -10.9944,         -8.1293,         -2.4775,          0.0000,        -12.0034,          0.0000
          37,        0.300000,        -12.0028,        -11.5235,        -11.1417,         -8.4964,         -3.2883,          0.0000,        -11.9015,          0.0000
          38,        0.308333,        -12.0040,        -11.6043,        -11.2626,         -8.8164,         -4.1094,          0.0000,        -12.0118,          0.0000
          39,        0.316667,        -12.0025,        -11.6468,        -11.3729,         -9.1602,         -4.8987,          0.0000,        -12.0524,          0.0000
          40,        0.325000,        -11.9944,        -11.7021,        -11.4613,         -9.4525,         -5.6558,         -0.0201,        -11.9740,          0.0000
          41,        0.333333,        -11.9980,        -11.7547,        -11.5411,         -9.7415,         -6.3559,         -0.1544,        -11.9165,          0.0000
          42,        0.341667,        -12.0034,        -11.7924,        -11.6091,        -10.0025,         -7.0089,         -0.3292,        -11.8580,          0.0000
          43,        0.350000,        -11.9974,        -11.8123,        -11.6652,        -10.2445,         -7.6032,         -0.5605,        -11.9535,          0.0000
          44,        0.358333,        -12.0043,        -11.8414,        -11.7144,        -10.4605,         -8.1359,         -0.7968,        -12.0011,          0.0000
          45,        0.366667,        -12.0004,        -11.8669,        -11.7566,        -10.6518,         -8.6165,         -1.0160,        -11.8900,          0.0000
          46,        0.375000,        -12.0112,        -11.8844,        -11.7896,        -10.8204,         -9.0414,         -1.2895,        -11.8984,          0.0000
          47,        0.383333,        -12.0004,        -11.9073,        -11.8230,        -10.9685,         -9.4221,         -1.6026,        -11.8772,          0.0000
          48,        0.391667,        -11.9913,        -11.9063,        -11.8489,        -11.1067,         -9.7576,         -1.9572,        -11.8464,          0.0000
          49,        0.400000,        -12.0052,        -11.9394,        -11.8699,        -11.2188,        -10.0515,         -2.4564,        -11.9026,         -0.0004
          50,        0.408333,        -12.0084,        -11.9398,        -11.8915,        -11.3309,        -10.3102,         -3.0054,        -11.9226,         -0.8019
          51,        0.416667,        -12.0148,        -11.9458,        -11.9028,        -11.4123,        -10.5272,         -3.6166,        -12.0293,         -1.5030
          52,        0.425000,        -11.9966,        -11.9549,        -11.9199,        -11.4989,        -10.6529,         -4.2645,        -11.9779,         -2.2583
          53,        0.433333,        -11.9964,        -11.9610,        -11.9307,        -11.5625,        -10.7584,         -4.9333,        -11.8048,         -3.0475
          54,        0.441667,        -12.0016,        -11.9733,        -11.9421,        -11.6232,        -10.8725,         -5.5921,        -11.8240,         -3.8576
          55,        0.450000,        -12.0112,        -11.9702,        -11.9503,        -11.6764,        -10.9880,         -6.2170,        -12.0067,         -4.6352
          56,        0.458333,        -12.0041,        -11.9775,        -11.9577,        -11.7180,        -11.0931,         -6.8232,        -12.1244,         -5.3923
          57,        0.466667,        -11.9986,        -11.9708,        -11.9629,        -11.7595,        -11.1964,         -7.3827,        -12.1795,         -6.1006
          58,        0.475000,        -12.0052,        -11.9940,        -11.9680,        -11.7895,        -11.2855,         -7.9022,        -12.0224,         -6.7567
          59,        0.483333,        -11.9938,        -11.9782,        -11.9748,        -11.8217,        -11.3694,         -8.3794,        -11.8184,         -7.3641
          60,        0.491667,        -12.0014,        -11.9884,        -11.9742,        -11.8401,        -11.4421,         -8.8127,        -11.9337,         -7.9121
          61,        0.500000,        -11.9927,        -11.9922,        -11.9831,        -11.8699,        -11.5103,         -9.1977,        -12.0879,         -8.4067
