"OutphaseC4_016","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_016.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\results\016\OutphaseC4_016_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          2.1329,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.4813,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -18.8303,         -0.0002
,        0.016667,          1.4445,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8720,         -7.4079,          0.0000,          0.0000,         -0.0000,          0.0000,          0.0000,        -25.6075,          0.0002
,        0.025000,          1.6654,          0.0000,          2.6600,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8978,        -21.7900,          0.0000,          0.0000,         -0.0000,          0.0000,          0.0000,        -33.3634,         -0.0002
,        0.033333,          1.6994,          1.1349,          3.3374,          1.2528,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7902,        -32.1588,        -18.5928,          0.0000,         -0.0000,          0.0000,          0.0000,        -39.8481,          0.0002
,        0.041667,          1.7761,          1.7807,          3.6208,          0.9201,          0.7612,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8162,        -39.2616,        -19.2633,          0.0000,         -0.0000,          0.0000,          0.0000,        -43.3010,          0.0001
,        0.050000,          1.7886,          1.9437,          2.6233,          1.0094,          0.7702,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.8700,        -43.4801,        -22.6515,         -0.9255,         -0.0000,          0.0000,          0.0000,        -47.6470,         -0.0002
,        0.058333,          1.8039,          2.0754,          2.5213,          1.2370,          0.8914,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.7950,        -46.4572,        -26.4173,         -6.9207,         -0.0000,          0.0000,          0.0000,        -47.2491,          0.0003
,        0.066667,          1.8224,          2.1331,          2.2920,          1.4005,          0.9825,          0.0000,          0.6294,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8336,        -47.6723,        -29.5631,        -13.6453,         -6.7698,          0.0000,          0.0000,        -48.7674,          0.0002
,        0.075000,          1.8241,          2.1756,          2.1466,          1.4705,          1.1178,          0.0974,          1.3308,          0.4662,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8349,        -48.7271,        -33.3321,        -20.1394,        -14.9887,          0.0000,          0.0000,        -49.9371,         -0.0002
,        0.083333,          1.8253,          2.1944,          2.0416,          1.4972,          1.2210,          0.7600,          1.7383,          0.3488,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8112,        -49.1792,        -36.4554,        -25.9406,        -18.2092,          0.0000,          0.0000,        -49.2599,          0.0002
,        0.091667,          1.8233,          2.2187,          1.9699,          1.5022,          1.2939,          1.2667,          0.9056,          0.3379,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8205,        -49.6070,        -39.0783,        -30.7079,        -21.0170,          0.0000,          0.0000,        -49.5148,          0.0002
,        0.100000,          1.8275,          2.2203,          1.9202,          1.4969,          1.3491,          1.5023,          0.0915,          0.3481,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8235,        -49.7698,        -41.2673,        -34.5933,        -23.8140,          0.0000,          0.0000,        -50.1915,          0.0005
,        0.108333,          1.8294,          2.2202,          1.8778,          1.4890,          1.3877,          1.6643,          0.1105,          0.3617,          0.4536,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8197,        -49.8162,        -42.9513,        -37.7171,        -26.2754,         -2.1050,          0.0000,        -49.9809,         -0.0000
,        0.116667,          1.8281,          2.2315,          1.8435,          1.4739,          1.4129,          1.7521,          0.0990,          0.4020,          0.9030,          0.2181,          0.4141,          0.0000,          0.0000,          0.0000,          0.0001,          0.8196,        -49.8896,        -44.4824,        -40.2394,        -29.3301,         -7.5116,          0.0000,        -49.8168,          0.0009
,        0.125000,          1.8275,          2.2054,          1.8126,          1.4497,          1.4294,          1.8315,          0.0742,          0.4516,          1.1607,          1.3384,          0.2572,          0.3403,          0.5532,          0.0000,          0.0000,          0.8207,        -49.9568,        -45.6050,        -42.2582,        -32.2070,        -13.0983,         -1.2207,        -50.0356,         -0.0004
,        0.133333,          1.8286,          2.0586,          1.7841,          1.4290,          1.4389,          1.8924,          0.0575,          0.5072,          1.3277,          1.8047,          0.1393,          0.2879,          0.3141,          0.0000,          0.0002,          0.8209,        -49.9721,        -46.4971,        -43.8213,        -35.0192,        -18.5706,         -1.6357,        -50.0351,         -0.0002
,        0.141667,          1.8287,          1.8240,          1.7657,          1.4134,          1.4481,          1.9407,          0.0431,          0.5610,          1.4285,          2.1397,          0.1979,          0.3504,          0.4412,          0.0000,          0.0002,          0.8208,        -49.9735,        -47.2325,        -45.0968,        -37.4577,        -23.5771,         -4.1428,        -49.9654,          0.0005
,        0.150000,          1.8282,          1.6375,          1.7495,          1.4038,          1.4564,          1.9779,          0.0458,          0.5778,          1.5146,          2.3910,          0.2280,          0.3509,          0.4603,          0.9140,          0.0001,          0.8198,        -49.9889,        -47.7981,        -46.1066,        -39.5699,        -27.9924,         -6.4966,        -50.0204,          0.0002
,        0.158333,          1.8284,          1.4596,          1.7335,          1.3923,          1.4608,          2.0066,          0.0789,          0.5850,          1.5667,          2.5810,          0.2143,          0.4009,          0.5321,          1.4093,          0.0001,          0.8204,        -49.9770,        -48.2631,        -46.8972,        -41.3963,        -31.7890,         -9.5583,        -50.0167,         -1.6518
,        0.166667,          1.8285,          1.3582,          1.7272,          1.3800,          1.4660,          2.0284,          0.1209,          0.6157,          1.6103,          2.7319,          0.1597,          0.4686,          0.6930,          1.7517,          0.5617,          0.8212,        -49.9706,        -48.6042,        -47.5303,        -42.9071,        -34.9887,        -13.5659,        -49.9892,         -5.4435
,        0.175000,          1.8285,          1.3060,          1.7138,          1.3835,          1.4650,          2.0471,          0.1559,          0.6565,          1.6550,          2.8505,          0.1190,          0.5410,          0.8486,          1.9938,          1.4758,          0.8197,        -49.9872,        -48.9060,        -48.0387,        -44.2016,        -37.5998,        -17.6714,        -50.0211,        -10.2072
,        0.183333,          1.8287,          1.2306,          1.7060,          1.3647,          1.4723,          2.0609,          0.1836,          0.6884,          1.6916,          2.9402,          0.0981,          0.6034,          0.9866,          2.1758,          2.0441,          0.8200,        -49.9875,        -49.1213,        -48.4327,        -45.2730,        -39.3986,        -21.8535,        -50.0106,        -15.1677
,        0.191667,          1.8285,          1.1988,          1.7033,          1.3566,          1.4631,          2.0711,          0.2017,          0.7090,          1.7140,          2.9984,          0.1031,          0.6790,          1.0918,          2.3217,          2.5617,          0.8211,        -49.9925,        -49.3015,        -48.7542,        -46.1281,        -40.8798,        -25.7762,        -49.9912,        -19.9750
,        0.200000,          1.8286,          1.1910,          1.6952,          1.3652,          1.4716,          2.0822,          0.2128,          0.7177,          1.7318,          2.5341,          0.1216,          0.7407,          1.1714,          2.4317,          3.1372,          0.8197,        -49.9936,        -49.4477,        -49.0087,        -46.8530,        -42.3633,        -29.3647,        -50.0137,        -24.4171
,        0.208333,          1.8287,          1.1539,          1.6883,          1.3492,          1.4743,          2.0895,          0.2202,          0.7172,          1.7454,          2.0494,          0.1366,          0.7597,          1.2337,          2.5194,          3.6281,          0.8199,        -49.9894,        -49.5570,        -49.2081,        -47.4480,        -43.6345,        -32.5633,        -50.0089,        -28.3669
,        0.216667,          1.8285,          1.1448,          1.6839,          1.3395,          1.4658,          2.0944,          0.2234,          0.7153,          1.7562,          1.7529,          0.1629,          0.7443,          1.2836,          2.5922,          3.7566,          0.8210,        -49.9883,        -49.6504,        -49.3718,        -47.9282,        -44.7016,        -35.3470,        -49.9874,        -31.8270
,        0.225000,          1.8287,          1.1455,          1.6807,          1.3415,          1.4704,          2.0996,          0.2282,          0.7089,          1.7669,          1.5864,          0.1806,          0.7590,          1.3187,          2.6517,          3.8705,          0.8196,        -49.9949,        -49.7228,        -49.4993,        -48.3129,        -45.6078,        -37.7528,        -50.0111,        -34.8018
,        0.233333,          1.8286,          1.1208,          1.6793,          1.3399,          1.4745,          2.1028,          0.2298,          0.7090,          1.7727,          1.4946,          0.1915,          0.7969,          1.3445,          2.6968,          3.9586,          0.8197,        -49.9923,        -49.7754,        -49.6017,        -48.6303,        -46.3692,        -39.7887,        -50.0133,        -37.3439
,        0.241667,          1.8285,          1.1155,          1.6796,          1.3406,          1.4732,          2.1059,          0.2328,          0.7130,          1.7848,          1.4420,          0.1968,          0.8330,          1.3630,          2.7301,          4.0313,          0.8208,        -49.9947,        -49.8193,        -49.6844,        -48.8961,        -46.9985,        -41.5237,        -49.9867,        -39.4740
,        0.250000,          1.8288,          1.1222,          1.6817,          1.3428,          1.4745,          2.1084,          0.2395,          0.6996,          1.7872,          1.4102,          0.1983,          0.8601,          1.3745,          2.7601,          4.0916,          0.8197,        -49.9975,        -49.8594,        -49.7453,        -49.0965,        -47.5410,        -42.9795,        -50.0077,        -41.2721
,        0.258333,          1.8285,          1.1054,          1.6818,          1.3464,          1.4750,          2.1102,          0.2393,          0.7190,          1.7898,          1.3898,          0.1965,          0.8796,          1.3823,          2.7852,          4.1386,          0.8198,        -50.0004,        -49.8851,        -49.7959,        -49.2667,        -47.9644,        -44.1795,        -50.0104,        -42.7728
,        0.266667,          1.8285,          1.1024,          1.6789,          1.3439,          1.4744,          2.1115,          0.2374,          0.7203,          1.8039,          1.3790,          0.1966,          0.8831,          1.3915,          2.8050,          4.1758,          0.8207,        -49.9938,        -49.9099,        -49.8386,        -49.4107,        -48.3385,        -45.1905,        -49.9864,        -44.0216
,        0.275000,          1.8287,          1.1117,          1.6765,          1.3355,          1.4714,          2.1125,          0.2403,          0.7028,          1.7961,          1.3697,          0.1947,          0.8836,          1.3976,          2.8227,          4.2055,          0.8198,        -50.0007,        -49.9312,        -49.8725,        -49.5181,        -48.6333,        -46.0374,        -50.0046,        -45.0600
,        0.283333,          1.8284,          1.0992,          1.6750,          1.3326,          1.4696,          2.1133,          0.2435,          0.7028,          1.7966,          1.3661,          0.1955,          0.8745,          1.4020,          2.8361,          4.2298,          0.8197,        -50.0006,        -49.9395,        -49.8968,        -49.6106,        -48.8781,        -46.7254,        -50.0121,        -45.9216
,        0.291667,          1.8285,          1.0959,          1.6744,          1.3329,          1.4725,          2.1145,          0.2420,          0.7178,          1.8053,          1.3628,          0.1966,          0.8674,          1.4062,          2.8481,          4.2497,          0.8205,        -49.9935,        -49.9552,        -49.9197,        -49.6871,        -49.0791,        -47.3046,        -49.9900,        -46.6335
,        0.300000,          1.8287,          1.1060,          1.6744,          1.3332,          1.4738,          2.1150,          0.2394,          0.7141,          1.8097,          1.3594,          0.2006,          0.8658,          1.4110,          2.8572,          4.2659,          0.8199,        -50.0029,        -49.9654,        -49.9362,        -49.7443,        -49.2514,        -47.7786,        -50.0038,        -47.2239
,        0.308333,          1.8284,          1.0962,          1.6747,          1.3339,          1.4741,          2.1153,          0.2390,          0.7035,          1.8029,          1.3572,          0.2002,          0.8717,          1.4103,          2.8642,          4.2791,          0.8197,        -50.0009,        -49.9683,        -49.9481,        -49.7954,        -49.3861,        -48.1741,        -50.0105,        -47.7099
,        0.316667,          1.8286,          1.0928,          1.6749,          1.3341,          1.4740,          2.1158,          0.2389,          0.7025,          1.8048,          1.3572,          0.2037,          0.8640,          1.4131,          2.8686,          4.2899,          0.8204,        -49.9988,        -49.9779,        -49.9597,        -49.8352,        -49.5007,        -48.4959,        -49.9876,        -48.1139
,        0.325000,          1.8286,          1.1026,          1.6748,          1.3336,          1.4738,          2.1159,          0.2384,          0.7040,          1.8086,          1.3564,          0.2091,          0.8692,          1.4144,          2.8761,          4.2988,          0.8199,        -50.0020,        -49.9838,        -49.9685,        -49.8634,        -49.5907,        -48.7591,        -50.0008,        -48.4467
,        0.333333,          1.8284,          1.0951,          1.6748,          1.3328,          1.4734,          2.1160,          0.2381,          0.7025,          1.8094,          1.3559,          0.2091,          0.8846,          1.4101,          2.8794,          4.3060,          0.8197,        -50.0009,        -49.9842,        -49.9743,        -49.8905,        -49.6667,        -48.9785,        -50.0075,        -48.7184
,        0.341667,          1.8286,          1.0914,          1.6746,          1.3323,          1.4732,          2.1163,          0.2385,          0.7019,          1.8091,          1.3563,          0.2102,          0.8764,          1.4112,          2.8807,          4.3122,          0.8204,        -50.0013,        -49.9891,        -49.9802,        -49.9142,        -49.7299,        -49.1617,        -49.9912,        -48.9467
,        0.350000,          1.8286,          1.1007,          1.6744,          1.3318,          1.4734,          2.1165,          0.2394,          0.7015,          1.8100,          1.3562,          0.2120,          0.8664,          1.4147,          2.8855,          4.3172,          0.8200,        -50.0016,        -49.9928,        -49.9839,        -49.9280,        -49.7789,        -49.3137,        -50.0016,        -49.1356
,        0.358333,          1.8284,          1.0951,          1.6745,          1.3310,          1.4734,          2.1166,          0.2395,          0.7041,          1.8105,          1.3551,          0.2128,          0.8656,          1.4163,          2.8883,          4.3215,          0.8197,        -50.0007,        -49.9926,        -49.9871,        -49.9440,        -49.8189,        -49.4375,        -50.0050,        -49.2904
,        0.366667,          1.8286,          1.0910,          1.6746,          1.3309,          1.4734,          2.1166,          0.2388,          0.7053,          1.8117,          1.3544,          0.2128,          0.8649,          1.4160,          2.8891,          4.3248,          0.8203,        -49.9970,        -49.9966,        -49.9910,        -49.9546,        -49.8547,        -49.5373,        -49.9905,        -49.4175
,        0.375000,          1.8285,          1.0993,          1.6745,          1.3306,          1.4736,          2.1168,          0.2383,          0.7026,          1.8109,          1.3535,          0.2143,          0.8640,          1.4165,          2.8902,          4.3273,          0.8200,        -50.0013,        -49.9982,        -49.9919,        -49.9616,        -49.8816,        -49.6204,        -50.0025,        -49.5207
,        0.383333,          1.8284,          1.0957,          1.6746,          1.3298,          1.4736,          2.1167,          0.2382,          0.7008,          1.8102,          1.3531,          0.2163,          0.8703,          1.4153,          2.8917,          4.3296,          0.8196,        -49.9988,        -49.9958,        -49.9929,        -49.9706,        -49.9019,        -49.6889,        -50.0033,        -49.6064
,        0.391667,          1.8286,          1.0911,          1.6746,          1.3294,          1.4733,          2.1169,          0.2382,          0.7008,          1.8110,          1.3537,          0.2162,          0.8753,          1.4131,          2.8928,          4.3316,          0.8202,        -49.9977,        -49.9994,        -49.9958,        -49.9764,        -49.9201,        -49.7427,        -49.9933,        -49.6778
,        0.400000,          1.8286,          1.0984,          1.6746,          1.3291,          1.4736,          2.1169,          0.2383,          0.7011,          1.8116,          1.3543,          0.2186,          0.8743,          1.4136,          2.8934,          4.3330,          0.8200,        -50.0017,        -49.9994,        -49.9958,        -49.9794,        -49.9352,        -49.7903,        -50.0018,        -49.7339
,        0.408333,          1.8285,          1.0961,          1.6748,          1.3286,          1.4737,          2.1169,          0.2384,          0.7013,          1.8118,          1.3549,          0.2184,          0.8796,          1.4124,          2.8951,          4.3343,          0.8197,        -49.9958,        -49.9969,        -49.9960,        -49.9841,        -49.9479,        -49.8299,        -50.0032,        -49.7828
