"OutphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_021.tcf]","Time (h)","Q 2 [OutphaseC4_021]","Q 3 [OutphaseC4_021]","Q 4 [OutphaseC4_021]","Q 5 [OutphaseC4_021]","Q 6 [OutphaseC4_021]","Q 7 [OutphaseC4_021]","Q 1 [OutphaseC4_021]","Q  8 [OutphaseC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -43.5374,         -0.0005
           3,        0.016667,        -39.9747,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -69.5558,         -0.0002
           4,        0.025000,        -64.2851,        -42.3176,          0.0000,          0.0000,          0.0000,          0.0000,        -79.5153,          0.0000
           5,        0.033333,        -78.2749,        -44.4790,         -4.0632,          0.0000,          0.0000,         -0.0000,        -88.5217,          0.0005
           6,        0.041667,        -86.6449,        -50.8822,        -17.9679,         -0.0000,          0.0000,         -0.0003,        -93.5353,         -0.0004
           7,        0.050000,        -92.1883,        -61.6140,        -35.1024,        -23.7121,          0.0000,          0.0002,        -96.3639,         -0.0002
           8,        0.058333,        -95.5955,        -70.6210,        -50.2046,        -36.1562,         -0.0000,          0.0004,        -97.8708,          0.0012
           9,        0.066667,        -97.4991,        -78.7778,        -61.9658,        -43.0864,          0.0000,         -0.0003,        -98.8162,          0.0004
          10,        0.075000,        -98.6013,        -84.1771,        -70.7110,        -50.9956,        -10.1859,         -0.0003,        -99.3571,         -0.0010
          11,        0.083333,        -99.2255,        -87.9101,        -77.1656,        -58.5107,        -23.7178,         -7.2564,        -99.6413,         -0.0010
          12,        0.091667,        -99.5434,        -90.7459,        -82.4711,        -66.1786,        -36.8606,         -9.0535,        -99.7978,          0.0005
          13,        0.100000,        -99.7745,        -92.9134,        -86.6056,        -72.8588,        -48.5643,        -16.7480,        -99.8891,         -5.3907
          14,        0.108333,        -99.8630,        -94.5879,        -89.7743,        -78.7989,        -58.2968,        -26.1283,        -99.9357,        -14.1260
          15,        0.116667,        -99.8779,        -95.8287,        -92.1756,        -83.3086,        -66.0165,        -35.3926,        -99.9630,        -22.7085
          16,        0.125000,        -99.8899,        -96.7565,        -94.1775,        -86.7512,        -71.6849,        -44.7588,        -99.9793,        -33.4630
          17,        0.133333,        -99.8934,        -97.5569,        -95.3761,        -89.3227,        -76.2101,        -53.3745,        -99.9892,        -43.7349
          18,        0.141667,        -99.9296,        -98.1031,        -96.4338,        -91.5153,        -80.5680,        -61.5753,        -99.9931,        -52.7771
          19,        0.150000,        -99.9400,        -98.5286,        -97.2200,        -93.2784,        -84.4118,        -68.2729,        -99.9974,        -60.6348
          20,        0.158333,        -99.9517,        -98.8717,        -97.8497,        -94.6341,        -87.4715,        -73.9249,        -99.9985,        -67.2685
          21,        0.166667,        -99.9584,        -99.1271,        -98.3388,        -95.7423,        -89.9357,        -78.5975,        -99.9988,        -72.8135
          22,        0.175000,        -99.9674,        -99.3222,        -98.7170,        -96.6099,        -91.9368,        -82.5112,        -99.9997,        -77.5194
          23,        0.183333,        -99.9744,        -99.4771,        -99.0088,        -97.2913,        -93.5380,        -85.7446,        -99.9985,        -81.5696
          24,        0.191667,        -99.9799,        -99.5962,        -99.2359,        -97.8416,        -94.8178,        -88.4478,        -99.9996,        -85.0038
          25,        0.200000,        -99.9832,        -99.6885,        -99.4106,        -98.2831,        -95.8708,        -90.6685,        -99.9991,        -87.8548
          26,        0.208333,        -99.9868,        -99.7573,        -99.5427,        -98.6290,        -96.7141,        -92.4811,        -99.9992,        -90.2029
          27,        0.216667,        -99.9917,        -99.8117,        -99.6453,        -98.8923,        -97.3816,        -93.9436,        -99.9987,        -92.1035
          28,        0.225000,        -99.9927,        -99.8554,        -99.7258,        -99.1087,        -97.9129,        -95.1188,       -100.0000,        -93.6406
          29,        0.233333,        -99.9944,        -99.8878,        -99.7860,        -99.2726,        -98.3476,        -96.0759,        -99.9991,        -94.8853
          30,        0.241667,        -99.9930,        -99.9131,        -99.8354,        -99.4106,        -98.6836,        -96.8458,        -99.9990,        -95.8853
          31,        0.250000,        -99.9955,        -99.9324,        -99.8718,        -99.5189,        -98.9484,        -97.4712,        -99.9992,        -96.6927
          32,        0.258333,        -99.9981,        -99.9483,        -99.8999,        -99.5995,        -99.1682,        -97.9774,       -100.0010,        -97.3446
          33,        0.266667,        -99.9993,        -99.9604,        -99.9227,        -99.6617,        -99.3396,        -98.3792,       -100.0009,        -97.8733
          34,        0.275000,        -99.9983,        -99.9682,        -99.9417,        -99.7103,        -99.4745,        -98.7008,       -100.0008,        -98.2954
          35,        0.283333,        -99.9981,        -99.9755,        -99.9521,        -99.7503,        -99.5849,        -98.9613,       -100.0009,        -98.6332
          36,        0.291667,        -99.9975,        -99.9812,        -99.9626,        -99.7835,        -99.6725,        -99.1695,        -99.9999,        -98.9065
          37,        0.300000,        -99.9988,        -99.9842,        -99.9730,        -99.8086,        -99.7380,        -99.3357,       -100.0004,        -99.1256
          38,        0.308333,        -99.9994,        -99.9891,        -99.9797,        -99.8286,        -99.7921,        -99.4704,       -100.0002,        -99.3005
          39,        0.316667,       -100.0003,        -99.9899,        -99.9816,        -99.8429,        -99.8357,        -99.5768,        -99.9992,        -99.4423
          40,        0.325000,       -100.0005,        -99.9935,        -99.9865,        -99.8536,        -99.8688,        -99.6620,       -100.0003,        -99.5540
          41,        0.333333,       -100.0004,        -99.9955,        -99.9916,        -99.8652,        -99.8975,        -99.7309,       -100.0013,        -99.6447
          42,        0.341667,        -99.9998,        -99.9949,        -99.9933,        -99.8718,        -99.9188,        -99.7857,       -100.0002,        -99.7173
          43,        0.350000,        -99.9985,        -99.9965,        -99.9917,        -99.8765,        -99.9359,        -99.8306,       -100.0001,        -99.7749
          44,        0.358333,        -99.9992,        -99.9982,        -99.9940,        -99.8807,        -99.9488,        -99.8642,        -99.9990,        -99.8200
