"VanillaC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_003.tcf]","Time (h)","V 2 [VanillaC4_003]","V 3 [VanillaC4_003]","V 4 [VanillaC4_003]","V 5 [VanillaC4_003]","V 6 [VanillaC4_003]","V 7 [VanillaC4_003]","V 8 [VanillaC4_003]","V 9 [VanillaC4_003]","V 10 [VanillaC4_003]","V 11 [VanillaC4_003]","V 12 [VanillaC4_003]","V 13 [VanillaC4_003]","V 14 [VanillaC4_003]","V 15 [VanillaC4_003]","V 16 [VanillaC4_003]","V  1 [VanillaC4_003]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.9249
           4,        0.025000,          0.9257,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8666
           5,        0.033333,          0.8847,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.0002,          0.8369
           6,        0.041667,          0.8585,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.8220
           7,        0.050000,          0.8432,          0.0000,          0.5689,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.8112
           8,        0.058333,          0.8332,          0.0140,          0.7485,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.8047
           9,        0.066667,          0.8263,          0.1319,          0.7552,          0.0478,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0001,          0.8005
          10,        0.075000,          0.8217,          0.1682,          0.7552,          0.6973,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.0002,          0.7978
          11,        0.083333,          0.8185,          0.1880,          0.7521,          0.7189,          0.2467,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0007,          0.0001,          0.7960
          12,        0.091667,          0.8164,          0.1998,          0.7500,          0.7234,          0.7806,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.7949
          13,        0.100000,          0.8151,          0.2072,          0.7478,          0.7237,          0.7887,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.7940
          14,        0.108333,          0.8140,          0.2121,          0.7460,          0.7246,          0.7892,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.7935
          15,        0.116667,          0.8133,          0.2154,          0.7446,          0.7240,          0.7863,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.7931
          16,        0.125000,          0.8128,          0.2175,          0.7436,          0.7232,          0.7850,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.7928
          17,        0.133333,          0.8125,          0.2192,          0.7429,          0.7224,          0.7836,          0.0519,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.7926
          18,        0.141667,          0.8123,          0.2203,          0.7425,          0.7218,          0.7823,          0.1250,          0.0018,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.7924
          19,        0.150000,          0.8120,          0.2210,          0.7421,          0.7213,          0.7811,          0.1593,          0.1766,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.7924
          20,        0.158333,          0.8118,          0.2216,          0.7418,          0.7210,          0.7801,          0.1799,          0.2293,          0.1154,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.7923
          21,        0.166667,          0.8118,          0.2219,          0.7415,          0.7208,          0.7793,          0.1930,          0.2593,          0.2521,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.7923
          22,        0.175000,          0.8118,          0.2221,          0.7413,          0.7206,          0.7789,          0.2020,          0.2783,          0.3090,          0.1081,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.7923
          23,        0.183333,          0.8117,          0.2223,          0.7412,          0.7205,          0.7787,          0.2081,          0.2905,          0.3387,          0.3023,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0002,          0.7921
          24,        0.191667,          0.8116,          0.2225,          0.7412,          0.7204,          0.7783,          0.2123,          0.2990,          0.3517,          0.3622,          0.2279,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.7922
          25,        0.200000,          0.8116,          0.2225,          0.7411,          0.7203,          0.7781,          0.2155,          0.3047,          0.3613,          0.3880,          0.3772,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.7922
          26,        0.208333,          0.8116,          0.2227,          0.7411,          0.7202,          0.7779,          0.2176,          0.3087,          0.3682,          0.4048,          0.4223,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.7922
          27,        0.216667,          0.8116,          0.2226,          0.7410,          0.7201,          0.7778,          0.2192,          0.3115,          0.3730,          0.4168,          0.4486,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.7922
          28,        0.225000,          0.8116,          0.2227,          0.7409,          0.7201,          0.7777,          0.2204,          0.3125,          0.3764,          0.4247,          0.4638,          0.0000,          0.0540,          0.0000,          0.0003,          0.0002,          0.7922
