"VanillaC4_005 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_005.tcf]","Time (h)","Q 2 [VanillaC4_005]","Q 3 [VanillaC4_005]","Q 4 [VanillaC4_005]","Q 5 [VanillaC4_005]","Q 6 [VanillaC4_005]","Q 7 [VanillaC4_005]","Q 1 [VanillaC4_005]","Q  8 [VanillaC4_005]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0141,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.8755,          0.0001
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.4654,          0.0001
           5,        0.033333,         -2.9314,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.6980,         -0.0000
           6,        0.041667,         -3.8681,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.8228,         -0.0001
           7,        0.050000,         -4.3171,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.8878,         -0.0002
           8,        0.058333,         -4.5679,         -2.1683,          0.0000,          0.0000,          0.0000,          0.0000,         -4.9283,          0.0003
           9,        0.066667,         -4.7153,         -3.3164,          0.0000,          0.0000,          0.0000,          0.0000,         -4.9530,         -0.0002
          10,        0.075000,         -4.8066,         -3.9143,          0.0000,          0.0000,          0.0000,          0.0000,         -4.9685,         -0.0001
          11,        0.083333,         -4.8682,         -4.2725,         -0.6753,          0.0000,          0.0000,          0.0000,         -4.9786,          0.0004
          12,        0.091667,         -4.9093,         -4.5028,         -2.5699,          0.0000,          0.0000,          0.0000,         -4.9853,          0.0004
          13,        0.100000,         -4.9370,         -4.6526,         -3.4128,          0.0000,          0.0000,          0.0000,         -4.9894,         -0.0004
          14,        0.108333,         -4.9559,         -4.7525,         -3.9140,         -0.3757,          0.0000,          0.0000,         -4.9931,         -0.0001
          15,        0.116667,         -4.9690,         -4.8241,         -4.2389,         -2.3970,          0.0000,          0.0000,         -4.9952,         -0.0004
          16,        0.125000,         -4.9781,         -4.8746,         -4.4599,         -3.2656,          0.0000,          0.0000,         -4.9964,         -0.0002
          17,        0.133333,         -4.9846,         -4.9101,         -4.6109,         -3.7917,          0.0000,          0.0000,         -4.9978,         -0.0003
          18,        0.141667,         -4.9889,         -4.9353,         -4.7154,         -4.1371,          0.0000,          0.0000,         -4.9983,         -0.0000
          19,        0.150000,         -4.9921,         -4.9534,         -4.7922,         -4.3785,          0.0000,          0.0000,         -4.9987,          0.0001
