"VanillaC4_015","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_015.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\results\015\VanillaC4_015_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          2.7321,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.5332,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -33.4092,          0.0004
,        0.016667,          2.2109,          1.6224,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          2.1205,        -25.9409,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -37.2102,         -0.0003
,        0.025000,          2.0361,          1.5965,          2.0749,          1.9581,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          1.9966,        -33.1317,        -12.0847,          0.0000,          0.0000,          0.0000,          0.0002,        -38.2746,         -0.0006
,        0.033333,          1.9525,          1.5604,          1.9687,          1.9741,          2.0425,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          1.9262,        -35.9256,        -26.4216,          0.0000,          0.0000,          0.0000,          0.0006,        -38.9043,         -0.0008
,        0.041667,          1.9016,          1.5344,          1.9054,          1.9110,          1.9877,          1.2932,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          1.8819,        -37.3636,        -31.7799,        -16.4209,          0.0000,         -0.0002,         -0.0000,        -39.2664,          0.0000
,        0.050000,          1.8687,          1.5144,          1.8634,          1.8656,          1.9340,          1.4573,          1.2643,          0.0000,          0.0005,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          0.0000,          1.8529,        -38.2145,        -34.5965,        -26.0335,         -5.6275,         -0.0001,          0.0001,        -39.4874,          0.0004
,        0.058333,          1.8465,          1.5012,          1.8344,          1.8344,          1.8960,          1.4848,          1.4804,          1.2582,          0.0001,          0.0002,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          1.8321,        -38.7544,        -36.2908,        -30.8014,        -20.9837,         -0.0001,         -0.0002,        -39.6378,          0.0007
,        0.066667,          1.8304,          1.4912,          1.8145,          1.8103,          1.8676,          1.4869,          1.5142,          1.5058,          1.1577,          0.0001,          0.0003,          0.0001,          0.0001,          0.0000,          0.0001,          1.8179,        -39.1078,        -37.3756,        -33.6304,        -27.5008,         -0.0001,          0.0001,        -39.7390,          0.0015
