iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.025,0.025,0.025,9.15527e-05,0.0430145,0.000244141,4.30145
2,0.0504889,0.0255102,0.0254889,0.000427246,0.0438995,0.00062561,4.34428
3,0.0765094,0.0260308,0.0260204,0.00112915,0.0447998,0.001297,4.38983
4,0.103061,0.0265621,0.0265515,0.00204468,0.0457001,0.00227356,4.43578
5,0.130141,0.0271041,0.0270806,0.00328064,0.0466461,0.00360107,4.48255
6,0.157799,0.0276573,0.0276573,0.00485229,0.0480042,0.00524902,4.53826
7,0.186005,0.0282217,0.0282062,0.00679016,0.0527496,0.00726318,4.64954
8,0.214783,0.0287977,0.028778,0.0091095,0.0572357,0.00959778,4.79292
9,0.244157,0.0293854,0.029374,0.0118256,0.0614471,0.0122223,4.95526
10,0.274122,0.0299851,0.0299656,0.0149536,0.0653229,0.0151062,5.12719
11,0.304705,0.030597,0.0305822,0.0184784,0.0688629,0.0181885,5.30341
12,0.335897,0.0312215,0.0311925,0.0223694,0.0720062,0.0213776,5.47897
13,0.367726,0.0318586,0.0318284,0.0266418,0.0747375,0.0246277,5.71462
14,0.400217,0.0325088,0.0324915,0.0312195,0.0770416,0.0278931,6.00511
15,0.433364,0.0331722,0.0331465,0.0360718,0.0789185,0.0310822,6.33763
16,0.467193,0.0338492,0.0338291,0.0411377,0.0803528,0.0341949,6.70358
17,0.501694,0.03454,0.0345009,0.0463562,0.0813599,0.0371704,7.09368
18,0.536937,0.0352449,0.0352429,0.0516815,0.0819702,0.0400391,7.50403
19,0.572867,0.0359642,0.0359306,0.0570526,0.0821991,0.0426483,7.92418
20,0.609559,0.0366982,0.0366922,0.0622559,0.0821075,0.0448914,8.34778
21,0.646999,0.0374471,0.0374401,0.0670624,0.0817566,0.0467072,8.76549
22,0.68517,0.0382114,0.0381704,0.0714569,0.0812378,0.048172,9.17075
23,0.724152,0.0389912,0.0389825,0.0754089,0.0805817,0.0493011,9.56153
24,0.763929,0.0397869,0.039777,0.0789642,0.079834,0.0501862,9.9345
25,0.804478,0.0405989,0.0405493,0.0821381,0.079071,0.0508575,10.2872
26,0.845891,0.0414274,0.0414121,0.0850067,0.0782928,0.0514069,10.6222
27,0.888143,0.0422729,0.0422523,0.0875854,0.0775604,0.0518494,10.9387
28,0.931272,0.0431356,0.0431287,0.0899353,0.0768738,0.0522156,11.238
29,0.975248,0.0440159,0.0439769,0.0934296,0.0762482,0.0525513,11.5204
30,1.02011,0.0449142,0.0448605,0.096817,0.077301,0.0528564,11.7877
31,1.06589,0.0458308,0.0457818,0.100021,0.0788727,0.0531464,12.0415
32,1.11263,0.0467662,0.0467433,0.103043,0.0804749,0.0534515,12.2838
33,1.1603,0.0477206,0.0476689,0.105881,0.0821228,0.0537872,12.5149
34,1.20894,0.0486945,0.0486336,0.108505,0.0838013,0.0541382,12.7365
35,1.25858,0.0496882,0.0496398,0.11084,0.0855103,0.0545197,12.9502
36,1.30927,0.0507023,0.0506903,0.112869,0.0872498,0.0549316,13.1576
37,1.36096,0.051737,0.051695,0.114578,0.089035,0.0553436,13.358
38,1.4137,0.0527929,0.0527422,0.115982,0.0908508,0.0557556,13.5523
39,1.46754,0.0538703,0.0538348,0.117111,0.0927124,0.0561676,13.7415
40,1.52241,0.0549697,0.0548701,0.119308,0.0946045,0.0565643,13.9246
41,1.57847,0.0560915,0.0560583,0.121475,0.0965271,0.0569153,14.1034
42,1.63565,0.0572362,0.0571862,0.123428,0.0984955,0.057251,14.277
43,1.69402,0.0584043,0.0583629,0.125137,0.10051,0.0575562,14.4456
44,1.75361,0.0595962,0.0595915,0.126541,0.10257,0.0578308,14.6097
45,1.81435,0.0608125,0.0607449,0.127579,0.10466,0.0580597,14.7678
46,1.8763,0.0620536,0.0619465,0.12825,0.106796,0.0582733,14.9205
47,1.9395,0.06332,0.0631993,0.128586,0.108978,0.0584412,15.0678
48,2.00401,0.0646122,0.0645069,0.128616,0.111191,0.0585785,15.2103
49,2.06988,0.0659308,0.0658729,0.12941,0.113464,0.05867,15.3481
50,2.13702,0.0672763,0.0671397,0.130463,0.115784,0.0587006,15.4794
51,2.20565,0.0686493,0.068628,0.131287,0.118149,0.0587616,15.607
52,2.27566,0.0700503,0.070011,0.131836,0.12056,0.0588074,15.7296
53,2.34711,0.0714799,0.0714545,0.132004,0.123016,0.0588074,15.8473
54,2.41988,0.0729387,0.0727708,0.131805,0.125534,0.0588074,15.9589
55,2.49422,0.0744272,0.0743399,0.131271,0.128098,0.0587769,16.0665
56,2.57,0.0759462,0.0757735,0.130478,0.130707,0.0587463,16.1688
57,2.64748,0.0774961,0.0774859,0.131104,0.133377,0.0587006,16.2682
58,2.72654,0.0790776,0.0790535,0.131653,0.136093,0.0586548,16.3632
59,2.80723,0.0806915,0.0806907,0.131805,0.13887,0.05867,16.455
60,2.88938,0.0823382,0.0821534,0.131516,0.141708,0.0587158,16.5424
61,2.97331,0.0840186,0.0839338,0.130814,0.144592,0.0587463,16.6276
62,3.05884,0.0857333,0.0855275,0.129776,0.147552,0.0587921,16.7094
63,3.14631,0.0874829,0.0874713,0.128738,0.150558,0.0588531,16.7901
64,3.23553,0.0892683,0.0892149,0.129562,0.153625,0.0589142,16.8683
65,3.32656,0.0910901,0.0910356,0.12999,0.156769,0.0591583,16.946
66,3.4195,0.0929491,0.0929388,0.129868,0.159958,0.0593719,17.0233
67,3.51409,0.094846,0.0945925,0.129257,0.163223,0.0595856,17.0983
68,3.61076,0.0967816,0.0966639,0.128342,0.166565,0.0598145,17.1737
69,3.70922,0.0987568,0.0984673,0.127701,0.169952,0.0600586,17.2476
70,3.80996,0.100772,0.100731,0.126724,0.173431,0.0604401,17.3241
71,3.91266,0.102829,0.102706,0.128098,0.176971,0.0608978,17.4015
72,4.01743,0.104927,0.104768,0.12886,0.180588,0.0613251,17.48
73,4.12435,0.107069,0.106924,0.129044,0.184265,0.0617523,17.5598
74,4.23353,0.109254,0.10918,0.128693,0.188034,0.0621948,17.6412
75,4.3446,0.111483,0.111062,0.127914,0.191879,0.0626373,17.722
76,4.45812,0.113759,0.113519,0.128159,0.195786,0.0630798,17.805
77,4.57369,0.11608,0.115574,0.129135,0.199783,0.0635376,17.8879
78,4.69195,0.118449,0.118262,0.130066,0.203857,0.0640106,17.974
