"VanillaC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_006.tcf]","Time (h)","Q 2 [VanillaC4_006]","Q 3 [VanillaC4_006]","Q 4 [VanillaC4_006]","Q 5 [VanillaC4_006]","Q 6 [VanillaC4_006]","Q 7 [VanillaC4_006]","Q 1 [VanillaC4_006]","Q  8 [VanillaC4_006]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.1919,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.7898,         -0.0000
           4,        0.025000,         -1.1515,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.4178,          0.0005
           5,        0.033333,         -3.9011,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6735,          0.0004
           6,        0.041667,         -4.8220,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -5.8050,          0.0002
           7,        0.050000,         -5.2793,         -0.8503,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8759,          0.0002
           8,        0.058333,         -5.5414,         -3.3399,          0.0000,          0.0000,          0.0000,          0.0000,         -5.9184,          0.0002
           9,        0.066667,         -5.6956,         -4.3534,          0.0000,          0.0000,          0.0000,         -0.0000,         -5.9460,         -0.0002
          10,        0.075000,         -5.7923,         -4.9218,          0.0000,          0.0000,          0.0000,         -0.0000,         -5.9633,          0.0010
          11,        0.083333,         -5.8563,         -5.2690,         -2.5464,          0.0000,          0.0000,          0.0000,         -5.9749,         -0.0006
          12,        0.091667,         -5.9002,         -5.4956,         -3.8058,          0.0000,          0.0000,         -0.0000,         -5.9827,         -0.0000
          13,        0.100000,         -5.9303,         -5.6457,         -4.5205,          0.0000,          0.0000,         -0.0000,         -5.9878,          0.0000
          14,        0.108333,         -5.9508,         -5.7469,         -4.9712,         -2.6200,          0.0000,         -0.0000,         -5.9915,         -0.0004
          15,        0.116667,         -5.9651,         -5.8179,         -5.2704,         -3.7734,          0.0000,         -0.0000,         -5.9939,         -0.0010
          16,        0.125000,         -5.9752,         -5.8690,         -5.4775,         -4.4589,          0.0000,         -0.0001,         -5.9958,         -0.0003
          17,        0.133333,         -5.9822,         -5.9055,         -5.6211,         -4.9052,          0.0000,         -0.0001,         -5.9969,          0.0002
          18,        0.141667,         -5.9874,         -5.9317,         -5.7219,         -5.2084,          0.0000,          0.0001,         -5.9980,          0.0003
          19,        0.150000,         -5.9909,         -5.9503,         -5.7946,         -5.4233,         -1.7918,          0.0000,         -5.9985,          0.0001
          20,        0.158333,         -5.9934,         -5.9640,         -5.8490,         -5.5761,         -3.2668,         -0.0001,         -5.9988,         -0.0005
          21,        0.166667,         -5.9952,         -5.9738,         -5.8889,         -5.6849,         -4.0894,         -0.0000,         -5.9992,          0.0002
          22,        0.175000,         -5.9966,         -5.9806,         -5.9181,         -5.7638,         -4.6232,          0.0001,         -5.9995,          0.0004
          23,        0.183333,         -5.9976,         -5.9861,         -5.9393,         -5.8239,         -4.9870,         -1.8793,         -5.9996,          0.0000
          24,        0.191667,         -5.9982,         -5.9899,         -5.9553,         -5.8688,         -5.2501,         -3.2704,         -5.9997,         -0.0006
          25,        0.200000,         -5.9986,         -5.9926,         -5.9670,         -5.9021,         -5.4409,         -4.0639,         -5.9997,         -1.2109
          26,        0.208333,         -5.9991,         -5.9947,         -5.9754,         -5.9267,         -5.5797,         -4.5881,         -6.0000,         -2.5439
          27,        0.216667,         -5.9994,         -5.9961,         -5.9816,         -5.9451,         -5.6812,         -4.9491,         -5.9999,         -3.4931
          28,        0.225000,         -5.9995,         -5.9970,         -5.9865,         -5.9590,         -5.7567,         -5.2136,         -5.9998,         -4.3493
          29,        0.233333,         -5.9997,         -5.9979,         -5.9900,         -5.9695,         -5.8156,         -5.4080,         -5.9999,         -4.7305
          30,        0.241667,         -5.9997,         -5.9984,         -5.9927,         -5.9772,         -5.8601,         -5.5511,         -6.0000,         -5.0270
          31,        0.250000,         -5.9999,         -5.9989,         -5.9946,         -5.9829,         -5.8937,         -5.6598,         -6.0000,         -5.2604
          32,        0.258333,         -5.9998,         -5.9991,         -5.9959,         -5.9871,         -5.9195,         -5.7398,         -6.0000,         -5.4395
          33,        0.266667,         -5.9998,         -5.9994,         -5.9969,         -5.9903,         -5.9391,         -5.8017,         -5.9998,         -5.5703
          34,        0.275000,         -5.9998,         -5.9995,         -5.9978,         -5.9928,         -5.9536,         -5.8491,         -6.0001,         -5.6688
          35,        0.283333,         -5.9998,         -5.9998,         -5.9984,         -5.9947,         -5.9649,         -5.8849,         -6.0000,         -5.7465
          36,        0.291667,         -5.9999,         -5.9998,         -5.9989,         -5.9960,         -5.9735,         -5.9124,         -5.9999,         -5.8058
          37,        0.300000,         -5.9999,         -5.9999,         -5.9992,         -5.9970,         -5.9798,         -5.9332,         -6.0000,         -5.8516
          38,        0.308333,         -6.0001,         -5.9999,         -5.9991,         -5.9978,         -5.9847,         -5.9492,         -6.0000,         -5.8868
          39,        0.316667,         -6.0000,         -6.0000,         -5.9995,         -5.9984,         -5.9883,         -5.9615,         -5.9999,         -5.9137
          40,        0.325000,         -5.9999,         -6.0000,         -5.9996,         -5.9988,         -5.9914,         -5.9708,         -6.0000,         -5.9343
          41,        0.333333,         -6.0000,         -6.0000,         -5.9998,         -5.9990,         -5.9933,         -5.9778,         -5.9999,         -5.9501
          42,        0.341667,         -6.0001,         -5.9999,         -5.9998,         -5.9993,         -5.9949,         -5.9831,         -5.9999,         -5.9618
          43,        0.350000,         -5.9999,         -6.0000,         -5.9999,         -5.9995,         -5.9961,         -5.9871,         -6.0000,         -5.9710
          44,        0.358333,         -5.9998,         -6.0000,         -6.0000,         -5.9997,         -5.9971,         -5.9902,         -5.9999,         -5.9778
          45,        0.366667,         -5.9999,         -6.0000,         -6.0000,         -5.9996,         -5.9978,         -5.9926,         -5.9999,         -5.9834
          46,        0.375000,         -6.0001,         -6.0001,         -6.0001,         -5.9998,         -5.9984,         -5.9944,         -5.9999,         -5.9872
          47,        0.383333,         -6.0000,         -6.0000,         -5.9999,         -5.9998,         -5.9989,         -5.9958,         -6.0001,         -5.9902
          48,        0.391667,         -5.9999,         -6.0002,         -6.0000,         -5.9999,         -5.9990,         -5.9968,         -5.9998,         -5.9926
          49,        0.400000,         -5.9999,         -5.9999,         -6.0000,         -5.9998,         -5.9994,         -5.9976,         -6.0000,         -5.9943
          50,        0.408333,         -6.0001,         -5.9999,         -5.9998,         -6.0000,         -5.9995,         -5.9981,         -6.0000,         -5.9956
          51,        0.416667,         -5.9998,         -6.0000,         -6.0001,         -5.9998,         -5.9997,         -5.9985,         -6.0001,         -5.9967
          52,        0.425000,         -5.9999,         -6.0000,         -6.0000,         -5.9999,         -5.9996,         -5.9988,         -6.0002,         -5.9976
          53,        0.433333,         -6.0000,         -5.9999,         -5.9998,         -5.9999,         -5.9997,         -5.9992,         -6.0001,         -5.9981
          54,        0.441667,         -6.0000,         -6.0000,         -6.0002,         -6.0001,         -6.0000,         -5.9995,         -6.0000,         -5.9984
          55,        0.450000,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -5.9998,         -5.9996,         -6.0000,         -5.9989
          56,        0.458333,         -5.9999,         -6.0001,         -5.9999,         -6.0001,         -5.9998,         -5.9995,         -6.0000,         -5.9991
          57,        0.466667,         -6.0000,         -6.0000,         -5.9997,         -5.9999,         -5.9999,         -5.9997,         -5.9999,         -5.9993
          58,        0.475000,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -5.9996,         -5.9999,         -5.9995
          59,        0.483333,         -6.0000,         -6.0001,         -5.9999,         -6.0001,         -6.0001,         -5.9997,         -6.0002,         -5.9995
          60,        0.491667,         -6.0000,         -6.0001,         -6.0002,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -5.9998
          61,        0.500000,         -6.0001,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -5.9998,         -6.0000,         -5.9998
          62,        0.508333,         -5.9999,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -5.9999,         -5.9999,         -5.9999
          63,        0.516667,         -6.0002,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -5.9999,         -5.9999
          64,        0.525000,         -6.0000,         -5.9999,         -6.0001,         -5.9999,         -5.9999,         -5.9999,         -5.9998,         -6.0000
          65,        0.533333,         -5.9998,         -6.0000,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -5.9998,         -5.9999
          66,        0.541667,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -5.9999,         -6.0000,         -6.0001,         -5.9998
          67,        0.550000,         -6.0000,         -6.0000,         -5.9999,         -6.0001,         -6.0000,         -6.0001,         -6.0000,         -6.0000
          68,        0.558333,         -6.0000,         -5.9999,         -5.9999,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0001
          69,        0.566667,         -5.9998,         -6.0000,         -5.9999,         -6.0001,         -6.0001,         -6.0000,         -6.0000,         -5.9998
          70,        0.575000,         -6.0000,         -6.0000,         -5.9998,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -6.0001
          71,        0.583333,         -6.0000,         -6.0000,         -6.0001,         -6.0001,         -6.0000,         -6.0000,         -6.0001,         -5.9997
          72,        0.591667,         -6.0000,         -5.9998,         -5.9999,         -5.9999,         -5.9999,         -6.0000,         -6.0000,         -5.9998
          73,        0.600000,         -6.0000,         -5.9999,         -5.9999,         -5.9999,         -6.0001,         -5.9999,         -5.9999,         -5.9998
          74,        0.608333,         -6.0001,         -6.0001,         -5.9999,         -5.9999,         -6.0001,         -6.0000,         -6.0000,         -6.0001
          75,        0.616667,         -6.0000,         -6.0000,         -5.9998,         -5.9999,         -6.0001,         -6.0000,         -5.9999,         -5.9999
          76,        0.625000,         -5.9999,         -6.0001,         -5.9999,         -6.0000,         -6.0001,         -6.0000,         -6.0001,         -5.9998
          77,        0.633333,         -6.0000,         -5.9999,         -6.0001,         -6.0001,         -6.0001,         -5.9999,         -5.9999,         -5.9997
          78,        0.641667,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -5.9997,         -6.0000,         -6.0000
          79,        0.650000,         -6.0000,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0002,         -6.0000,         -5.9998
          80,        0.658333,         -6.0000,         -5.9999,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -5.9998
          81,        0.666667,         -6.0001,         -6.0000,         -6.0001,         -5.9999,         -5.9998,         -6.0000,         -6.0000,         -5.9999
          82,        0.675000,         -5.9999,         -6.0000,         -6.0001,         -6.0002,         -5.9999,         -6.0000,         -6.0001,         -5.9999
          83,        0.683333,         -6.0001,         -6.0000,         -6.0001,         -6.0001,         -5.9999,         -5.9998,         -6.0000,         -5.9999
          84,        0.691667,         -6.0000,         -5.9999,         -6.0000,         -5.9999,         -5.9999,         -5.9999,         -5.9999,         -5.9999
          85,        0.700000,         -6.0001,         -5.9999,         -5.9999,         -6.0001,         -5.9998,         -6.0001,         -5.9999,         -6.0000
          86,        0.708333,         -5.9999,         -5.9999,         -6.0002,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -6.0001
          87,        0.716667,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -5.9998,         -6.0001
          88,        0.725000,         -5.9999,         -6.0001,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -5.9999
          89,        0.733333,         -5.9999,         -6.0001,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -6.0000,         -5.9999
          90,        0.741667,         -5.9999,         -6.0000,         -5.9998,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -5.9998
          91,        0.750000,         -6.0000,         -6.0000,         -6.0000,         -6.0000,         -6.0001,         -6.0001,         -5.9999,         -5.9998
          92,        0.758333,         -6.0000,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -6.0001,         -5.9999,         -5.9997
          93,        0.766667,         -6.0001,         -6.0000,         -5.9999,         -5.9999,         -6.0000,         -6.0000,         -5.9999,         -6.0000
          94,        0.775000,         -6.0000,         -6.0000,         -6.0001,         -6.0000,         -5.9999,         -6.0001,         -5.9999,         -6.0000
          95,        0.783333,         -6.0000,         -6.0001,         -6.0002,         -6.0002,         -6.0000,         -6.0000,         -5.9999,         -6.0000
          96,        0.791667,         -5.9999,         -5.9999,         -6.0002,         -6.0001,         -5.9999,         -6.0000,         -6.0000,         -5.9998
          97,        0.800000,         -6.0000,         -5.9999,         -6.0001,         -5.9999,         -6.0002,         -5.9999,         -5.9999,         -5.9998
          98,        0.808333,         -5.9998,         -6.0000,         -6.0000,         -6.0000,         -5.9998,         -6.0001,         -6.0002,         -5.9998
          99,        0.816667,         -6.0000,         -6.0001,         -6.0000,         -6.0000,         -6.0001,         -6.0001,         -6.0001,         -5.9998
         100,        0.825000,         -6.0001,         -5.9999,         -6.0002,         -5.9999,         -6.0000,         -6.0000,         -5.9998,         -6.0001
         101,        0.833333,         -5.9999,         -6.0001,         -6.0000,         -5.9998,         -6.0001,         -6.0000,         -5.9999,         -5.9997
         102,        0.841667,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -5.9999,         -6.0000,         -6.0002,         -6.0003
         103,        0.850000,         -6.0000,         -5.9998,         -6.0002,         -6.0000,         -6.0000,         -5.9999,         -6.0000,         -5.9995
