"VanillaC4_007 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_007.tcf]","Time (h)","Q 2 [VanillaC4_007]","Q 3 [VanillaC4_007]","Q 4 [VanillaC4_007]","Q 5 [VanillaC4_007]","Q 6 [VanillaC4_007]","Q 7 [VanillaC4_007]","Q 1 [VanillaC4_007]","Q  8 [VanillaC4_007]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.7716,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6686,          0.0003
           4,        0.025000,         -2.2039,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.3734,         -0.0001
           5,        0.033333,         -4.8220,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.6586,         -0.0002
           6,        0.041667,         -5.8002,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.7866,         -0.0000
           7,        0.050000,         -6.2376,         -2.3447,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8713,          0.0001
           8,        0.058333,         -6.5095,         -4.3824,          0.0000,          0.0000,          0.0000,         -0.0000,         -6.9095,         -0.0001
           9,        0.066667,         -6.6742,         -5.3467,          0.0000,          0.0000,          0.0000,         -0.0001,         -6.9402,         -0.0003
          10,        0.075000,         -6.7800,         -5.9051,         -1.5389,          0.0000,          0.0000,         -0.0001,         -6.9604,          0.0003
          11,        0.083333,         -6.8477,         -6.2504,         -3.8214,          0.0000,          0.0000,          0.0002,         -6.9720,          0.0003
          12,        0.091667,         -6.8921,         -6.4805,         -4.9119,          0.0000,          0.0000,          0.0001,         -6.9807,         -0.0001
          13,        0.100000,         -6.9238,         -6.6349,         -5.5662,         -2.2555,          0.0000,          0.0001,         -6.9866,         -0.0002
          14,        0.108333,         -6.9459,         -6.7403,         -5.9920,         -4.0023,          0.0000,          0.0000,         -6.9906,          0.0003
          15,        0.116667,         -6.9615,         -6.8130,         -6.2791,         -4.9575,          0.0000,         -0.0000,         -6.9933,          0.0000
          16,        0.125000,         -6.9724,         -6.8638,         -6.4815,         -5.5574,          0.0000,          0.0000,         -6.9951,         -0.0005
          17,        0.133333,         -6.9801,         -6.9006,         -6.6237,         -5.9619,          0.0000,          0.0001,         -6.9965,         -0.0000
          18,        0.141667,         -6.9858,         -6.9273,         -6.7247,         -6.2424,         -1.8203,         -0.0001,         -6.9975,         -0.0002
          19,        0.150000,         -6.9896,         -6.9468,         -6.7969,         -6.4454,         -3.6860,         -0.0001,         -6.9981,         -0.0003
          20,        0.158333,         -6.9925,         -6.9612,         -6.8485,         -6.5914,         -4.6883,          0.0001,         -6.9986,         -0.0002
          21,        0.166667,         -6.9945,         -6.9717,         -6.8868,         -6.6968,         -5.3312,         -0.0000,         -6.9990,         -0.0004
          22,        0.175000,         -6.9960,         -6.9790,         -6.9162,         -6.7732,         -5.7786,         -2.4132,         -6.9994,          0.0002
          23,        0.183333,         -6.9971,         -6.9845,         -6.9376,         -6.8295,         -6.0888,         -3.9080,         -6.9995,         -0.0001
          24,        0.191667,         -6.9980,         -6.9886,         -6.9536,         -6.8708,         -6.3207,         -4.7979,         -6.9998,         -2.0105
          25,        0.200000,         -6.9984,         -6.9917,         -6.9653,         -6.9030,         -6.4909,         -5.3847,         -6.9998,         -3.3794
          26,        0.208333,         -6.9989,         -6.9937,         -6.9742,         -6.9271,         -6.6166,         -5.7979,         -6.9996,         -4.5846
          27,        0.216667,         -6.9991,         -6.9953,         -6.9807,         -6.9450,         -6.7093,         -6.0927,         -6.9999,         -5.2516
          28,        0.225000,         -6.9994,         -6.9965,         -6.9856,         -6.9586,         -6.7785,         -6.3161,         -7.0000,         -5.6426
          29,        0.233333,         -6.9996,         -6.9975,         -6.9891,         -6.9689,         -6.8300,         -6.4854,         -6.9999,         -5.9538
          30,        0.241667,         -6.9997,         -6.9982,         -6.9919,         -6.9765,         -6.8694,         -6.6133,         -7.0000,         -6.2014
          31,        0.250000,         -6.9997,         -6.9986,         -6.9942,         -6.9824,         -6.9004,         -6.7063,         -7.0000,         -6.3923
          32,        0.258333,         -6.9997,         -6.9990,         -6.9956,         -6.9866,         -6.9239,         -6.7751,         -7.0001,         -6.5381
          33,        0.266667,         -6.9999,         -6.9993,         -6.9967,         -6.9900,         -6.9419,         -6.8260,         -7.0000,         -6.6476
          34,        0.275000,         -6.9999,         -6.9995,         -6.9976,         -6.9925,         -6.9557,         -6.8666,         -6.9999,         -6.7286
          35,        0.283333,         -7.0000,         -6.9996,         -6.9980,         -6.9943,         -6.9663,         -6.8977,         -7.0001,         -6.7899
          36,        0.291667,         -6.9998,         -6.9997,         -6.9986,         -6.9956,         -6.9744,         -6.9217,         -6.9999,         -6.8379
          37,        0.300000,         -7.0001,         -6.9997,         -6.9991,         -6.9966,         -6.9805,         -6.9400,         -6.9999,         -6.8753
          38,        0.308333,         -6.9999,         -7.0000,         -6.9992,         -6.9977,         -6.9853,         -6.9539,         -7.0001,         -6.9039
          39,        0.316667,         -6.9999,         -6.9999,         -6.9995,         -6.9983,         -6.9885,         -6.9649,         -7.0000,         -6.9265
          40,        0.325000,         -6.9999,         -7.0000,         -6.9993,         -6.9985,         -6.9914,         -6.9732,         -6.9999,         -6.9433
          41,        0.333333,         -7.0001,         -6.9999,         -6.9994,         -6.9989,         -6.9934,         -6.9794,         -6.9999,         -6.9568
          42,        0.341667,         -7.0001,         -6.9999,         -6.9998,         -6.9993,         -6.9951,         -6.9843,         -7.0001,         -6.9666
          43,        0.350000,         -7.0000,         -7.0000,         -6.9999,         -6.9996,         -6.9961,         -6.9879,         -7.0002,         -6.9748
          44,        0.358333,         -7.0000,         -6.9999,         -7.0000,         -6.9996,         -6.9970,         -6.9908,         -7.0000,         -6.9806
          45,        0.366667,         -7.0000,         -7.0001,         -6.9998,         -6.9998,         -6.9978,         -6.9930,         -7.0001,         -6.9853
          46,        0.375000,         -6.9999,         -7.0000,         -6.9999,         -6.9998,         -6.9986,         -6.9946,         -7.0002,         -6.9885
          47,        0.383333,         -7.0000,         -7.0000,         -7.0001,         -7.0000,         -6.9987,         -6.9959,         -7.0000,         -6.9913
          48,        0.391667,         -7.0001,         -6.9999,         -7.0001,         -7.0000,         -6.9990,         -6.9968,         -7.0000,         -6.9933
          49,        0.400000,         -7.0000,         -7.0000,         -7.0000,         -6.9999,         -6.9993,         -6.9976,         -7.0000,         -6.9948
          50,        0.408333,         -7.0000,         -6.9999,         -6.9999,         -6.9999,         -6.9994,         -6.9984,         -7.0000,         -6.9962
          51,        0.416667,         -7.0001,         -6.9999,         -6.9998,         -6.9999,         -6.9995,         -6.9986,         -7.0000,         -6.9973
          52,        0.425000,         -6.9999,         -7.0000,         -7.0000,         -6.9999,         -6.9996,         -6.9989,         -6.9999,         -6.9977
          53,        0.433333,         -6.9999,         -6.9999,         -7.0000,         -6.9998,         -7.0000,         -6.9992,         -7.0000,         -6.9981
          54,        0.441667,         -6.9998,         -6.9999,         -7.0000,         -7.0000,         -7.0000,         -6.9994,         -6.9999,         -6.9985
          55,        0.450000,         -6.9999,         -6.9998,         -6.9998,         -6.9999,         -6.9996,         -6.9995,         -6.9999,         -6.9990
          56,        0.458333,         -6.9999,         -7.0000,         -6.9999,         -7.0001,         -7.0000,         -6.9997,         -7.0002,         -6.9992
          57,        0.466667,         -7.0002,         -7.0001,         -7.0000,         -7.0002,         -7.0000,         -6.9997,         -7.0000,         -6.9993
          58,        0.475000,         -6.9998,         -7.0000,         -7.0000,         -7.0001,         -6.9999,         -6.9998,         -7.0001,         -6.9995
          59,        0.483333,         -6.9998,         -6.9998,         -6.9999,         -7.0001,         -7.0001,         -6.9999,         -7.0001,         -6.9998
          60,        0.491667,         -6.9999,         -7.0000,         -7.0002,         -6.9999,         -7.0000,         -6.9998,         -7.0002,         -6.9997
          61,        0.500000,         -7.0000,         -6.9999,         -7.0001,         -7.0000,         -7.0000,         -7.0000,         -7.0001,         -6.9998
          62,        0.508333,         -6.9998,         -7.0001,         -7.0000,         -7.0001,         -6.9999,         -6.9999,         -7.0000,         -6.9998
          63,        0.516667,         -6.9999,         -6.9998,         -7.0000,         -7.0001,         -7.0000,         -7.0000,         -6.9999,         -7.0000
