"VanillaC4_013","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_013.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\results\013\VanillaC4_013_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.0459,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -13.3857,          0.0001
,        0.016667,          1.7881,          0.0712,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.6825,         -6.3094,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -17.9151,          0.0007
,        0.025000,          1.6420,          1.0655,          1.5722,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.5634,        -14.5042,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,        -18.9101,          0.0011
,        0.033333,          1.6182,          1.1005,          1.5727,          1.4292,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0000,          0.0001,          1.5090,        -17.0260,         -6.0189,          0.0000,          0.0000,          0.0000,          0.0002,        -19.3138,          0.0000
,        0.041667,          1.5333,          1.0991,          1.5248,          1.5137,          1.4960,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,          0.0001,          0.0001,          1.4775,        -18.1433,        -12.7709,          0.0000,          0.0000,          0.0000,         -0.0003,        -19.5668,          0.0003
,        0.050000,          1.5066,          1.0925,          1.4914,          1.4854,          1.5574,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          0.0001,          1.4548,        -18.7854,        -15.5407,         -3.0486,          0.0000,         -0.0000,         -0.0005,        -19.7326,          0.0006
,        0.058333,          1.4883,          1.0892,          1.4673,          1.4619,          1.5298,          0.9046,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          1.4407,        -19.1915,        -17.0702,        -10.8297,          0.0000,          0.0001,         -0.0001,        -19.8069,          0.0003
,        0.066667,          1.4770,          1.0849,          1.4506,          1.4440,          1.5060,          1.0056,          0.8383,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          1.4315,        -19.4370,        -18.0009,        -14.1077,         -4.1525,         -0.0000,          0.0002,        -19.8666,          0.0003
,        0.075000,          1.4683,          1.0798,          1.4386,          1.4301,          1.4890,          1.0425,          1.0235,          0.6501,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          1.4243,        -19.5926,        -18.5969,        -15.9825,        -10.6510,          0.0001,          0.0001,        -19.9036,          0.0011
,        0.083333,          1.4620,          1.0776,          1.4291,          1.4200,          1.4743,          1.0559,          1.0746,          1.0389,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0001,          1.4197,        -19.7138,        -19.0014,        -17.1747,        -13.7406,         -0.0000,         -0.0000,        -19.9332,          0.0000
,        0.091667,          1.4578,          1.0766,          1.4222,          1.4121,          1.4642,          1.0648,          1.0961,          1.1072,          1.0459,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          0.0000,          1.4164,        -19.7921,        -19.2764,        -17.9696,        -15.6089,         -0.0000,          0.0001,        -19.9519,          0.0005
,        0.100000,          1.4545,          1.0741,          1.4178,          1.4057,          1.4564,          1.0680,          1.1054,          1.1356,          1.1346,          1.0753,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.4135,        -19.8461,        -19.4661,        -18.5225,        -16.8416,         -7.0783,          0.0004,        -19.9628,          0.0002
,        0.108333,          1.4520,          1.0731,          1.4140,          1.4010,          1.4500,          1.0695,          1.1095,          1.1460,          1.1676,          1.1736,          0.4019,          0.0004,          0.0001,          0.0001,          0.0001,          1.4118,        -19.8894,        -19.6064,        -18.9120,        -17.6807,        -11.4027,          0.0007,        -19.9741,          0.0007
,        0.116667,          1.4503,          1.0727,          1.4111,          1.3979,          1.4451,          1.0702,          1.1122,          1.1515,          1.1819,          1.2006,          0.7353,          0.8141,          0.7759,          0.0001,          0.0000,          1.4105,        -19.9179,        -19.7087,        -19.1910,        -18.2862,        -13.9055,         -6.2710,        -19.9815,          0.0004
,        0.125000,          1.4490,          1.0716,          1.4090,          1.3952,          1.4417,          1.0701,          1.1136,          1.1561,          1.1891,          1.2153,          0.8535,          0.9910,          1.1196,          0.6344,          0.0320,          1.4094,        -19.9381,        -19.7819,        -19.3905,        -18.7203,        -15.5414,        -10.1566,        -19.9852,         -5.5608
,        0.133333,          1.4479,          1.0711,          1.4074,          1.3932,          1.4390,          1.0700,          1.1141,          1.1575,          1.1910,          1.2209,          0.9063,          1.0752,          1.2393,          0.8886,          0.5536,          1.4086,        -19.9549,        -19.8368,        -19.5402,        -19.0361,        -16.6866,        -12.7536,        -19.9893,         -9.3299
,        0.141667,          1.4472,          1.0708,          1.4061,          1.3917,          1.4368,          1.0702,          1.1142,          1.1579,          1.1930,          1.2244,          0.9417,          1.1181,          1.2972,          1.0344,          1.0050,          1.4081,        -19.9659,        -19.8779,        -19.6533,        -19.2677,        -17.4952,        -14.5883,        -19.9927,        -14.1126
