iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.025,0.025,0.025,3.05176e-05,0.0366211,0.000183105,3.66211
2,0.0504889,0.0255102,0.0254889,0.000183105,0.0373688,0.000366211,3.69828
3,0.0765094,0.0260308,0.0260204,0.000473022,0.0381317,0.000701904,3.73684
4,0.103061,0.0265621,0.0265515,0.00108337,0.0389099,0.00120544,3.77615
5,0.130141,0.0271041,0.0270806,0.00172424,0.0397034,0.00187683,3.81584
6,0.157799,0.0276573,0.0276573,0.00253296,0.0405121,0.00274658,3.85709
7,0.186005,0.0282217,0.0282062,0.00354004,0.0413513,0.00379944,3.89891
8,0.214783,0.0287977,0.028778,0.00476074,0.0421906,0.00505066,3.94142
9,0.244157,0.0293854,0.029374,0.00619507,0.0444946,0.0065155,4.00233
10,0.274122,0.0299851,0.0299656,0.00785828,0.0476532,0.00816345,4.0854
11,0.304705,0.030597,0.0305822,0.00976563,0.0506744,0.00999451,4.18372
12,0.335897,0.0312215,0.0311925,0.0119171,0.0535583,0.0119934,4.2921
13,0.367726,0.0318586,0.0318284,0.014328,0.0562592,0.0141144,4.40709
14,0.400217,0.0325088,0.0324915,0.016983,0.0587769,0.0163574,4.52623
15,0.433364,0.0331722,0.0331465,0.0198822,0.0610657,0.0186615,4.65545
16,0.467193,0.0338492,0.0338291,0.022995,0.0631256,0.0210266,4.82555
17,0.501694,0.03454,0.0345009,0.0263367,0.0649567,0.0233917,5.02931
18,0.536937,0.0352449,0.0352429,0.0298615,0.0665283,0.0257568,5.2627
19,0.572867,0.0359642,0.0359306,0.0335541,0.0678406,0.0280762,5.51905
20,0.609559,0.0366982,0.0366922,0.0373688,0.0688934,0.0303497,5.7957
21,0.646999,0.0374471,0.0374401,0.0412903,0.0697021,0.0325623,6.0883
22,0.68517,0.0382114,0.0381704,0.0452728,0.0702667,0.0346832,6.39249
23,0.724152,0.0389912,0.0389825,0.0493011,0.0706024,0.0366364,6.70563
24,0.763929,0.0397869,0.039777,0.0531921,0.0707397,0.0383301,7.02157
25,0.804478,0.0405989,0.0405493,0.0568542,0.0707245,0.0397644,7.33494
26,0.845891,0.0414274,0.0414121,0.060257,0.0705719,0.0409698,7.64418
27,0.888143,0.0422729,0.0422523,0.0633698,0.0703278,0.0419769,7.94586
28,0.931272,0.0431356,0.0431287,0.0662231,0.0700073,0.0427704,8.23803
29,0.975248,0.0440159,0.0439769,0.0688019,0.0696716,0.0434113,8.51848
30,1.02011,0.0449142,0.0448605,0.0711517,0.0692902,0.0439148,8.78684
31,1.06589,0.0458308,0.0457818,0.073288,0.068924,0.0443268,9.04339
32,1.11263,0.0467662,0.0467433,0.0752258,0.068573,0.0446625,9.2886
33,1.1603,0.0477206,0.0476689,0.0769958,0.0699158,0.0449371,9.52172
34,1.20894,0.0486945,0.0486336,0.0788574,0.0713501,0.0451813,9.74377
35,1.25858,0.0496882,0.0496398,0.0813904,0.0727997,0.0453796,9.95549
36,1.30927,0.0507023,0.0506903,0.083786,0.074295,0.0455475,10.1577
