Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.22,      0.21
Start 2D BC Array Sizes Domain_001                ,      0.23,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.24,      0.01
Start Estry Setup s0                              ,      0.24,      0.00
End Estry Setup s0                                ,      0.24,      0.00
Start TUFLOW Setup s2                             ,      0.24,      0.00
End TUFLOW Setup s2                               ,      0.39,      0.15
Reading Geometry File Domain_001                  ,      0.41,      0.03
Start Read Grid Read GRID Zpts                    ,      0.42,      0.00
End Read Grid Read GRID Zpts                      ,      0.43,      0.01
Start Read Read GIS Code                          ,      0.43,      0.00
End Read Read GIS Code                            ,      0.44,      0.01
Finished Reading Geometry File Domain_001         ,      0.44,      0.00
Start Read input file (stage 2) Domain_001        ,      0.44,      0.00
End Read input file (stage 2) Domain_001          ,      0.48,      0.03
Identifying cells within user defined output zones,      0.48,      0.00
Finished Identifying cells within user defined out,      0.48,      0.00
Setting instability water levels Domain_001       ,      0.48,      0.00
Finished Setting instability water levels Domain_0,      0.48,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.48,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.48,      0.00
Start Reading Input File (Stage 3)                ,      0.48,      0.00
End Reading Input File (Stage 3)                  ,      0.48,      0.00
Reading Boundary File Domain_001                  ,      0.48,      0.00
Finished Reading Boundary File Domain_001         ,      0.60,      0.11
Initialising 2D Data (Stage 1) Domain_001         ,      0.60,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.61,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.61,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.64,      0.02
Start Writing _grd_check                          ,      0.65,      0.02
End Writing _grd_check                            ,      1.48,      0.83
Start Writing _zpt_check                          ,      1.48,      0.00
End Writing _zpt_check                            ,      2.44,      0.96
Start Writing _uvpt_check                         ,      2.44,      0.00
End Writing _uvpt_check                           ,      3.24,      0.80
Start Writing check DEMs                          ,      4.31,      1.07
Start Calculating grid interpolation factors      ,      4.31,      0.00
End Calculating grid interpolation factors        ,      4.38,      0.07
End Writing check DEMs                            ,      4.42,      0.04
Start Calculating grid interpolation factors      ,      4.42,      0.00
End Calculating grid interpolation factors        ,      4.49,      0.06
Starting Simulation                               ,      4.51,      0.03
Summary File Close                                ,      4.51,      0.00
