"InphaseC4_002 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_002.tcf]","Time (h)","V 2 [InphaseC4_002]","V 3 [InphaseC4_002]","V 4 [InphaseC4_002]","V 5 [InphaseC4_002]","V 6 [InphaseC4_002]","V 7 [InphaseC4_002]","V 8 [InphaseC4_002]","V 9 [InphaseC4_002]","V 10 [InphaseC4_002]","V 11 [InphaseC4_002]","V 12 [InphaseC4_002]","V 13 [InphaseC4_002]","V 14 [InphaseC4_002]","V 15 [InphaseC4_002]","V 16 [InphaseC4_002]","V  1 [InphaseC4_002]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.4245
           3,        0.016667,          2.5219,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.3907
           4,        0.025000,          2.3591,          0.0000,          0.6505,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          2.3893
           5,        0.033333,          1.5819,          0.0000,          0.4337,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.3893
           6,        0.041667,          1.3124,          0.0306,          0.4582,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          2.3908
           7,        0.050000,          1.2040,          0.0634,          0.5693,          1.0017,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.3907
           8,        0.058333,          1.1112,          0.0979,          0.6167,          1.3374,          1.4428,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          2.0908
           9,        0.066667,          1.0560,          0.1336,          0.6530,          1.4933,          1.8716,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          1.7442
          10,        0.075000,          1.0311,          0.1686,          0.6927,          1.5900,          2.0619,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          1.6203
          11,        0.083333,          1.0093,          0.1906,          0.7217,          1.6612,          2.1786,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          1.5475
          12,        0.091667,          0.9893,          0.2050,          0.7390,          1.7082,          1.8098,          0.0000,          0.1888,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0001,          0.0001,          1.4959
          13,        0.100000,          0.9761,          0.2161,          0.7520,          1.7385,          1.4760,          0.0000,          0.2869,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          1.4609
          14,        0.108333,          0.9672,          0.2254,          0.7622,          1.7601,          1.3000,          0.0000,          0.3467,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.4378
          15,        0.116667,          0.9601,          0.2318,          0.7689,          1.7755,          1.1852,          0.0000,          0.4113,          0.0622,          0.0000,          0.0000,          0.0000,          0.0003,          0.0000,          0.0000,          0.0001,          1.4208
          16,        0.125000,          0.9548,          0.2363,          0.7737,          1.7860,          1.1165,          0.0000,          0.4699,          0.7205,          0.1903,          0.0002,          0.0000,          0.0002,          0.0002,          0.0000,          0.0001,          1.4098
          17,        0.133333,          0.9512,          0.2398,          0.7770,          1.7933,          1.0731,          0.0558,          0.5165,          1.0193,          0.2296,          0.2514,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          1.4013
          18,        0.141667,          0.9487,          0.2428,          0.7793,          1.7984,          1.0408,          0.0887,          0.5531,          1.2066,          0.1665,          0.2458,          0.0000,          0.0002,          0.0000,          0.0001,          0.0001,          1.3952
          19,        0.150000,          0.9467,          0.2450,          0.7810,          1.8021,          1.0195,          0.1122,          0.5796,          1.3264,          0.0766,          0.2434,          0.0908,          0.0079,          0.0001,          0.0001,          0.0000,          1.3912
          20,        0.158333,          0.9454,          0.2465,          0.7821,          1.8047,          1.0037,          0.1287,          0.6002,          1.4100,          0.0628,          0.2914,          0.3526,          0.2177,          0.0728,          0.0076,          0.0000,          1.3884
          21,        0.166667,          0.9447,          0.2475,          0.7830,          1.8065,          0.9920,          0.1414,          0.6154,          1.4683,          0.0676,          0.3195,          0.5405,          0.3246,          0.1514,          0.0741,          0.0499,          1.3866
          22,        0.175000,          0.9441,          0.2483,          0.7833,          1.8077,          0.9827,          0.1511,          0.6273,          1.5086,          0.0780,          0.3117,          0.6698,          0.5733,          0.2876,          0.1449,          0.1384,          1.3853
          23,        0.183333,          0.9437,          0.2490,          0.7837,          1.8087,          0.9758,          0.1586,          0.6355,          1.5364,          0.0991,          0.3209,          0.7578,          0.8107,          0.5501,          0.2693,          0.2523,          1.3844
          24,        0.191667,          0.9434,          0.2494,          0.7840,          1.8092,          0.9713,          0.1642,          0.6417,          1.5562,          0.1264,          0.3398,          0.8270,          1.1302,          0.7597,          0.3596,          0.3573,          1.3837
          25,        0.200000,          0.9432,          0.2496,          0.7842,          1.8097,          0.9676,          0.1683,          0.6462,          1.5705,          0.1472,          0.3560,          0.8773,          1.3483,          0.8950,          0.4167,          0.4173,          1.3832
          26,        0.208333,          0.9431,          0.2497,          0.7843,          1.8100,          0.9649,          0.1714,          0.6492,          1.5802,          0.1656,          0.3700,          0.9129,          1.5044,          1.0026,          0.4686,          0.4573,          1.3829
          27,        0.216667,          0.9430,          0.2498,          0.7845,          1.8102,          0.9631,          0.1739,          0.6518,          1.5874,          0.1823,          0.3822,          0.9389,          1.5786,          1.0815,          0.5301,          0.4898,          1.3826
          28,        0.225000,          0.9429,          0.2499,          0.7845,          1.8104,          0.9619,          0.1756,          0.6536,          1.5930,          0.1963,          0.3916,          0.9582,          1.6218,          1.1358,          0.5795,          0.5202,          1.3824
          29,        0.233333,          0.9429,          0.2499,          0.7846,          1.8106,          0.9610,          0.1770,          0.6549,          1.5978,          0.2070,          0.3992,          0.9728,          1.6513,          1.1753,          0.6166,          0.5494,          1.3823
          30,        0.241667,          0.9428,          0.2500,          0.7846,          1.8106,          0.9603,          0.1778,          0.6557,          1.6011,          0.2147,          0.4047,          0.9832,          1.6704,          1.2028,          0.6436,          0.5761,          1.3822
          31,        0.250000,          0.9428,          0.2500,          0.7846,          1.8106,          0.9598,          0.1784,          0.6564,          1.6039,          0.2209,          0.4089,          0.9912,          1.6848,          1.2228,          0.6632,          0.6066,          1.3821
          32,        0.258333,          0.9428,          0.2500,          0.7846,          1.8107,          0.9594,          0.1790,          0.6569,          1.6062,          0.2255,          0.4121,          0.9969,          1.6957,          1.2377,          0.6774,          0.6255,          1.3821
          33,        0.266667,          0.9428,          0.2501,          0.7846,          1.8107,          0.9591,          0.1793,          0.6572,          1.6076,          0.2288,          0.4144,          1.0012,          1.7038,          1.2483,          0.6873,          0.6380,          1.3820
          34,        0.275000,          0.9428,          0.2500,          0.7847,          1.8107,          0.9590,          0.1795,          0.6575,          1.6089,          0.2316,          0.4164,          1.0042,          1.7099,          1.2563,          0.6944,          0.6468,          1.3821
          35,        0.283333,          0.9427,          0.2500,          0.7846,          1.8107,          0.9588,          0.1797,          0.6576,          1.6095,          0.2337,          0.4177,          1.0066,          1.7145,          1.2621,          0.6995,          0.6529,          1.3820
          36,        0.291667,          0.9428,          0.2500,          0.7847,          1.8108,          0.9587,          0.1798,          0.6578,          1.6098,          0.2352,          0.4188,          1.0081,          1.7176,          1.2662,          0.7032,          0.6573,          1.3820
          37,        0.300000,          0.9427,          0.2501,          0.7846,          1.8108,          0.9586,          0.1799,          0.6579,          1.6098,          0.2363,          0.4197,          1.0094,          1.7200,          1.2692,          0.7061,          0.6606,          1.3821
          38,        0.308333,          0.9428,          0.2501,          0.7847,          1.8108,          0.9586,          0.1800,          0.6579,          1.6099,          0.2372,          0.4203,          1.0103,          1.7216,          1.2714,          0.7081,          0.6629,          1.3820
          39,        0.316667,          0.9428,          0.2500,          0.7846,          1.8108,          0.9585,          0.1801,          0.6579,          1.6099,          0.2378,          0.4207,          1.0109,          1.7228,          1.2730,          0.7097,          0.6646,          1.3820
          40,        0.325000,          0.9428,          0.2500,          0.7847,          1.8108,          0.9585,          0.1801,          0.6580,          1.6099,          0.2382,          0.4210,          1.0113,          1.7237,          1.2741,          0.7108,          0.6659,          1.3820
          41,        0.333333,          0.9427,          0.2500,          0.7847,          1.8108,          0.9585,          0.1802,          0.6580,          1.6100,          0.2385,          0.4212,          1.0117,          1.7244,          1.2750,          0.7116,          0.6668,          1.3820
          42,        0.341667,          0.9427,          0.2501,          0.7847,          1.8108,          0.9585,          0.1800,          0.6580,          1.6100,          0.2387,          0.4214,          1.0120,          1.7249,          1.2756,          0.7122,          0.6675,          1.3820
          43,        0.350000,          0.9427,          0.2501,          0.7846,          1.8109,          0.9585,          0.1801,          0.6580,          1.6101,          0.2389,          0.4215,          1.0122,          1.7251,          1.2761,          0.7126,          0.6680,          1.3820
          44,        0.358333,          0.9428,          0.2500,          0.7847,          1.8108,          0.9584,          0.1802,          0.6581,          1.6103,          0.2390,          0.4216,          1.0123,          1.7254,          1.2764,          0.7129,          0.6684,          1.3820
          45,        0.366667,          0.9428,          0.2501,          0.7846,          1.8108,          0.9584,          0.1802,          0.6580,          1.6102,          0.2392,          0.4216,          1.0124,          1.7256,          1.2767,          0.7132,          0.6686,          1.3820
          46,        0.375000,          0.9427,          0.2501,          0.7846,          1.8108,          0.9585,          0.1801,          0.6581,          1.6103,          0.2392,          0.4217,          1.0125,          1.7257,          1.2768,          0.7133,          0.6688,          1.3820
          47,        0.383333,          0.9428,          0.2501,          0.7846,          1.8107,          0.9584,          0.1801,          0.6581,          1.6103,          0.2392,          0.4217,          1.0125,          1.7258,          1.2769,          0.7134,          0.6689,          1.3820
          48,        0.391667,          0.9427,          0.2501,          0.7846,          1.8107,          0.9584,          0.1801,          0.6581,          1.6102,          0.2393,          0.4218,          1.0126,          1.7259,          1.2770,          0.7136,          0.6691,          1.3820
          49,        0.400000,          0.9427,          0.2500,          0.7846,          1.8107,          0.9584,          0.1802,          0.6581,          1.6103,          0.2393,          0.4218,          1.0126,          1.7259,          1.2771,          0.7136,          0.6691,          1.3820
          50,        0.408333,          0.9427,          0.2501,          0.7847,          1.8108,          0.9585,          0.1802,          0.6581,          1.6102,          0.2394,          0.4218,          1.0126,          1.7260,          1.2772,          0.7137,          0.6692,          1.3820
          51,        0.416667,          0.9427,          0.2501,          0.7846,          1.8108,          0.9585,          0.1802,          0.6581,          1.6103,          0.2394,          0.4218,          1.0126,          1.7260,          1.2772,          0.7137,          0.6693,          1.3820
          52,        0.425000,          0.9427,          0.2500,          0.7847,          1.8108,          0.9584,          0.1802,          0.6581,          1.6103,          0.2394,          0.4218,          1.0126,          1.7260,          1.2772,          0.7137,          0.6692,          1.3820
          53,        0.433333,          0.9428,          0.2500,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2393,          0.4218,          1.0127,          1.7260,          1.2773,          0.7137,          0.6693,          1.3820
          54,        0.441667,          0.9427,          0.2501,          0.7847,          1.8108,          0.9584,          0.1801,          0.6581,          1.6103,          0.2393,          0.4219,          1.0127,          1.7260,          1.2773,          0.7138,          0.6692,          1.3820
          55,        0.450000,          0.9427,          0.2501,          0.7847,          1.8108,          0.9585,          0.1802,          0.6580,          1.6102,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7138,          0.6693,          1.3820
          56,        0.458333,          0.9427,          0.2501,          0.7847,          1.8109,          0.9585,          0.1802,          0.6581,          1.6103,          0.2393,          0.4218,          1.0127,          1.7261,          1.2773,          0.7137,          0.6693,          1.3820
          57,        0.466667,          0.9428,          0.2501,          0.7846,          1.8108,          0.9584,          0.1802,          0.6581,          1.6103,          0.2394,          0.4219,          1.0126,          1.7261,          1.2772,          0.7138,          0.6692,          1.3820
          58,        0.475000,          0.9427,          0.2500,          0.7846,          1.8108,          0.9584,          0.1801,          0.6581,          1.6102,          0.2394,          0.4219,          1.0126,          1.7260,          1.2773,          0.7137,          0.6693,          1.3820
