"InphaseC4_005","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\results\005\InphaseC4_005_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          3.6475,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.0192,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -36.1723,          0.0003
,        0.016667,          3.0618,          0.0265,          1.6338,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          3.0142,        -32.0792,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,        -38.3227,         -0.0008
,        0.025000,          2.7252,          0.2126,          1.2448,          1.7797,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          3.0092,        -28.9538,         -9.6313,          0.0000,          0.0000,          0.0000,         -0.0003,        -38.2840,          0.0008
,        0.033333,          1.9606,          0.2599,          1.2056,          2.0260,          2.0588,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0000,          0.0001,          3.0087,        -27.6976,        -18.6075,         -0.0114,          0.0000,          0.0001,         -0.0001,        -38.2775,         -0.0003
,        0.041667,          1.8289,          0.4470,          1.2682,          2.1433,          2.4988,          0.0000,          0.5895,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          0.0001,          2.4839,        -31.2973,        -23.8998,        -17.5608,          0.0000,         -0.0002,         -0.0004,        -36.1923,          0.0008
,        0.050000,          1.7662,          0.5511,          1.3379,          2.2556,          2.5487,          0.0000,          0.6845,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          2.2081,        -34.4668,        -29.2331,        -19.9455,         -5.2820,          0.0009,          0.0009,        -37.0524,         -0.0008
,        0.058333,          1.7100,          0.5958,          1.3634,          2.3143,          2.1418,          0.1937,          0.7871,          1.0321,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0000,          2.1046,        -35.8855,        -32.8821,        -23.0563,        -11.3639,         -0.0002,         -0.0017,        -37.4826,          0.0011
,        0.066667,          1.6736,          0.6273,          1.3728,          2.3405,          1.9443,          0.3226,          0.9076,          1.6821,          0.4744,          0.3256,          0.0002,          0.0001,          0.0001,          0.0000,          0.0001,          2.0394,        -36.6326,        -34.8943,        -27.6892,        -18.6369,         -7.2814,         -0.0001,        -37.6670,          0.0001
