"InphaseC4_005 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf]","Time (h)","Q 2 [InphaseC4_005]","Q 3 [InphaseC4_005]","Q 4 [InphaseC4_005]","Q 5 [InphaseC4_005]","Q 6 [InphaseC4_005]","Q 7 [InphaseC4_005]","Q 1 [InphaseC4_005]","Q  8 [InphaseC4_005]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -36.1723,          0.0003
           3,        0.016667,        -32.0792,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,        -38.3227,         -0.0008
           4,        0.025000,        -28.9538,         -9.6313,          0.0000,          0.0000,          0.0000,         -0.0003,        -38.2840,          0.0008
           5,        0.033333,        -27.6976,        -18.6075,         -0.0114,          0.0000,          0.0001,         -0.0001,        -38.2775,         -0.0003
           6,        0.041667,        -31.2973,        -23.8998,        -17.5608,          0.0000,         -0.0002,         -0.0004,        -36.1923,          0.0008
           7,        0.050000,        -34.4668,        -29.2331,        -19.9455,         -5.2820,          0.0009,          0.0009,        -37.0524,         -0.0008
           8,        0.058333,        -35.8855,        -32.8821,        -23.0563,        -11.3639,         -0.0002,         -0.0017,        -37.4826,          0.0011
           9,        0.066667,        -36.6326,        -34.8943,        -27.6892,        -18.6369,         -7.2814,         -0.0001,        -37.6670,          0.0001
          10,        0.075000,        -37.2293,        -36.1034,        -30.9868,        -24.9104,        -13.8445,         -0.0004,        -37.8578,         -0.0011
          11,        0.083333,        -37.6437,        -36.9195,        -33.1857,        -29.1933,        -19.5922,        -10.2774,        -38.0235,         -0.2292
          12,        0.091667,        -37.8893,        -37.4434,        -34.8445,        -32.1766,        -24.2648,        -16.8827,        -38.1225,        -13.2188
          13,        0.100000,        -38.0327,        -37.7608,        -36.0471,        -34.2729,        -28.2569,        -22.7821,        -38.1766,        -25.7919
          14,        0.108333,        -38.1233,        -37.9551,        -36.8235,        -35.6704,        -31.2366,        -30.9353,        -38.2126,        -31.3942
          15,        0.116667,        -38.1815,        -38.0761,        -37.3242,        -36.5799,        -33.3880,        -32.3756,        -38.2358,        -33.5710
          16,        0.125000,        -38.2161,        -38.1520,        -37.6584,        -37.1693,        -34.9548,        -33.5832,        -38.2513,        -33.8653
          17,        0.133333,        -38.2388,        -38.1987,        -37.8780,        -37.5590,        -36.0689,        -34.8090,        -38.2599,        -34.4349
          18,        0.141667,        -38.2525,        -38.2275,        -38.0184,        -37.8137,        -36.7979,        -35.7031,        -38.2654,        -35.3222
          19,        0.150000,        -38.2612,        -38.2456,        -38.1100,        -37.9782,        -37.2630,        -36.5029,        -38.2683,        -36.2399
          20,        0.158333,        -38.2660,        -38.2566,        -38.1692,        -38.0840,        -37.5844,        -37.1040,        -38.2709,        -36.9776
          21,        0.166667,        -38.2687,        -38.2633,        -38.2064,        -38.1518,        -37.8102,        -37.5036,        -38.2720,        -37.4558
          22,        0.175000,        -38.2715,        -38.2672,        -38.2304,        -38.1957,        -37.9656,        -37.7667,        -38.2729,        -37.7428
          23,        0.183333,        -38.2722,        -38.2705,        -38.2467,        -38.2244,        -38.0682,        -37.9359,        -38.2730,        -37.9186
          24,        0.191667,        -38.2732,        -38.2715,        -38.2570,        -38.2419,        -38.1367,        -38.0463,        -38.2737,        -38.0302
          25,        0.200000,        -38.2738,        -38.2727,        -38.2619,        -38.2546,        -38.1831,        -38.1195,        -38.2739,        -38.1076
          26,        0.208333,        -38.2741,        -38.2734,        -38.2659,        -38.2606,        -38.2137,        -38.1710,        -38.2740,        -38.1603
          27,        0.216667,        -38.2743,        -38.2737,        -38.2698,        -38.2658,        -38.2347,        -38.2051,        -38.2738,        -38.1984
