Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.34,      0.33
Start 2D BC Array Sizes Domain_001                ,      0.37,      0.03
End 2D BC Array Sizes Domain_001                  ,      0.38,      0.01
Start Estry Setup s0                              ,      0.38,      0.00
End Estry Setup s0                                ,      0.38,      0.00
Start TUFLOW Setup s2                             ,      0.38,      0.00
End TUFLOW Setup s2                               ,      0.64,      0.25
Reading Geometry File Domain_001                  ,      0.68,      0.05
Start Read Grid Read GRID Zpts                    ,      0.69,      0.00
End Read Grid Read GRID Zpts                      ,      0.70,      0.01
Start Read Read GIS Code                          ,      0.70,      0.00
End Read Read GIS Code                            ,      0.71,      0.01
Finished Reading Geometry File Domain_001         ,      0.71,      0.00
Start Read input file (stage 2) Domain_001        ,      0.71,      0.00
End Read input file (stage 2) Domain_001          ,      0.74,      0.03
Identifying cells within user defined output zones,      0.74,      0.00
Finished Identifying cells within user defined out,      0.74,      0.00
Setting instability water levels Domain_001       ,      0.74,      0.00
Finished Setting instability water levels Domain_0,      0.75,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.75,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.75,      0.00
Start Reading Input File (Stage 3)                ,      0.75,      0.00
End Reading Input File (Stage 3)                  ,      0.75,      0.00
Reading Boundary File Domain_001                  ,      0.75,      0.00
Finished Reading Boundary File Domain_001         ,      0.84,      0.09
Initialising 2D Data (Stage 1) Domain_001         ,      0.85,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.87,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      0.87,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.89,      0.02
Start Writing _grd_check                          ,      0.90,      0.01
End Writing _grd_check                            ,      1.70,      0.80
Start Writing _zpt_check                          ,      1.70,      0.00
End Writing _zpt_check                            ,      2.75,      1.05
Start Writing _uvpt_check                         ,      2.75,      0.00
End Writing _uvpt_check                           ,      3.44,      0.70
Start Writing check DEMs                          ,      4.70,      1.25
Start Calculating grid interpolation factors      ,      4.70,      0.00
End Calculating grid interpolation factors        ,      4.76,      0.07
End Writing check DEMs                            ,      4.81,      0.05
Start Calculating grid interpolation factors      ,      4.81,      0.00
End Calculating grid interpolation factors        ,      4.88,      0.06
Starting Simulation                               ,      4.89,      0.02
Summary File Close                                ,      4.89,      0.00
