"VanillaC4_002 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_002.tcf]","Time (h)","Q 2 [VanillaC4_002]","Q 3 [VanillaC4_002]","Q 4 [VanillaC4_002]","Q 5 [VanillaC4_002]","Q 6 [VanillaC4_002]","Q 7 [VanillaC4_002]","Q 1 [VanillaC4_002]","Q  8 [VanillaC4_002]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,        -96.7880,        -49.5011,          0.0000,          0.0000,          0.0000,         61.4815,       -114.5953,         76.9689
           3,        0.033333,       -111.2886,        -97.0280,        -78.7421,        -35.7178,         31.1594,         38.7938,       -118.9342,         40.7603
           4,        0.050000,       -116.5901,       -108.8887,        -97.1342,        -81.7108,        -60.3178,         19.6347,       -120.1641,         19.4131
           5,        0.066667,       -118.8729,       -114.7974,       -107.9941,        -97.8751,        -88.5190,        -83.8593,       -120.7740,        -79.9706
           6,        0.083333,       -119.9842,       -117.6800,       -113.1661,       -108.9299,       -102.8812,       -105.5761,       -121.0659,       -114.8280
           7,        0.100000,       -120.5836,       -119.0545,       -116.7120,       -114.5354,       -111.9493,       -114.8180,       -121.2222,       -115.1279
           8,        0.116667,       -120.8913,       -119.9533,       -118.7513,       -117.4656,       -116.9321,       -116.6166,       -121.3166,       -116.2109
           9,        0.133333,       -121.0792,       -120.5682,       -119.8752,       -119.3314,       -118.7185,       -118.0366,       -121.3576,       -117.6138
          10,        0.150000,       -121.2365,       -120.9369,       -120.5906,       -120.3167,       -119.7115,       -119.1536,       -121.3915,       -118.8289
          11,        0.166667,       -121.3277,       -121.1687,       -120.9958,       -120.7969,       -120.3534,       -119.9560,       -121.4270,       -119.7317
          12,        0.183333,       -121.3867,       -121.3065,       -121.1958,       -121.0646,       -120.7657,       -120.5029,       -121.4402,       -120.3510
          13,        0.200000,       -121.4243,       -121.3706,       -121.3079,       -121.2213,       -121.0354,       -120.8640,       -121.4508,       -120.7605
          14,        0.216667,       -121.4415,       -121.4108,       -121.3676,       -121.3152,       -121.2326,       -121.2985,       -121.4557,       -121.7626
          15,        0.233333,       -121.4489,       -121.4307,       -121.4030,       -121.3725,       -121.3135,       -121.2082,       -121.4560,       -121.6751
          16,        0.250000,       -121.4521,       -121.4429,       -121.4269,       -121.4332,       -121.4150,       -121.3575,       -121.4567,       -120.8968
          17,        0.266667,       -121.4567,       -121.4478,       -121.4410,       -121.4358,       -121.6269,       -118.9255,       -121.4582,       -131.4346
          18,        0.283333,       -121.4569,       -121.4532,       -121.4509,       -121.4607,       -121.5579,       -120.4901,       -121.4611,       -121.0479
          19,        0.300000,       -121.4586,       -121.4570,       -121.4607,       -121.4911,       -121.2028,       -121.1788,       -121.4592,       -120.4934
          20,        0.316667,       -121.4615,       -121.4596,       -121.4667,       -121.4719,       -121.2465,       -121.3891,       -121.4593,       -121.1687
          21,        0.333333,       -121.4607,       -121.4630,       -121.4612,       -121.4468,       -121.8790,       -119.5649,       -121.4593,       -119.5064
          22,        0.350000,       -121.4596,       -121.4616,       -121.4558,       -121.4741,       -121.1287,       -120.6830,       -121.4597,       -120.4294
          23,        0.366667,       -121.4606,       -121.4602,       -121.4624,       -121.4925,       -121.1981,       -121.0422,       -121.4602,       -120.9305
          24,        0.383333,       -121.4592,       -121.4605,       -121.4671,       -121.4242,       -121.3231,       -121.2249,       -121.4593,       -121.1753
          25,        0.400000,       -121.4609,       -121.4636,       -121.4517,       -121.4243,       -121.3732,       -121.3257,       -121.4607,       -121.3004
          26,        0.416667,       -121.4600,       -121.4591,       -121.4481,       -121.4368,       -121.4078,       -121.3859,       -121.4599,       -121.3671
          27,        0.433333,       -121.4591,       -121.4579,       -121.4507,       -121.4454,       -121.4263,       -121.4152,       -121.4592,       -121.4065
          28,        0.450000,       -121.4597,       -121.4577,       -121.4541,       -121.4500,       -121.4393,       -121.4317,       -121.4583,       -121.4256
          29,        0.466667,       -121.4598,       -121.4585,       -121.4547,       -121.4523,       -121.4490,       -121.4404,       -121.4581,       -121.4397
          30,        0.483333,       -121.4588,       -121.4578,       -121.4573,       -121.4552,       -121.4530,       -121.4496,       -121.4608,       -121.4482
          31,        0.500000,       -121.4614,       -121.4598,       -121.4588,       -121.4580,       -121.4555,       -121.4543,       -121.4597,       -121.4524
          32,        0.516667,       -121.4595,       -121.4585,       -121.4590,       -121.4578,       -121.4554,       -121.4587,       -121.4598,       -121.4562
          33,        0.533333,       -121.4602,       -121.4590,       -121.4594,       -121.4602,       -121.4586,       -121.4548,       -121.4603,       -121.4565
          34,        0.550000,       -121.4599,       -121.4589,       -121.4601,       -121.4599,       -121.4598,       -121.4594,       -121.4599,       -121.4590
          35,        0.566667,       -121.4598,       -121.4592,       -121.4601,       -121.4605,       -121.4607,       -121.4588,       -121.4596,       -121.4584
          36,        0.583333,       -121.4587,       -121.4615,       -121.4598,       -121.4599,       -121.4576,       -121.4583,       -121.4594,       -121.4581
          37,        0.600000,       -121.4604,       -121.4606,       -121.4602,       -121.4604,       -121.4590,       -121.4594,       -121.4607,       -121.4588
          38,        0.616667,       -121.4608,       -121.4593,       -121.4600,       -121.4591,       -121.4609,       -121.4600,       -121.4610,       -121.4606
          39,        0.633333,       -121.4593,       -121.4599,       -121.4592,       -121.4597,       -121.4576,       -121.4588,       -121.4607,       -121.4589
          40,        0.650000,       -121.4607,       -121.4594,       -121.4602,       -121.4606,       -121.4615,       -121.4609,       -121.4584,       -121.4603
          41,        0.666667,       -121.4601,       -121.4592,       -121.4619,       -121.4603,       -121.4597,       -121.4597,       -121.4579,       -121.4602
          42,        0.683333,       -121.4599,       -121.4602,       -121.4598,       -121.4594,       -121.4598,       -121.4627,       -121.4611,       -121.4618
          43,        0.700000,       -121.4594,       -121.4593,       -121.4595,       -121.4580,       -121.4610,       -121.4593,       -121.4620,       -121.4607
          44,        0.716667,       -121.4603,       -121.4608,       -121.4618,       -121.4616,       -121.4604,       -121.4591,       -121.4607,       -121.4605
