"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.167,              ,  13636.56    ,  42621.74    ,  72876.00    ,  0.000000    ,  86512.57    ,  42621.74    ,  43890.83    ,  43890.83    , 0.3414922E-02, 0.2644473E-05,  129134.3    ,  43890.83    ,  129134.3    , 0.3414922E-02, 0.2644473E-05, 0.2644473E-05
         0.333,              ,  0.000000    ,  72679.54    ,  72876.00    ,  0.000000    ,  72876.00    ,  72679.54    ,  196.4599    ,  196.4570    ,-0.2876812E-02,-0.1976435E-05,  145555.5    ,  44087.29    ,  274689.8    , 0.5381100E-03, 0.1958973E-06, 0.1958973E-06
         0.500,              ,  0.000000    ,  72874.15    ,  72875.99    ,  0.000000    ,  72875.99    ,  72874.15    ,  1.840721    ,  1.843750    , 0.3028870E-02, 0.2078125E-05,  145750.1    ,  44089.13    ,  420440.0    , 0.3566980E-02, 0.8483921E-06, 0.8483921E-06
         0.667,              ,  0.000000    ,  72875.99    ,  72876.00    ,  0.000000    ,  72876.00    ,  72875.99    , 0.1696013E-01, 0.1953125E-01, 0.2571125E-02, 0.1764041E-05,  145752.0    ,  44089.15    ,  566192.0    , 0.6138104E-02, 0.1084103E-05, 0.1084103E-05
         0.833,              ,  0.000000    ,  72876.01    ,  72876.01    ,  0.000000    ,  72876.01    ,  72876.01    ,-0.1457229E-02, 0.1171875E-01, 0.1317598E-01, 0.9039998E-05,  145752.0    ,  44089.16    ,  711944.0    , 0.1931408E-01, 0.2712866E-05, 0.2712866E-05
         1.000,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    , 0.2861023E-02,-0.7812500E-02,-0.1067352E-01,-0.7323073E-05,  145752.0    ,  44089.16    ,  857696.0    , 0.8640561E-02, 0.1007415E-05, 0.1007415E-05
         1.167,              ,  0.000000    ,  72876.04    ,  72876.04    ,  0.000000    ,  72876.04    ,  72876.04    , 0.4577823E-03,  0.000000    ,-0.4577823E-03,-0.3140829E-06,  145752.1    ,  44089.16    ,  1003448.    , 0.8182778E-02, 0.8154660E-06, 0.8154660E-06
         1.333,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    , 0.1434358E-02,  0.000000    ,-0.1434358E-02,-0.9841087E-06,  145752.0    ,  44089.16    ,  1149200.    , 0.6748420E-02, 0.5872276E-06, 0.5872276E-06
         1.500,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    , 0.3341675E-02,-0.3906250E-02,-0.7247925E-02,-0.4972780E-05,  145752.0    ,  44089.15    ,  1294952.    ,-0.4995044E-03,-0.3857320E-07,-0.3857320E-07
         1.667,              ,  0.000000    ,  72876.03    ,  72876.04    ,  0.000000    ,  72876.04    ,  72876.03    , 0.5424574E-02, 0.7812500E-02, 0.2387926E-02, 0.1638348E-05,  145752.1    ,  44089.16    ,  1440704.    , 0.1888422E-02, 0.1310763E-06, 0.1310763E-06
         1.833,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    , 0.5012555E-02,-0.3906250E-02,-0.8918805E-02,-0.6119166E-05,  145752.0    ,  44089.16    ,  1586456.    ,-0.7030383E-02,-0.4431502E-06,-0.4431502E-06
         2.000,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    , 0.6752014E-02, 0.7812500E-02, 0.1060486E-02, 0.7275963E-06,  145752.0    ,  44089.16    ,  1732208.    ,-0.5969898E-02,-0.3446409E-06,-0.3446409E-06
