"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.7500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,     0.000
         0.167,         730,         0,         2, 0.9322486    , 0.1666667    ,  13636.56    ,  42621.74    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  43890.83    ,  43890.83    , 0.3414922E-02,  43890.83    ,     0.000
         0.333,        1381,         0,         2, 0.9379578    , 0.3333333    ,  0.000000    ,  72679.54    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  196.4599    ,  196.4570    ,-0.2876812E-02,  44087.29    ,    -0.000
         0.500,        2021,         0,         2, 0.9439823    , 0.4955729    ,  0.000000    ,  72874.15    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.99    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1.840721    ,  1.843750    , 0.3028870E-02,  44089.13    ,     0.000
         0.667,        2662,         0,         2, 0.9500557    , 0.6664062    ,  0.000000    ,  72875.99    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.1696013E-01, 0.1953125E-01, 0.2571125E-02,  44089.15    ,     0.000
         0.833,        3297,         0,         2, 0.9561226    , 0.8182540    ,  0.000000    ,  72876.01    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.01    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.1457229E-02, 0.1171875E-01, 0.1317598E-01,  44089.16    ,     0.000
         1.000,        3927,         0,         2, 0.9621846    , 0.9960317    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2861023E-02,-0.7812500E-02,-0.1067352E-01,  44089.16    ,    -0.000
         1.167,        4558,         0,         2, 0.9682766    ,  1.151058    ,  0.000000    ,  72876.04    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.04    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.4577823E-03,  0.000000    ,-0.4577823E-03,  44089.16    ,    -0.000
         1.333,        5179,         0,         2, 0.9743266    ,  1.331989    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.1434358E-02,  0.000000    ,-0.1434358E-02,  44089.16    ,    -0.000
         1.500,        5799,         0,         2, 0.9803865    ,  1.432527    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.3341675E-02,-0.3906250E-02,-0.7247925E-02,  44089.15    ,    -0.000
         1.667,        6416,         0,         2, 0.9864535    ,  1.659836    ,  0.000000    ,  72876.03    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.04    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.5424574E-02, 0.7812500E-02, 0.2387926E-02,  44089.16    ,     0.000
         1.833,        7027,         0,         2, 0.9925081    ,  1.797814    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.5012555E-02,-0.3906250E-02,-0.8918805E-02,  44089.16    ,    -0.000
         2.000,        7637,         0,         2, 0.9985830    ,  1.989891    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.6752014E-02, 0.7812500E-02, 0.1060486E-02,  44089.16    ,     0.000
