"VanillaC4_003","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_003.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\results\003\VanillaC4_003_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.016667,          3.0326,          2.8256,          3.1415,          3.1242,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.9945,          2.0915,          2.2904,          2.1215,          1.8437,          2.8911,        -94.9331,        -41.0192,          0.0000,          0.0000,          0.0000,         58.5054,       -113.8102,         81.9547
,        0.033333,          2.6954,          2.5428,          2.7354,          2.8068,          2.8629,          2.6435,          2.4522,          0.0000,          1.3718,          1.3638,          1.1596,          1.1178,          1.1894,          1.0409,          0.8593,          2.5803,       -111.4301,        -98.4546,        -74.6526,        -25.6119,         31.4025,         39.0134,       -118.3974,         40.5142
,        0.050000,          2.5437,          2.4146,          2.5809,          2.6469,          2.6112,          2.4605,          2.3821,          1.7850,          1.3512,          1.0059,          0.5895,          0.5687,          0.6142,          0.5325,          0.4290,          2.4557,       -116.4764,       -110.2793,        -99.8410,        -83.6179,        -47.8706,         19.9253,       -119.7920,         19.8740
,        0.066667,          2.4784,          2.3593,          2.5171,          2.5716,          2.5400,          2.3881,          2.1234,          2.0650,          1.8376,          1.7829,          1.5844,          1.5141,          1.4498,          1.2239,          0.9436,          2.3905,       -118.8274,       -115.3398,       -109.3092,       -100.5859,        -90.4646,        -85.5862,       -120.5813,        -79.9108
,        0.083333,          2.4422,          2.3265,          2.4760,          2.5276,          2.4834,          2.2949,          2.1583,          2.1558,          1.9895,          1.9805,          1.8022,          1.8054,          1.9483,          2.1120,          2.3372,          2.3575,       -119.9918,       -118.0007,       -113.7731,       -110.0023,       -104.5457,       -104.7883,       -120.9738,       -120.0706
,        0.100000,          2.4210,          2.3065,          2.4491,          2.4888,          2.4389,          2.2786,          2.1696,          2.1998,          2.0665,          2.0945,          2.0449,          2.1608,          2.3469,          2.3862,          2.3967,          2.3384,       -120.5967,       -119.2745,       -117.0553,       -114.9733,       -112.5382,       -116.7696,       -121.1762,       -118.2941
,        0.116667,          2.4079,          2.2929,          2.4280,          2.4674,          2.4235,          2.2718,          2.1756,          2.2239,          2.1355,          2.2190,          2.1580,          2.2378,          2.4141,          2.4124,          2.3988,          2.3271,       -120.9120,       -120.0986,       -118.9025,       -117.7647,       -117.5864,       -118.0209,       -121.2934,       -117.9442
,        0.133333,          2.3989,          2.2832,          2.4176,          2.4575,          2.4157,          2.2689,          2.1811,          2.2540,          2.1783,          2.2559,          2.1779,          2.2526,          2.4308,          2.4231,          2.4084,          2.3197,       -121.0959,       -120.6439,       -119.9715,       -119.4600,       -119.1822,       -118.8637,       -121.3458,       -118.5738
