"VanillaC4_005 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_005.tcf]","Time (h)","V 2 [VanillaC4_005]","V 3 [VanillaC4_005]","V 4 [VanillaC4_005]","V 5 [VanillaC4_005]","V 6 [VanillaC4_005]","V 7 [VanillaC4_005]","V 8 [VanillaC4_005]","V 9 [VanillaC4_005]","V 10 [VanillaC4_005]","V 11 [VanillaC4_005]","V 12 [VanillaC4_005]","V 13 [VanillaC4_005]","V 14 [VanillaC4_005]","V 15 [VanillaC4_005]","V 16 [VanillaC4_005]","V  1 [VanillaC4_005]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          3.4233,          2.2153,          2.9056,          3.0676,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.1961,          1.6255,          2.5037,          2.6107,          3.3695
           3,        0.033333,          3.0562,          1.8634,          2.5178,          3.1215,          3.4341,          1.0078,          1.8365,          0.0000,          0.0000,          1.0423,          1.4166,          0.8533,          0.9357,          0.9839,          0.9529,          2.6360
           4,        0.050000,          2.7626,          1.9864,          2.4761,          3.1061,          2.8244,          1.7687,          1.9619,          3.0122,          1.4807,          1.5155,          0.9112,          0.0337,          0.0544,          0.0732,          0.0326,          2.3533
           5,        0.066667,          2.7577,          2.0539,          2.5003,          2.8500,          2.5489,          2.0266,          2.0799,          2.6051,          2.1289,          1.8999,          2.1549,          1.7776,          1.6554,          1.7197,          1.0991,          2.2907
           6,        0.083333,          2.7606,          2.0715,          2.4925,          2.6333,          2.5290,          2.1468,          2.1500,          2.4382,          2.3633,          2.0805,          2.1820,          2.0955,          2.2112,          2.8429,          2.3210,          2.2774
           7,        0.100000,          2.7507,          2.0555,          2.4667,          2.5862,          2.5273,          2.1792,          2.1525,          2.3581,          2.4316,          2.1661,          2.3091,          2.3845,          2.4481,          3.0600,          2.5015,          2.2710
           8,        0.116667,          2.7388,          2.0552,          2.4564,          2.5662,          2.5201,          2.1896,          2.1417,          2.3275,          2.4912,          2.2373,          2.3556,          2.4033,          2.4774,          3.1303,          2.5547,          2.2597
           9,        0.133333,          2.7351,          2.0553,          2.4525,          2.5528,          2.5135,          2.1891,          2.1382,          2.3284,          2.5194,          2.2560,          2.3598,          2.4008,          2.4847,          3.1723,          2.5850,          2.2543
          10,        0.150000,          2.7330,          2.0547,          2.4495,          2.5428,          2.5104,          2.1938,          2.1400,          2.3255,          2.5292,          2.2642,          2.3584,          2.3962,          2.4879,          3.1974,          2.6027,          2.2515
          11,        0.166667,          2.7315,          2.0551,          2.4471,          2.5379,          2.5107,          2.1975,          2.1402,          2.3223,          2.5349,          2.2702,          2.3574,          2.3942,          2.4905,          3.2116,          2.6135,          2.2498
          12,        0.183333,          2.7302,          2.0549,          2.4462,          2.5365,          2.5102,          2.1991,          2.1408,          2.3195,          2.5377,          2.2731,          2.3572,          2.3924,          2.4914,          3.2211,          2.6203,          2.2485
          13,        0.200000,          2.7299,          2.0550,          2.4457,          2.5351,          2.5097,          2.1993,          2.1403,          2.3180,          2.5398,          2.2748,          2.3565,          2.3914,          2.4920,          3.2270,          2.6246,          2.2479
          14,        0.216667,          2.7296,          2.0554,          2.4454,          2.5342,          2.5094,          2.1995,          2.1402,          2.3171,          2.5409,          2.2758,          2.3561,          2.3907,          2.4923,          3.2305,          2.6271,          2.2476
          15,        0.233333,          2.7295,          2.0555,          2.4451,          2.5335,          2.5091,          2.1996,          2.1401,          2.3166,          2.5415,          2.2764,          2.3559,          2.3903,          2.4925,          3.2326,          2.6286,          2.2474
          16,        0.250000,          2.7293,          2.0555,          2.4449,          2.5332,          2.5090,          2.1998,          2.1401,          2.3162,          2.5419,          2.2768,          2.3556,          2.3901,          2.4926,          3.2340,          2.6296,          2.2472
          17,        0.266667,          2.7293,          2.0554,          2.4448,          2.5330,          2.5090,          2.1996,          2.1399,          2.3159,          2.5422,          2.2770,          2.3556,          2.3900,          2.4927,          3.2348,          2.6302,          2.2472
          18,        0.283333,          2.7293,          2.0555,          2.4449,          2.5329,          2.5089,          2.1996,          2.1399,          2.3158,          2.5423,          2.2771,          2.3555,          2.3899,          2.4928,          3.2354,          2.6305,          2.2472
          19,        0.300000,          2.7292,          2.0554,          2.4448,          2.5328,          2.5089,          2.1997,          2.1399,          2.3157,          2.5424,          2.2772,          2.3556,          2.3898,          2.4928,          3.2357,          2.6308,          2.2471
          20,        0.316667,          2.7291,          2.0554,          2.4448,          2.5327,          2.5090,          2.1997,          2.1399,          2.3156,          2.5425,          2.2773,          2.3555,          2.3898,          2.4928,          3.2359,          2.6309,          2.2471
          21,        0.333333,          2.7292,          2.0554,          2.4448,          2.5327,          2.5089,          2.1997,          2.1399,          2.3157,          2.5425,          2.2773,          2.3555,          2.3898,          2.4928,          3.2360,          2.6309,          2.2471
          22,        0.350000,          2.7291,          2.0554,          2.4448,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2360,          2.6310,          2.2470
          23,        0.366667,          2.7292,          2.0554,          2.4447,          2.5327,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2361,          2.6310,          2.2471
          24,        0.383333,          2.7291,          2.0555,          2.4448,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3556,          2.3897,          2.4929,          3.2361,          2.6311,          2.2470
          25,        0.400000,          2.7292,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2471
          26,        0.416667,          2.7292,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2471
          27,        0.433333,          2.7292,          2.0555,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3155,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2470
          28,        0.450000,          2.7292,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3155,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          29,        0.466667,          2.7292,          2.0555,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          30,        0.483333,          2.7291,          2.0554,          2.4447,          2.5327,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          31,        0.500000,          2.7291,          2.0554,          2.4447,          2.5326,          2.5089,          2.1998,          2.1399,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4928,          3.2362,          2.6311,          2.2470
          32,        0.516667,          2.7291,          2.0554,          2.4446,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          33,        0.533333,          2.7291,          2.0555,          2.4448,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          34,        0.550000,          2.7292,          2.0554,          2.4447,          2.5326,          2.5088,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4928,          3.2362,          2.6311,          2.2470
          35,        0.566667,          2.7292,          2.0555,          2.4448,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2471
          36,        0.583333,          2.7292,          2.0554,          2.4449,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2471
          37,        0.600000,          2.7291,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3555,          2.3898,          2.4928,          3.2362,          2.6311,          2.2471
          38,        0.616667,          2.7291,          2.0553,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3155,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2470
          39,        0.633333,          2.7291,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          40,        0.650000,          2.7292,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4928,          3.2362,          2.6311,          2.2471
          41,        0.666667,          2.7292,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2773,          2.3554,          2.3897,          2.4929,          3.2361,          2.6311,          2.2471
          42,        0.683333,          2.7292,          2.0555,          2.4448,          2.5326,          2.5089,          2.1996,          2.1398,          2.3155,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          43,        0.700000,          2.7292,          2.0554,          2.4448,          2.5327,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2774,          2.3555,          2.3898,          2.4929,          3.2361,          2.6311,          2.2471
          44,        0.716667,          2.7292,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          45,        0.733333,          2.7291,          2.0553,          2.4448,          2.5326,          2.5089,          2.1997,          2.1398,          2.3155,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2361,          2.6310,          2.2471
          46,        0.750000,          2.7291,          2.0553,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2470
          47,        0.766667,          2.7292,          2.0554,          2.4446,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          48,        0.783333,          2.7292,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          49,        0.800000,          2.7292,          2.0553,          2.4446,          2.5325,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4928,          3.2362,          2.6311,          2.2470
          50,        0.816667,          2.7292,          2.0555,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          51,        0.833333,          2.7292,          2.0554,          2.4448,          2.5327,          2.5089,          2.1996,          2.1399,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          52,        0.850000,          2.7292,          2.0554,          2.4447,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2470
          53,        0.866667,          2.7292,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          54,        0.883333,          2.7291,          2.0554,          2.4446,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3554,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          55,        0.900000,          2.7292,          2.0553,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          56,        0.916667,          2.7292,          2.0555,          2.4447,          2.5327,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          57,        0.933333,          2.7291,          2.0555,          2.4449,          2.5326,          2.5089,          2.1997,          2.1399,          2.3155,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          58,        0.950000,          2.7292,          2.0555,          2.4448,          2.5327,          2.5089,          2.1996,          2.1399,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          59,        0.966667,          2.7292,          2.0555,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3157,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2470
          60,        0.983333,          2.7291,          2.0555,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3898,          2.4929,          3.2362,          2.6311,          2.2471
          61,        1.000000,          2.7292,          2.0554,          2.4447,          2.5326,          2.5089,          2.1998,          2.1398,          2.3156,          2.5426,          2.2774,          2.3554,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          62,        1.016667,          2.7292,          2.0554,          2.4448,          2.5327,          2.5089,          2.1997,          2.1398,          2.3155,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          63,        1.033333,          2.7292,          2.0554,          2.4448,          2.5326,          2.5088,          2.1997,          2.1399,          2.3155,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          64,        1.050000,          2.7291,          2.0555,          2.4448,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          65,        1.066667,          2.7292,          2.0554,          2.4448,          2.5327,          2.5089,          2.1996,          2.1399,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          66,        1.083333,          2.7292,          2.0553,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          67,        1.100000,          2.7292,          2.0553,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          68,        1.116667,          2.7291,          2.0556,          2.4447,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          69,        1.133333,          2.7292,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2361,          2.6310,          2.2471
          70,        1.150000,          2.7291,          2.0555,          2.4448,          2.5327,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          71,        1.166667,          2.7292,          2.0556,          2.4448,          2.5327,          2.5089,          2.1998,          2.1399,          2.3155,          2.5426,          2.2774,          2.3555,          2.3898,          2.4929,          3.2362,          2.6311,          2.2471
          72,        1.183333,          2.7292,          2.0554,          2.4447,          2.5327,          2.5089,          2.1996,          2.1398,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          73,        1.200000,          2.7291,          2.0554,          2.4445,          2.5327,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2774,          2.3556,          2.3898,          2.4929,          3.2362,          2.6311,          2.2470
          74,        1.216667,          2.7291,          2.0553,          2.4446,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          75,        1.233333,          2.7291,          2.0555,          2.4446,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          76,        1.250000,          2.7292,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3898,          2.4928,          3.2362,          2.6311,          2.2471
          77,        1.266667,          2.7292,          2.0555,          2.4448,          2.5327,          2.5089,          2.1997,          2.1399,          2.3155,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          78,        1.283333,          2.7292,          2.0555,          2.4448,          2.5326,          2.5088,          2.1997,          2.1399,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          79,        1.300000,          2.7292,          2.0555,          2.4448,          2.5327,          2.5088,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6310,          2.2471
          80,        1.316667,          2.7291,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6310,          2.2471
          81,        1.333333,          2.7291,          2.0554,          2.4446,          2.5327,          2.5089,          2.1997,          2.1398,          2.3155,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2361,          2.6310,          2.2471
          82,        1.350000,          2.7291,          2.0555,          2.4447,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2471
          83,        1.366667,          2.7291,          2.0554,          2.4448,          2.5326,          2.5089,          2.1996,          2.1398,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6310,          2.2471
          84,        1.383333,          2.7291,          2.0555,          2.4448,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          85,        1.400000,          2.7291,          2.0555,          2.4448,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4928,          3.2362,          2.6312,          2.2471
          86,        1.416667,          2.7291,          2.0554,          2.4447,          2.5327,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          87,        1.433333,          2.7292,          2.0552,          2.4447,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3898,          2.4928,          3.2362,          2.6311,          2.2471
          88,        1.450000,          2.7292,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          89,        1.466667,          2.7292,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          90,        1.483333,          2.7292,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2774,          2.3556,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          91,        1.500000,          2.7292,          2.0555,          2.4448,          2.5327,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2774,          2.3554,          2.3897,          2.4928,          3.2361,          2.6311,          2.2470
          92,        1.516667,          2.7291,          2.0554,          2.4447,          2.5326,          2.5089,          2.1996,          2.1399,          2.3155,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2471
          93,        1.533333,          2.7291,          2.0555,          2.4446,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          94,        1.550000,          2.7292,          2.0553,          2.4447,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          95,        1.566667,          2.7291,          2.0554,          2.4448,          2.5326,          2.5088,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3898,          2.4929,          3.2362,          2.6311,          2.2470
          96,        1.583333,          2.7292,          2.0555,          2.4449,          2.5326,          2.5089,          2.1997,          2.1399,          2.3157,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          97,        1.600000,          2.7291,          2.0555,          2.4449,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2471
          98,        1.616667,          2.7292,          2.0553,          2.4448,          2.5327,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2774,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
          99,        1.633333,          2.7292,          2.0555,          2.4446,          2.5326,          2.5089,          2.1997,          2.1399,          2.3156,          2.5425,          2.2773,          2.3555,          2.3898,          2.4929,          3.2362,          2.6311,          2.2471
         100,        1.650000,          2.7292,          2.0554,          2.4446,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5426,          2.2773,          2.3555,          2.3897,          2.4929,          3.2362,          2.6311,          2.2470
         101,        1.666667,          2.7292,          2.0554,          2.4448,          2.5326,          2.5089,          2.1997,          2.1398,          2.3156,          2.5425,          2.2773,          2.3555,          2.3897,          2.4929,          3.2361,          2.6311,          2.2471
         102,        1.683333,          2.7292,          2.0554,          2.4447,          2.5326,          2.5089,          2.1997,          2.1399,          2.3155,          2.5426,          2.2774,          2.3555,          2.3897,          2.4928,          3.2361,          2.6311,          2.2470
         103,        1.700000,          2.7292,          2.0555,          2.4447,          2.5326,          2.5088,          2.1997,          2.1398,          2.3157,          2.5437,          2.2759,          2.3558,          2.3846,          2.4887,          3.2342,          2.6399,          2.2470
         104,        1.716667,          2.7292,          2.0555,          2.4449,          2.5327,          2.5088,          2.1997,          2.1407,          2.3159,          2.5421,          2.2768,          2.3548,          2.3902,          2.4931,          3.2355,          2.6316,          2.2471
         105,        1.733333,          2.7291,          2.0554,          2.4448,          2.5327,          2.5091,          2.2000,          2.1400,          2.3156,          2.5423,          2.2772,          2.3555,          2.3898,          2.4929,          3.2358,          2.6308,          2.2471
