iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.075,0.075,0.075,0.000595093,0.0287323,0.0014801,2.87323
2,0.151435,0.0765306,0.0764349,0.00178528,0.0413513,0.00283813,3.50755
3,0.229464,0.0780925,0.0780294,0.00299072,0.0514984,0.00334167,4.0646
4,0.309052,0.0796862,0.0795879,0.00559998,0.0605011,0.00544739,4.57399
5,0.390264,0.0813124,0.0812122,0.00843811,0.0686798,0.00871277,5.0496
6,0.473171,0.0829719,0.0829064,0.0122681,0.0761108,0.0126801,5.49736
7,0.557726,0.0846652,0.0845552,0.0170593,0.0827789,0.0172577,5.91727
8,0.643999,0.086393,0.0862733,0.0226593,0.0886078,0.0222473,6.30995
9,0.732065,0.0881562,0.0880653,0.0290222,0.0935516,0.0274658,6.67512
10,0.822001,0.0899553,0.0899362,0.0360718,0.0975189,0.0327301,7.13822
11,0.91375,0.0917911,0.0917488,0.0436554,0.100525,0.0378571,7.68796
12,1.00739,0.0936644,0.0936391,0.051651,0.102554,0.0427551,8.29771
13,1.10285,0.0955759,0.0954573,0.0598602,0.103683,0.0473633,8.94432
14,1.20036,0.0975264,0.0975118,0.068161,0.103989,0.0515289,9.61285
15,1.29985,0.0995167,0.0994918,0.076355,0.103622,0.0549622,10.279
16,1.40123,0.101548,0.101382,0.083786,0.102753,0.0575867,10.9219
17,1.50476,0.10362,0.103531,0.0903473,0.101547,0.0595245,11.5344
18,1.61035,0.105735,0.105587,0.0960388,0.100128,0.0609283,12.1079
19,1.71808,0.107893,0.10773,0.100952,0.0986481,0.0619202,12.6409
20,1.82805,0.110095,0.109966,0.105225,0.097168,0.0626373,13.135
21,1.94035,0.112341,0.112301,0.108978,0.0957642,0.0631561,13.5928
22,2.05486,0.114634,0.114516,0.113373,0.0944824,0.0635529,14.0147
23,2.17169,0.116974,0.116825,0.118668,0.093338,0.0639191,14.4055
24,2.29092,0.119361,0.119234,0.123581,0.093277,0.06427,14.7695
25,2.41267,0.121797,0.121749,0.128189,0.0968933,0.0646667,15.1115
26,2.53678,0.124282,0.124111,0.132477,0.0999298,0.0651245,15.4328
27,2.66335,0.126819,0.126571,0.136398,0.102646,0.0656433,15.7372
28,2.79249,0.129407,0.129137,0.139862,0.105194,0.0662231,16.0281
29,2.9243,0.132048,0.131815,0.142868,0.107681,0.066864,16.3085
30,3.05892,0.134743,0.134612,0.145416,0.110168,0.0675507,16.5808
31,3.19612,0.137492,0.137207,0.149231,0.112686,0.0682678,16.8439
32,3.33638,0.140298,0.140256,0.153244,0.11525,0.0690002,17.1024
33,3.47947,0.143162,0.14309,0.156982,0.117889,0.0697327,17.3545
34,3.62552,0.146083,0.146048,0.160339,0.120605,0.0704651,17.6013
35,3.77426,0.149065,0.148745,0.163269,0.123413,0.0711823,17.8408
36,3.92622,0.152107,0.151961,0.166061,0.126282,0.0718994,18.077
37,4.08112,0.155211,0.1549,0.171143,0.129242,0.0726013,18.3075
38,4.23909,0.158379,0.157963,0.178482,0.132339,0.0733032,18.5335
39,4.40025,0.161611,0.161159,0.185455,0.135605,0.0739746,18.7553
40,4.56474,0.164909,0.164496,0.191666,0.139023,0.0746307,18.9736
41,4.73273,0.168274,0.167986,0.196808,0.142532,0.0752869,19.1894
42,4.90437,0.171709,0.171637,0.200699,0.145981,0.0759277,19.4032
43,5.07927,0.175213,0.174907,0.207672,0.149445,0.0765686,19.6124
44,5.25759,0.178789,0.178314,0.215134,0.152939,0.0771942,19.8176
45,5.43945,0.182437,0.181868,0.221603,0.156448,0.0777893,20.0193
46,5.62503,0.186161,0.18558,0.226654,0.160004,0.0784149,20.2184
47,5.81449,0.18996,0.18946,0.230209,0.163589,0.0790558,20.416
48,6.00801,0.193837,0.19352,0.238129,0.167145,0.0797424,20.6132
49,6.20579,0.197792,0.197773,0.245178,0.170761,0.0804443,20.8108
50,6.40726,0.201829,0.201476,0.25061,0.1745,0.0811768,21.0058
51,6.6126,0.205948,0.205336,0.254105,0.178329,0.0819397,21.1991
52,6.82196,0.210151,0.209362,0.260559,0.182297,0.0827332,21.3917
53,7.03639,0.21444,0.214428,0.267563,0.186356,0.0835571,21.5885
54,7.25435,0.218816,0.217957,0.272705,0.190506,0.0843811,21.7816
55,7.4769,0.223282,0.222556,0.27565,0.194717,0.0852356,21.9762
56,7.70428,0.227838,0.227373,0.282104,0.198975,0.0861053,22.173
57,7.9367,0.232488,0.232425,0.288437,0.203278,0.0869598,22.3723
58,8.17335,0.237233,0.236651,0.292526,0.207596,0.0878448,22.5703
59,8.41441,0.242074,0.241054,0.29541,0.211929,0.0888519,22.7686
60,8.66123,0.247015,0.246821,0.302353,0.216324,0.0898438,22.9807
61,8.91289,0.252056,0.251661,0.307251,0.220749,0.0908051,23.198
62,9.16961,0.2572,0.256719,0.309555,0.225235,0.0917358,23.4136
63,9.43162,0.262449,0.262012,0.314453,0.229782,0.0926361,23.6352
64,9.69918,0.267805,0.267558,0.320053,0.234406,0.0935822,23.8653
65,9.97107,0.27327,0.271896,0.322876,0.23909,0.0948486,24.0906
66,10.249,0.278847,0.277938,0.32608,0.243835,0.0961456,24.3187
67,10.5333,0.284538,0.284291,0.331955,0.248627,0.0974121,24.5575
68,10.8226,0.290345,0.289279,0.3349,0.253479,0.0986481,24.7929
69,11.1188,0.29627,0.29625,0.336868,0.258392,0.0998077,25.0298
70,11.4206,0.302317,0.301736,0.342911,0.263397,0.100876,25.2728
71,11.728,0.308486,0.307465,0.345673,0.268509,0.101883,25.5134
72,12.0415,0.314782,0.313454,0.346939,0.273758,0.103271,25.7486
73,12.3612,0.321206,0.319723,0.35289,0.279144,0.104706,25.9912
74,12.6875,0.327761,0.326293,0.35495,0.284668,0.106155,26.2315
75,13.0207,0.33445,0.333187,0.355743,0.290314,0.107635,26.4749
76,13.3611,0.341276,0.34043,0.36142,0.296066,0.109177,26.7253
77,13.7092,0.348241,0.348051,0.362747,0.301941,0.110764,26.9836
78,14.0625,0.355348,0.353365,0.364426,0.307922,0.112473,27.2424
79,14.4242,0.3626,0.361712,0.369949,0.314026,0.114212,27.5116
80,14.7918,0.37,0.367546,0.370453,0.320251,0.115967,27.7821
81,15.1685,0.377551,0.376735,0.373795,0.32663,0.117737,28.0647
