Simulation Time,1D (%),2D (%),Other (%)
         0.1667,     0,    87,       13
         0.3333,     0,    88,       12
         0.5000,     0,    89,       11
         0.6667,     0,    88,       12
         0.8333,     0,    88,       12
         1.0000,     0,    89,       11
         1.1667,     0,    89,       11
         1.3333,     0,    89,       11
         1.5000,     0,    89,       11
         1.6667,     0,    89,       11
         1.8333,     0,    89,       11
         2.0000,     0,    89,       11
