Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.21,      0.21
Start 2D BC Array Sizes Domain_001                ,      0.24,      0.02
End 2D BC Array Sizes Domain_001                  ,      0.26,      0.02
Start Estry Setup s0                              ,      0.26,      0.00
End Estry Setup s0                                ,      0.26,      0.00
Start TUFLOW Setup s2                             ,      0.27,      0.00
End TUFLOW Setup s2                               ,      0.47,      0.20
Reading Geometry File Domain_001                  ,      0.49,      0.03
Start Read Grid Read GRID Zpts                    ,      0.50,      0.00
End Read Grid Read GRID Zpts                      ,      0.52,      0.03
Start Read Read GIS Code                          ,      0.53,      0.00
End Read Read GIS Code                            ,      0.53,      0.01
Finished Reading Geometry File Domain_001         ,      0.53,      0.00
Start Read input file (stage 2) Domain_001        ,      0.54,      0.00
End Read input file (stage 2) Domain_001          ,      0.68,      0.14
Identifying cells within user defined output zones,      0.68,      0.00
Finished Identifying cells within user defined out,      0.68,      0.00
Setting instability water levels Domain_001       ,      0.68,      0.00
Finished Setting instability water levels Domain_0,      0.68,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.68,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.68,      0.00
Start Reading Input File (Stage 3)                ,      0.68,      0.00
End Reading Input File (Stage 3)                  ,      0.68,      0.00
Reading Boundary File Domain_001                  ,      0.69,      0.00
Finished Reading Boundary File Domain_001         ,      0.84,      0.16
Initialising 2D Data (Stage 1) Domain_001         ,      0.84,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.85,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.86,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.90,      0.05
Start Writing _grd_check                          ,      0.92,      0.02
End Writing _grd_check                            ,      2.11,      1.18
Start Writing _zpt_check                          ,      2.11,      0.00
End Writing _zpt_check                            ,      4.97,      2.87
Start Writing _uvpt_check                         ,      4.97,      0.00
End Writing _uvpt_check                           ,      6.94,      1.96
Start Writing check DEMs                          ,      7.08,      0.15
Start Calculating grid interpolation factors      ,      7.08,      0.00
End Calculating grid interpolation factors        ,      7.09,      0.01
End Writing check DEMs                            ,      7.12,      0.03
Start Calculating grid interpolation factors      ,      7.12,      0.00
End Calculating grid interpolation factors        ,      7.14,      0.02
Starting Simulation                               ,      7.15,      0.01
Summary File Close                                ,      7.15,      0.00
