"sfe_25","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow"
"F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\002\sfe_25.tcf","Time","1","2","3","4","5","6","1","2","3","4"
"F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\results\002\sfe_25_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.116667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.133333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.150000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.166667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.183333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.200000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.216667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.233333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.250000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.266667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.283333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.300000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.316667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.333333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.350000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0083,          0.0000,          0.0000,          0.0000
,        0.366667,          0.5572,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0319,          0.0000,          0.0000,          0.0000
,        0.383333,          0.2902,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0439,          0.0000,          0.0000,          0.0000
,        0.400000,          0.1634,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0538,          0.0000,          0.0000,          0.0000
,        0.416667,          0.0940,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0630,          0.0000,          0.0000,          0.0000
,        0.433333,          0.0714,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0715,          0.0000,          0.0000,          0.0000
,        0.450000,          0.0585,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0784,          0.0000,          0.0000,          0.0000
,        0.466667,          0.0582,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0835,          0.0000,          0.0000,          0.0000
,        0.483333,          0.0617,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0874,          0.0000,          0.0000,          0.0000
,        0.500000,          0.0643,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0905,          0.0000,          0.0000,          0.0000
,        0.516667,          0.0657,          0.0448,          0.0000,          0.0000,          0.0000,          0.0000,          0.0926,          0.0342,          0.0000,          0.0000
