"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\003\sfe_25.tcf]","Time (h)","Q 1 [sfe_25]","Q 2 [sfe_25]","Q 3 [sfe_25]","Q 4 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000
           8,        0.116667,          0.0000,          0.0000,          0.0000,          0.0000
           9,        0.133333,          0.0000,          0.0000,          0.0000,          0.0000
          10,        0.150000,          0.0000,          0.0000,          0.0000,          0.0000
          11,        0.166667,          0.0000,          0.0000,          0.0000,          0.0000
          12,        0.183333,          0.0000,          0.0000,          0.0000,          0.0000
          13,        0.200000,          0.0000,          0.0000,          0.0000,          0.0000
          14,        0.216667,          0.0000,          0.0000,          0.0000,          0.0000
          15,        0.233333,          0.0000,          0.0000,          0.0000,          0.0000
          16,        0.250000,          0.0000,          0.0000,          0.0000,          0.0000
          17,        0.266667,          0.0653,          0.0000,          0.0000,          0.0000
          18,        0.283333,          0.0919,          0.0000,          0.0000,          0.0000
          19,        0.300000,          0.1159,          0.0000,          0.0000,          0.0000
          20,        0.316667,          0.1361,          0.0000,          0.0000,          0.0000
          21,        0.333333,          0.1512,          0.0000,          0.0000,          0.0000
          22,        0.350000,          0.1627,          0.0000,          0.0000,          0.0000
          23,        0.366667,          0.1705,          0.0577,          0.0000,          0.0000
          24,        0.383333,          0.1795,          0.0971,          0.0000,          0.0000
          25,        0.400000,          0.1802,          0.1396,          0.0000,          0.0000
          26,        0.416667,          0.1825,          0.1640,          0.0000,          0.0000
          27,        0.433333,          0.1843,          0.1760,          0.0230,          0.0000
          28,        0.450000,          0.1855,          0.1654,          0.0212,          0.0000
          29,        0.466667,          0.1863,          0.1458,          0.0256,          0.0000
          30,        0.483333,          0.1868,          0.1509,          0.0425,          0.0000
          31,        0.500000,          0.1872,          0.1562,          0.0630,          0.0000
          32,        0.516667,          0.1874,          0.1618,          0.0778,          0.0000
          33,        0.533333,          0.1875,          0.1682,          0.0984,          0.0000
          34,        0.550000,          0.1875,          0.1711,          0.1082,          0.0653
          35,        0.566667,          0.1877,          0.1751,          0.1173,          0.0921
          36,        0.583333,          0.1878,          0.1779,          0.1267,          0.1071
          37,        0.600000,          0.1878,          0.1798,          0.1443,          0.1175
          38,        0.616667,          0.1877,          0.1818,          0.1598,          0.1272
          39,        0.633333,          0.1878,          0.1832,          0.1689,          0.1453
          40,        0.650000,          0.1879,          0.1826,          0.1726,          0.1608
          41,        0.666667,          0.1878,          0.1853,          0.1755,          0.1690
          42,        0.683333,          0.1879,          0.1854,          0.1785,          0.1731
          43,        0.700000,          0.1878,          0.1861,          0.1809,          0.1764
          44,        0.716667,          0.1878,          0.1864,          0.1826,          0.1795
          45,        0.733333,          0.1878,          0.1868,          0.1839,          0.1814
          46,        0.750000,          0.1878,          0.1871,          0.1849,          0.1830
          47,        0.766667,          0.1877,          0.1872,          0.1857,          0.1842
          48,        0.783333,          0.1878,          0.1874,          0.1862,          0.1851
          49,        0.800000,          0.1878,          0.1877,          0.1866,          0.1858
          50,        0.816667,          0.1878,          0.1875,          0.1869,          0.1863
          51,        0.833333,          0.1880,          0.1876,          0.1871,          0.1869
          52,        0.850000,          0.1878,          0.1877,          0.1873,          0.1870
          53,        0.866667,          0.1878,          0.1877,          0.1874,          0.1872
          54,        0.883333,          0.1879,          0.1876,          0.1875,          0.1874
          55,        0.900000,          0.1878,          0.1878,          0.1876,          0.1875
          56,        0.916667,          0.1878,          0.1878,          0.1876,          0.1876
          57,        0.933333,          0.1878,          0.1880,          0.1876,          0.1876
          58,        0.950000,          0.1878,          0.1879,          0.1877,          0.1877
          59,        0.966667,          0.1878,          0.1878,          0.1877,          0.1877
          60,        0.983333,          0.1878,          0.1878,          0.1877,          0.1877
          61,        1.000000,          0.1878,          0.1876,          0.1878,          0.1878
          62,        1.016667,          0.1880,          0.1878,          0.1878,          0.1878
          63,        1.033333,          0.1878,          0.1878,          0.1878,          0.1878
          64,        1.050000,          0.1879,          0.1879,          0.1878,          0.1878
          65,        1.066667,          0.1878,          0.1876,          0.1878,          0.1878
          66,        1.083333,          0.1878,          0.1878,          0.1878,          0.1878
          67,        1.100000,          0.1878,          0.1879,          0.1878,          0.1878
          68,        1.116667,          0.1878,          0.1879,          0.1878,          0.1878
          69,        1.133333,          0.1878,          0.1878,          0.1878,          0.1878
          70,        1.150000,          0.1878,          0.1880,          0.1878,          0.1878
          71,        1.166667,          0.1878,          0.1876,          0.1878,          0.1878
          72,        1.183333,          0.1877,          0.1876,          0.1878,          0.1878
          73,        1.200000,          0.1878,          0.1878,          0.1878,          0.1878
          74,        1.216667,          0.1879,          0.1880,          0.1878,          0.1878
          75,        1.233333,          0.1878,          0.1877,          0.1878,          0.1878
          76,        1.250000,          0.1878,          0.1878,          0.1878,          0.1878
          77,        1.266667,          0.1878,          0.1879,          0.1878,          0.1878
          78,        1.283333,          0.1878,          0.1876,          0.1878,          0.1878
          79,        1.300000,          0.1877,          0.1878,          0.1878,          0.1878
          80,        1.316667,          0.1878,          0.1878,          0.1878,          0.1878
          81,        1.333333,          0.1878,          0.1880,          0.1878,          0.1878
          82,        1.350000,          0.1878,          0.1877,          0.1878,          0.1878
          83,        1.366667,          0.1878,          0.1877,          0.1878,          0.1878
          84,        1.383333,          0.1879,          0.1879,          0.1878,          0.1878
          85,        1.400000,          0.1877,          0.1880,          0.1878,          0.1878
          86,        1.416667,          0.1878,          0.1879,          0.1878,          0.1878
          87,        1.433333,          0.1878,          0.1879,          0.1878,          0.1878
          88,        1.450000,          0.1878,          0.1877,          0.1878,          0.1878
          89,        1.466667,          0.1878,          0.1878,          0.1878,          0.1878
          90,        1.483333,          0.1878,          0.1879,          0.1878,          0.1878
          91,        1.500000,          0.1878,          0.1878,          0.1878,          0.1878
          92,        1.516667,          0.1879,          0.1879,          0.1878,          0.1878
          93,        1.533333,          0.1878,          0.1879,          0.1878,          0.1878
          94,        1.550000,          0.1878,          0.1878,          0.1878,          0.1878
          95,        1.566667,          0.1878,          0.1879,          0.1878,          0.1878
          96,        1.583333,          0.1878,          0.1879,          0.1878,          0.1878
          97,        1.600000,          0.1879,          0.1878,          0.1878,          0.1878
          98,        1.616667,          0.1878,          0.1878,          0.1878,          0.1878
          99,        1.633333,          0.1878,          0.1879,          0.1878,          0.1878
         100,        1.650000,          0.1878,          0.1879,          0.1878,          0.1878
         101,        1.666667,          0.1878,          0.1879,          0.1878,          0.1878
         102,        1.683333,          0.1878,          0.1880,          0.1878,          0.1878
         103,        1.700000,          0.1878,          0.1877,          0.1878,          0.1878
         104,        1.716667,          0.1878,          0.1878,          0.1878,          0.1878
         105,        1.733333,          0.1879,          0.1879,          0.1878,          0.1878
         106,        1.750000,          0.1878,          0.1879,          0.1878,          0.1878
         107,        1.766667,          0.1878,          0.1880,          0.1878,          0.1878
         108,        1.783333,          0.1878,          0.1877,          0.1878,          0.1878
         109,        1.800000,          0.1878,          0.1877,          0.1878,          0.1878
         110,        1.816667,          0.1877,          0.1878,          0.1878,          0.1878
         111,        1.833333,          0.1878,          0.1877,          0.1878,          0.1878
         112,        1.850000,          0.1878,          0.1879,          0.1878,          0.1878
         113,        1.866667,          0.1879,          0.1879,          0.1878,          0.1878
         114,        1.883333,          0.1878,          0.1881,          0.1878,          0.1878
         115,        1.900000,          0.1877,          0.1877,          0.1878,          0.1878
         116,        1.916667,          0.1878,          0.1878,          0.1878,          0.1878
         117,        1.933333,          0.1878,          0.1878,          0.1878,          0.1878
         118,        1.950000,          0.1878,          0.1878,          0.1878,          0.1878
         119,        1.966667,          0.1878,          0.1878,          0.1878,          0.1878
         120,        1.983333,          0.1877,          0.1879,          0.1878,          0.1878
         121,        2.000000,          0.1879,          0.1878,          0.1878,          0.1878
         122,        2.016667,          0.1877,          0.1880,          0.1878,          0.1878
         123,        2.033333,          0.1878,          0.1879,          0.1878,          0.1878
         124,        2.050000,          0.1878,          0.1879,          0.1878,          0.1878
         125,        2.066667,          0.1878,          0.1880,          0.1878,          0.1878
         126,        2.083333,          0.1878,          0.1878,          0.1878,          0.1878
         127,        2.100000,          0.1878,          0.1879,          0.1878,          0.1878
         128,        2.116667,          0.1878,          0.1879,          0.1878,          0.1878
         129,        2.133333,          0.1879,          0.1879,          0.1878,          0.1878
         130,        2.150000,          0.1878,          0.1879,          0.1878,          0.1878
         131,        2.166667,          0.1877,          0.1878,          0.1878,          0.1878
         132,        2.183333,          0.1878,          0.1878,          0.1878,          0.1878
         133,        2.200000,          0.1877,          0.1877,          0.1878,          0.1878
         134,        2.216667,          0.1878,          0.1878,          0.1878,          0.1878
         135,        2.233333,          0.1876,          0.1877,          0.1878,          0.1878
         136,        2.250000,          0.1879,          0.1878,          0.1878,          0.1878
         137,        2.266667,          0.1877,          0.1878,          0.1878,          0.1878
         138,        2.283333,          0.1878,          0.1878,          0.1878,          0.1878
         139,        2.300000,          0.1878,          0.1877,          0.1878,          0.1878
         140,        2.316667,          0.1878,          0.1878,          0.1878,          0.1878
         141,        2.333333,          0.1878,          0.1879,          0.1878,          0.1878
         142,        2.350000,          0.1878,          0.1879,          0.1878,          0.1878
         143,        2.366667,          0.1879,          0.1877,          0.1878,          0.1878
         144,        2.383333,          0.1878,          0.1878,          0.1878,          0.1878
         145,        2.400000,          0.1878,          0.1881,          0.1878,          0.1878
         146,        2.416667,          0.1878,          0.1879,          0.1878,          0.1878
         147,        2.433333,          0.1878,          0.1878,          0.1878,          0.1878
         148,        2.450000,          0.1878,          0.1880,          0.1878,          0.1878
         149,        2.466667,          0.1878,          0.1878,          0.1878,          0.1878
         150,        2.483333,          0.1878,          0.1879,          0.1878,          0.1878
         151,        2.500000,          0.1878,          0.1878,          0.1878,          0.1878
         152,        2.516667,          0.1878,          0.1877,          0.1878,          0.1878
         153,        2.533333,          0.1878,          0.1876,          0.1878,          0.1878
         154,        2.550000,          0.1877,          0.1879,          0.1878,          0.1878
         155,        2.566667,          0.1878,          0.1877,          0.1878,          0.1878
         156,        2.583333,          0.1878,          0.1876,          0.1878,          0.1878
         157,        2.600000,          0.1877,          0.1879,          0.1878,          0.1878
         158,        2.616667,          0.1880,          0.1880,          0.1878,          0.1878
         159,        2.633333,          0.1878,          0.1878,          0.1878,          0.1878
         160,        2.650000,          0.1876,          0.1877,          0.1878,          0.1878
         161,        2.666667,          0.1877,          0.1878,          0.1878,          0.1878
         162,        2.683333,          0.1878,          0.1879,          0.1878,          0.1878
         163,        2.700000,          0.1879,          0.1877,          0.1878,          0.1878
         164,        2.716667,          0.1877,          0.1878,          0.1878,          0.1878
         165,        2.733333,          0.1878,          0.1878,          0.1878,          0.1878
         166,        2.750000,          0.1878,          0.1879,          0.1878,          0.1878
         167,        2.766667,          0.1878,          0.1878,          0.1878,          0.1878
         168,        2.783333,          0.1878,          0.1880,          0.1878,          0.1878
         169,        2.800000,          0.1878,          0.1878,          0.1878,          0.1878
         170,        2.816667,          0.1878,          0.1875,          0.1878,          0.1878
         171,        2.833333,          0.1877,          0.1879,          0.1878,          0.1878
         172,        2.850000,          0.1878,          0.1877,          0.1878,          0.1878
         173,        2.866667,          0.1879,          0.1879,          0.1878,          0.1878
         174,        2.883333,          0.1878,          0.1879,          0.1878,          0.1878
         175,        2.900000,          0.1878,          0.1878,          0.1878,          0.1878
         176,        2.916667,          0.1878,          0.1878,          0.1878,          0.1878
         177,        2.933333,          0.1878,          0.1880,          0.1878,          0.1878
         178,        2.950000,          0.1879,          0.1878,          0.1878,          0.1878
         179,        2.966667,          0.1878,          0.1878,          0.1878,          0.1878
         180,        2.983333,          0.1878,          0.1879,          0.1878,          0.1878
         181,        3.000000,          0.1878,          0.1875,          0.1878,          0.1878
         182,        3.016667,          0.1878,          0.1878,          0.1878,          0.1878
         183,        3.033333,          0.1878,          0.1879,          0.1878,          0.1878
         184,        3.050000,          0.1878,          0.1878,          0.1878,          0.1878
         185,        3.066667,          0.1878,          0.1878,          0.1878,          0.1878
         186,        3.083333,          0.1878,          0.1878,          0.1878,          0.1878
         187,        3.100000,          0.1878,          0.1878,          0.1878,          0.1878
         188,        3.116667,          0.1878,          0.1878,          0.1878,          0.1878
         189,        3.133333,          0.1878,          0.1878,          0.1878,          0.1878
         190,        3.150000,          0.1878,          0.1877,          0.1878,          0.1878
         191,        3.166667,          0.1878,          0.1876,          0.1878,          0.1878
         192,        3.183333,          0.1878,          0.1879,          0.1878,          0.1878
         193,        3.200000,          0.1878,          0.1879,          0.1878,          0.1878
         194,        3.216667,          0.1877,          0.1880,          0.1878,          0.1878
         195,        3.233333,          0.1878,          0.1879,          0.1878,          0.1878
         196,        3.250000,          0.1878,          0.1880,          0.1878,          0.1878
         197,        3.266667,          0.1878,          0.1877,          0.1878,          0.1878
         198,        3.283333,          0.1878,          0.1878,          0.1878,          0.1878
         199,        3.300000,          0.1878,          0.1878,          0.1878,          0.1878
         200,        3.316667,          0.1879,          0.1878,          0.1878,          0.1878
         201,        3.333333,          0.1879,          0.1879,          0.1878,          0.1878
         202,        3.350000,          0.1878,          0.1878,          0.1878,          0.1878
         203,        3.366667,          0.1879,          0.1879,          0.1878,          0.1878
         204,        3.383333,          0.1877,          0.1878,          0.1878,          0.1878
         205,        3.400000,          0.1879,          0.1879,          0.1878,          0.1878
         206,        3.416667,          0.1878,          0.1879,          0.1878,          0.1878
         207,        3.433333,          0.1878,          0.1878,          0.1878,          0.1878
         208,        3.450000,          0.1878,          0.1878,          0.1878,          0.1878
         209,        3.466667,          0.1878,          0.1878,          0.1878,          0.1878
         210,        3.483333,          0.1879,          0.1879,          0.1878,          0.1878
         211,        3.500000,          0.1878,          0.1880,          0.1878,          0.1878
         212,        3.516667,          0.1878,          0.1877,          0.1878,          0.1878
