"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\004\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           8,        0.116667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           9,        0.133333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          10,        0.150000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          11,        0.166667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          12,        0.183333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          13,        0.200000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          14,        0.216667,          0.6796,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          15,        0.233333,          0.1899,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          16,        0.250000,          0.1352,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          17,        0.266667,          0.1402,          0.1379,          0.0000,          0.0000,          0.0000,          0.0000
          18,        0.283333,          0.1466,          0.3290,          0.0000,          0.0000,          0.0000,          0.0000
          19,        0.300000,          0.1525,          0.3979,          0.0000,          0.0000,          0.0000,          0.0000
          20,        0.316667,          0.1567,          0.4281,          0.3793,          0.0000,          0.0000,          0.0000
          21,        0.333333,          0.1595,          0.4490,          0.2006,          0.0000,          0.0000,          0.0000
          22,        0.350000,          0.1625,          0.4614,          0.0662,          0.0000,          0.2474,          0.0000
          23,        0.366667,          0.1633,          0.4670,          0.0426,          0.1731,          0.2200,          0.0000
          24,        0.383333,          0.1638,          0.4225,          0.0321,          0.4688,          0.2645,          0.0000
          25,        0.400000,          0.1641,          0.4080,          0.0254,          0.4665,          0.2409,          0.0000
          26,        0.416667,          0.1643,          0.4015,          0.0198,          0.5249,          0.2557,          0.0000
          27,        0.433333,          0.1644,          0.3886,          0.0155,          0.5865,          0.2701,          0.5592
          28,        0.450000,          0.1645,          0.3737,          0.0126,          0.6219,          0.3362,          0.6279
          29,        0.466667,          0.1646,          0.3607,          0.0105,          0.5149,          0.3723,          0.6778
          30,        0.483333,          0.1645,          0.3543,          0.0090,          0.5346,          0.3870,          0.7221
          31,        0.500000,          0.1646,          0.3495,          0.0079,          0.5506,          0.3936,          0.7527
          32,        0.516667,          0.1646,          0.3461,          0.0070,          0.5622,          0.3991,          0.7669
          33,        0.533333,          0.1646,          0.3433,          0.0063,          0.5695,          0.4029,          0.7750
          34,        0.550000,          0.1646,          0.3415,          0.0058,          0.5753,          0.4062,          0.7790
          35,        0.566667,          0.1646,          0.3236,          0.0053,          0.5794,          0.4088,          0.7839
          36,        0.583333,          0.1646,          0.3227,          0.0051,          0.5826,          0.4106,          0.7866
          37,        0.600000,          0.1646,          0.3221,          0.0045,          0.5844,          0.4118,          0.7887
          38,        0.616667,          0.1647,          0.3217,          0.0043,          0.5859,          0.4125,          0.7900
          39,        0.633333,          0.1647,          0.3213,          0.0041,          0.5870,          0.4129,          0.7920
          40,        0.650000,          0.1647,          0.3212,          0.0038,          0.5877,          0.4132,          0.7929
          41,        0.666667,          0.1647,          0.3210,          0.0037,          0.5883,          0.4134,          0.7933
          42,        0.683333,          0.1646,          0.3210,          0.0035,          0.5885,          0.4137,          0.7936
          43,        0.700000,          0.1646,          0.3209,          0.0032,          0.5887,          0.4138,          0.7938
          44,        0.716667,          0.1646,          0.3208,          0.0032,          0.5889,          0.4139,          0.7939
          45,        0.733333,          0.1646,          0.3208,          0.0030,          0.5891,          0.4140,          0.7941
          46,        0.750000,          0.1646,          0.3207,          0.0029,          0.5892,          0.4140,          0.7941
          47,        0.766667,          0.1647,          0.3207,          0.0027,          0.5892,          0.4141,          0.7942
          48,        0.783333,          0.1646,          0.3207,          0.0026,          0.5892,          0.4141,          0.7942
          49,        0.800000,          0.1646,          0.3207,          0.0027,          0.5892,          0.4141,          0.7943
          50,        0.816667,          0.1647,          0.3207,          0.0025,          0.5893,          0.4141,          0.7943
          51,        0.833333,          0.1646,          0.3207,          0.0024,          0.5892,          0.4142,          0.7943
          52,        0.850000,          0.1646,          0.3207,          0.0023,          0.5893,          0.4142,          0.7943
          53,        0.866667,          0.1647,          0.3207,          0.0022,          0.5892,          0.4141,          0.7943
          54,        0.883333,          0.1647,          0.3207,          0.0022,          0.5893,          0.4141,          0.7943
          55,        0.900000,          0.1647,          0.3206,          0.0021,          0.5893,          0.4141,          0.7943
          56,        0.916667,          0.1646,          0.3206,          0.0020,          0.5893,          0.4142,          0.7943
          57,        0.933333,          0.1647,          0.3206,          0.0020,          0.5894,          0.4142,          0.7943
          58,        0.950000,          0.1646,          0.3207,          0.0017,          0.5893,          0.4142,          0.7943
          59,        0.966667,          0.1646,          0.3207,          0.0019,          0.5893,          0.4141,          0.7943
          60,        0.983333,          0.1647,          0.3206,          0.0018,          0.5893,          0.4142,          0.7943
          61,        1.000000,          0.1647,          0.3206,          0.0019,          0.5893,          0.4141,          0.7943
          62,        1.016667,          0.1647,          0.3207,          0.0019,          0.5893,          0.4141,          0.7943
          63,        1.033333,          0.1646,          0.3207,          0.0018,          0.5894,          0.4142,          0.7943
          64,        1.050000,          0.1647,          0.3206,          0.0018,          0.5894,          0.4141,          0.7943
          65,        1.066667,          0.1647,          0.3207,          0.0017,          0.5893,          0.4141,          0.7943
          66,        1.083333,          0.1646,          0.3206,          0.0017,          0.5893,          0.4142,          0.7943
