iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.025,0.025,0.025,0.00151062,0.0967865,0.00222778,9.67865
2,0.0504996,0.0255102,0.0254996,0.00621033,0.0987549,0.00883484,9.77596
3,0.0765193,0.0260308,0.0260197,0.0138855,0.117401,0.0196533,10.4422
4,0.103081,0.0265621,0.0265618,0.0235596,0.134476,0.0332642,11.2166
5,0.130184,0.0271041,0.0271027,0.0335693,0.146393,0.0473938,12.1702
6,0.157837,0.0276573,0.0276535,0.0424194,0.153351,0.0598602,13.5333
7,0.186051,0.0282217,0.0282141,0.0493011,0.156006,0.0695496,14.9958
8,0.214836,0.0287977,0.0287844,0.0541687,0.155289,0.0763855,16.3965
9,0.244214,0.0293854,0.0293785,0.0573578,0.152145,0.0808258,17.6643
10,0.274197,0.0299851,0.0299828,0.0602875,0.147507,0.0821381,18.7264
11,0.304779,0.030597,0.0305816,0.0667114,0.142273,0.0808258,19.5494
12,0.336,0.0312215,0.0312214,0.0730743,0.137039,0.0779114,20.146
13,0.367855,0.0318586,0.0318548,0.0790405,0.132126,0.0742645,20.5449
14,0.400352,0.0325088,0.0324971,0.0845337,0.127655,0.0703583,20.7802
15,0.433518,0.0331722,0.0331662,0.0895996,0.128418,0.0664063,20.8836
16,0.467363,0.0338492,0.0338446,0.0941467,0.131042,0.0625305,20.8805
17,0.501894,0.03454,0.0345317,0.0978394,0.133713,0.0586548,20.7887
18,0.537121,0.0352449,0.0352268,0.100815,0.136444,0.0549011,20.6249
19,0.573072,0.0359642,0.035951,0.10495,0.139236,0.0558167,20.4978
20,0.609755,0.0366982,0.0366833,0.110916,0.142075,0.0586395,20.4401
21,0.647202,0.0374471,0.0374466,0.116913,0.144974,0.0608826,20.4316
22,0.685396,0.0382114,0.0381936,0.122849,0.147934,0.0625916,20.4552
23,0.724367,0.0389912,0.0389715,0.128448,0.150955,0.0643158,20.5075
24,0.764149,0.0397869,0.0397823,0.132874,0.154037,0.0684357,20.6273
25,0.804722,0.0405989,0.0405725,0.135757,0.157181,0.071701,20.7916
26,0.846146,0.0414274,0.0414243,0.138992,0.160385,0.0733643,20.9708
27,0.888399,0.0422729,0.0422528,0.144608,0.163666,0.0734558,21.1374
28,0.931515,0.0431356,0.0431157,0.150009,0.166992,0.0726013,21.2787
29,0.97553,0.0440159,0.0440153,0.154846,0.17041,0.0708466,21.3841
30,1.02042,0.0449142,0.0448855,0.15892,0.173889,0.0703888,21.4749
31,1.06624,0.0458308,0.0458272,0.162125,0.177429,0.0726166,21.5921
32,1.11298,0.0467662,0.0467357,0.164413,0.181061,0.0739136,21.7194
33,1.1607,0.0477206,0.0477204,0.166763,0.184921,0.0744629,21.8469
34,1.20937,0.0486945,0.0486677,0.170731,0.199677,0.0744629,21.966
35,1.25902,0.0496882,0.0496543,0.174454,0.213638,0.0739899,22.0717
36,1.3097,0.0507023,0.0506825,0.179596,0.226212,0.072998,22.1589
37,1.36141,0.051737,0.0517095,0.187561,0.234695,0.0749512,22.2656
38,1.41419,0.0527929,0.05278,0.198685,0.238098,0.0797882,22.427
39,1.46804,0.0538703,0.0538472,0.209793,0.236801,0.0830383,22.6192
40,1.523,0.0549697,0.0549596,0.219986,0.232269,0.0851898,22.8275
41,1.57907,0.0560915,0.0560662,0.22847,0.229462,0.0860901,23.0355
42,1.63629,0.0572362,0.0572193,0.238327,0.228607,0.0859985,23.2321
43,1.69465,0.0584043,0.0583637,0.250183,0.22612,0.0890198,23.4532
44,1.7542,0.0595962,0.059556,0.260132,0.232254,0.0999756,23.7876
45,1.815,0.0608125,0.0607994,0.265732,0.236877,0.11055,24.2249
46,1.87704,0.0620536,0.0620309,0.273697,0.246201,0.119141,24.7363
47,1.94035,0.06332,0.0633148,0.280945,0.254547,0.125427,25.2933
48,2.00493,0.0646122,0.0645825,0.283493,0.261749,0.129288,25.8661
49,2.07084,0.0659308,0.0659035,0.284653,0.267563,0.130432,26.426
50,2.13804,0.0672763,0.0672032,0.288727,0.27121,0.128433,26.9395
51,2.20668,0.0686493,0.0686382,0.289886,0.272339,0.124329,27.3904
